evidence_id,outcome_domain,endpoint_type,analysis_population,comparison,intervention_effect,control_effect,effect_difference,effect_unit,between_group_p,within_group_p,direction,evidence_modifier,positive_efficacy_label,source_final_value,source_note
PMID:20216555,body_fat,adiposity,aggregate_trial,LG2055_active_FM_change_vs_control_FM,-5.8,,,cm2 visceral fat area change,,<0.01,decrease,abstract_only_within_group_control_none_reported,limited,active -5.8 cm2 visceral fat; control none significant,Abstract lacks between-group p/effect difference; full text needed.
PMID:20216555,body_fat,adiposity,aggregate_trial,LG2055_active_FM_change_vs_control_FM,-7.4,,,cm2 subcutaneous fat area change,,<0.01,decrease,abstract_only_within_group_control_none_reported,limited,active -7.4 cm2 subcutaneous fat; control none significant,Abstract lacks between-group p/effect difference; full text needed.
PMID:20216555,weight,adiposity,aggregate_trial,LG2055_active_FM_change_vs_control_FM,-1.1,,,kg change,,<0.001,decrease,abstract_only_within_group_control_none_reported,limited,active -1.1 kg; control none significant,Abstract lacks between-group p/effect difference; full text needed.
PMID:20216555,BMI,adiposity,aggregate_trial,LG2055_active_FM_change_vs_control_FM,-0.4,,,kg/m2 change,,<0.001,decrease,abstract_only_within_group_control_none_reported,limited,active -0.4 kg/m2; control none significant,Abstract lacks between-group p/effect difference; full text needed.
PMID:20216555,waist,adiposity,aggregate_trial,LG2055_active_FM_change_vs_control_FM,-1.7,,,cm change,,<0.001,decrease,abstract_only_within_group_control_none_reported,limited,active -1.7 cm waist; control none significant,Abstract lacks between-group p/effect difference; full text needed.
PMID:35845797,weight,adiposity,aggregate_trial,synbiotic_vs_placebo_percent_reduction,,,,percent reduction vs baseline,<0.01,,decrease,abstract_only_effect_size_not_reported,yes,between-group percent reduction p<0.01,Full text needed for exact effect size.
PMID:35845797,BMI,adiposity,aggregate_trial,synbiotic_vs_placebo_percent_reduction,,,,percent reduction vs baseline,<0.05,,decrease,abstract_only_effect_size_not_reported,yes,between-group percent reduction p<0.05,Full text needed for exact effect size.
PMID:35845797,waist,adiposity,aggregate_trial,synbiotic_vs_placebo_percent_reduction,,,,percent reduction vs baseline,<0.05,,decrease,abstract_only_effect_size_not_reported,yes,waist and waist/height ratio p<0.05,Full text needed for exact effect size.
PMID:35845797,glucose,metabolic,aggregate_trial,synbiotic_vs_placebo_post_intervention,,,,glucose metabolism,not significant,,no significant change,abstract_only_no_between_group_benefit,no,No difference in glucose metabolism after 12 weeks,
PMID:35845797,lipid,metabolic,aggregate_trial,synbiotic_vs_placebo_post_intervention,,,,lipid parameters,not significant,,no significant change,abstract_only_no_between_group_benefit,no,No difference in lipid parameters after 12 weeks,
PMID:34434546,weight,adiposity,aggregate_trial,synbiotic_vs_placebo_change,,,,kg change,not reported,,no significant change,abstract_only_no_between_group_effect_size,limited,No significant intervention BW change; control increased by 3.38 kg,"May indicate prevention of gain, but full text needed."
PMID:34434546,BMI,adiposity,aggregate_trial,synbiotic_vs_placebo_change,,,,kg/m2 change,not reported,,no significant change,abstract_only_no_between_group_effect_size,limited,No significant intervention BMI change; control increased by 1.37 kg/m2,"May indicate prevention of gain, but full text needed."
PMID:34434546,glucose,metabolic,aggregate_trial,synbiotic_vs_placebo_change,-6.125,,,mg/dL FBG change,not reported,,decrease,abstract_only_within_group_or_unclear_between,limited,FBG decreased by 6.125 mg/dL after synbiotic supplementation,Full text needed for between-group p.
PMID:36606510,weight,adiposity,aggregate_trial,probiotic_prebiotic_vs_diet_alone_change,,,,kg/BMI/waist change,not significant,<0.05,decrease,diet_confounded_abstract_only,limited,"All three groups decreased weight, BMI, waist; between-group differences not significant",
PMID:36606510,body_fat,adiposity,aggregate_trial,probiotic_prebiotic_vs_diet_alone_change,,,,fat mass change,not significant,0.001,decrease,diet_confounded_abstract_only,limited,Only prebiotic/probiotic groups decreased fat mass; between three groups not significant,
PMID:36606510,glucose,metabolic,aggregate_trial,probiotic_vs_diet_alone_change,,,,fasting blood glucose,0.02,,decrease,abstract_only,yes,Probiotic group decreased fasting blood glucose compared with diet alone p=0.02,
EUROPEPMC:42074987,body_fat,adiposity,aggregate_trial,postbiotic_vs_placebo_percent_of_baseline,98.15,100.41,-2.26,percent of baseline body fat mass,0.016,,decrease,abstract_only_pilot_trial,yes,Postbiotic 98.15% vs placebo 100.41% of baseline body fat mass,Pilot trial; confirm in pivotal trial.
EUROPEPMC:42074987,weight,adiposity,aggregate_trial,postbiotic_vs_placebo_change,,,,body weight change,0.047,,decrease,abstract_only_effect_size_not_reported_pilot,yes,Body weight significantly reduced vs placebo p=0.047,Full text needed for effect size.
EUROPEPMC:42074987,waist,adiposity,aggregate_trial,postbiotic_vs_placebo_change,,,,waist circumference change,0.034,,decrease,abstract_only_effect_size_not_reported_pilot,yes,Waist circumference significantly reduced vs placebo p=0.034,Full text needed for effect size.
EUROPEPMC:42074987,body_fat,adiposity,aggregate_trial,postbiotic_vs_placebo_change,,,,visceral fat change,0.053,,decrease,abstract_only_trend_pilot,limited,Visceral fat tended to be reduced p=0.053,Trend only.
