evidence_id,outcome_domain,endpoint_type,analysis_population,comparison,intervention_effect,control_effect,effect_difference,effect_unit,between_group_p,within_group_p,direction,evidence_modifier,positive_efficacy_label,source_final_value,source_note
PMID:40409234,weight,adiposity,aggregate_trial,probiotic_vs_control_change,-0.8,2.3,-3.100,kg change,0.28,,decrease,diet_confounded,limited,probiotic -0.8 +/- 2.3 vs control -1.7 +/- 3.1,Energy-restricted diet in both arms; no significant probiotic group-by-time effect.
PMID:40409234,BMI,adiposity,aggregate_trial,probiotic_vs_control_change,-0.3,0.9,-1.200,kg/m2 change,0.22,,decrease,,limited,probiotic -0.3 +/- 0.9 vs control -0.6 +/- 1.2,No significant probiotic group-by-time effect.
PMID:40409234,waist,adiposity,aggregate_trial,probiotic_vs_control_change,-1.3,1.8,-3.100,cm waist circumference change,0.10,,decrease,,limited,probiotic -1.3 +/- 1.8 vs control -2.5 +/- 3.1,No significant probiotic group-by-time effect.
PMID:40409234,body_fat,adiposity,aggregate_trial,probiotic_vs_control_change,-0.69,1.16,-1.850,kg total fat mass change,0.11,,decrease,,limited,probiotic -0.69 +/- 1.16 vs control -1.80 +/- 2.65,DXA total fat mass; no significant probiotic group-by-time effect.
PMID:40409234,glucose,metabolic,aggregate_trial,probiotic_vs_control_change,0,-0.3,0.300,"% HbA1c change, median (IQR)",<0.01,,decrease,,yes,probiotic 0 (-0.3; 0) vs control 0 (-0.1; 0.2),HbA1c decreased significantly in probiotic group; table reports significant group-by-time effect.
PMID:40409234,lipid,metabolic,aggregate_trial,probiotic_vs_control_change,0,-49,49.000,"mg/dL triglyceride change, median (IQR)",0.10,,decrease,within_group_only_or_mixed,limited,probiotic 0 (-49; 0) vs control 0 (-10; 6),TG decreased within probiotic group; no significant group-by-time effect.
PMID:37447365,weight,adiposity,aggregate_trial,probiotic_vs_placebo_change,-0.69,2.17,-2.860,kg change,0.012,,decrease,,yes,probiotic -0.69 +/- 2.17 vs placebo +0.37 +/- 1.87,Probiotic arm differed from placebo; synbiotic arm did not.
PMID:37447365,BMI,adiposity,aggregate_trial,probiotic_vs_placebo_change,-0.24,0.74,-0.980,kg/m2 change,0.011,,decrease,,yes,probiotic -0.24 +/- 0.74 vs placebo +0.13 +/- 0.63,Probiotic arm differed from placebo; synbiotic arm did not.
PMID:37447365,waist,adiposity,aggregate_trial,probiotic_vs_placebo_change,-1.57,2.70,-4.270,cm waist circumference change,0.033,,decrease,,yes,probiotic -1.57 +/- 2.70 vs placebo -0.40 +/- 2.55,Probiotic arm differed from placebo; synbiotic arm did not.
PMID:37447365,body_fat,adiposity,aggregate_trial,probiotic_vs_placebo_change,-0.61,1.94,-2.550,kg body fat mass change,0.039,,decrease,,yes,probiotic -0.61 +/- 1.94 vs placebo +0.13 +/- 1.64,Primary endpoint body fat mass; probiotic arm significant vs placebo.
PMID:37111082,weight,adiposity,PP,synbiotic_vs_placebo_endpoint,72.10,12.85,59.250,kg endpoint,,,no significant between-group difference,between_group_not_significant; manual_caution,no,synbiotic 72.10 +/- 12.85 vs placebo 73.82 +/- 12.28 at week 12,"No significant between-group difference; PDF text/table labels appear internally swapped, so use with caution."
PMID:37111082,BMI,adiposity,PP,synbiotic_vs_placebo_endpoint,26.85,2.91,23.940,kg/m2 endpoint,,,no significant between-group difference,between_group_not_significant; manual_caution,no,synbiotic 26.85 +/- 2.91 vs placebo 27.46 +/- 3.43 at week 12,"No significant between-group difference; PDF text/table labels appear internally swapped, so use with caution."
PMID:37111082,waist,adiposity,aggregate_trial,baseline_to_post_synbiotic_with_placebo_context,-2.57,+0.92,-3.490,% waist circumference change from baseline,,0.004,decrease,within_group_only_or_mixed,limited,synbiotic -2.57 vs placebo +0.92,Synbiotic within-group waist reduction significant; no significant between-group difference at study end.
PMID:37111082,body_fat,adiposity,aggregate_trial,baseline_to_post_synbiotic,,,,% body fat percentage change from baseline,,0.033,decrease,within_group_only_or_mixed,limited,synbiotic -4.21,Synbiotic within-group body-fat percentage reduction significant; no significant between-group difference at study end.
PMID:41512635,weight,adiposity,aggregate_trial,synbiotic_vs_placebo_change,+0.51,2.33,-1.820,kg change,0.952,,no meaningful change,between_group_not_significant,no,synbiotic +0.51 +/- 2.33 vs placebo +0.54 +/- 2.62,No significant between-group weight effect.
PMID:41512635,BMI,adiposity,aggregate_trial,synbiotic_vs_placebo_change,+0.22,0.85,-0.630,kg/m2 change,0.536,,no meaningful change,between_group_not_significant,no,synbiotic +0.22 +/- 0.85 vs placebo +0.11 +/- 1.03,No significant between-group BMI effect.
PMID:41512635,waist,adiposity,aggregate_trial,synbiotic_vs_placebo_change,+0.26,3.68,-3.420,cm waist circumference change,0.757,,no meaningful change,between_group_not_significant,no,synbiotic +0.26 +/- 3.68 vs placebo +0.47 +/- 3.31,No significant between-group waist effect.
