evidence_id,outcome_domain,endpoint_type,analysis_population,comparison,intervention_effect,control_effect,effect_difference,effect_unit,between_group_p,within_group_p,direction,evidence_modifier,positive_efficacy_label,source_final_value,source_note,effect_parse_method,p_value_parse_method,structure_warning
PMID:40409234,weight,adiposity,aggregate_trial,probiotic_vs_control_change,-0.8,2.3,-3.1,kg change,0.28,,decrease,diet_confounded,limited,probiotic -0.8 +/- 2.3 vs control -1.7 +/- 3.1,Energy-restricted diet in both arms; no significant probiotic group-by-time effect.,,,
PMID:40409234,BMI,adiposity,aggregate_trial,probiotic_vs_control_change,-0.3,0.9,-1.2,kg/m2 change,0.22,,decrease,,limited,probiotic -0.3 +/- 0.9 vs control -0.6 +/- 1.2,No significant probiotic group-by-time effect.,,,
PMID:40409234,waist,adiposity,aggregate_trial,probiotic_vs_control_change,-1.3,1.8,-3.1,cm waist circumference change,0.10,,decrease,,limited,probiotic -1.3 +/- 1.8 vs control -2.5 +/- 3.1,No significant probiotic group-by-time effect.,,,
PMID:40409234,body_fat,adiposity,aggregate_trial,probiotic_vs_control_change,-0.69,1.16,-1.85,kg total fat mass change,0.11,,decrease,,limited,probiotic -0.69 +/- 1.16 vs control -1.80 +/- 2.65,DXA total fat mass; no significant probiotic group-by-time effect.,,,
PMID:40409234,glucose,metabolic,aggregate_trial,probiotic_vs_control_change,0.0,-0.3,0.3,"% HbA1c change, median (IQR)",<0.01,,decrease,,yes,probiotic 0 (-0.3; 0) vs control 0 (-0.1; 0.2),HbA1c decreased significantly in probiotic group; table reports significant group-by-time effect.,,,
PMID:40409234,lipid,metabolic,aggregate_trial,probiotic_vs_control_change,0.0,-49.0,49.0,"mg/dL triglyceride change, median (IQR)",0.10,,decrease,within_group_only_or_mixed,limited,probiotic 0 (-49; 0) vs control 0 (-10; 6),TG decreased within probiotic group; no significant group-by-time effect.,,,
PMID:37447365,weight,adiposity,aggregate_trial,probiotic_vs_placebo_change,-0.69,2.17,-2.86,kg change,0.012,,decrease,,yes,probiotic -0.69 +/- 2.17 vs placebo +0.37 +/- 1.87,Probiotic arm differed from placebo; synbiotic arm did not.,,,
PMID:37447365,BMI,adiposity,aggregate_trial,probiotic_vs_placebo_change,-0.24,0.74,-0.98,kg/m2 change,0.011,,decrease,,yes,probiotic -0.24 +/- 0.74 vs placebo +0.13 +/- 0.63,Probiotic arm differed from placebo; synbiotic arm did not.,,,
PMID:37447365,waist,adiposity,aggregate_trial,probiotic_vs_placebo_change,-1.57,2.7,-4.27,cm waist circumference change,0.033,,decrease,,yes,probiotic -1.57 +/- 2.70 vs placebo -0.40 +/- 2.55,Probiotic arm differed from placebo; synbiotic arm did not.,,,
PMID:37447365,body_fat,adiposity,aggregate_trial,probiotic_vs_placebo_change,-0.61,1.94,-2.55,kg body fat mass change,0.039,,decrease,,yes,probiotic -0.61 +/- 1.94 vs placebo +0.13 +/- 1.64,Primary endpoint body fat mass; probiotic arm significant vs placebo.,,,
PMID:37111082,weight,adiposity,PP,synbiotic_vs_placebo_endpoint,72.1,12.85,59.25,kg endpoint,,,no significant between-group difference,between_group_not_significant; manual_caution,no,synbiotic 72.10 +/- 12.85 vs placebo 73.82 +/- 12.28 at week 12,"No significant between-group difference; PDF text/table labels appear internally swapped, so use with caution.",,,
PMID:37111082,BMI,adiposity,PP,synbiotic_vs_placebo_endpoint,26.85,2.91,23.94,kg/m2 endpoint,,,no significant between-group difference,between_group_not_significant; manual_caution,no,synbiotic 26.85 +/- 2.91 vs placebo 27.46 +/- 3.43 at week 12,"No significant between-group difference; PDF text/table labels appear internally swapped, so use with caution.",,,
PMID:37111082,waist,adiposity,aggregate_trial,baseline_to_post_synbiotic_with_placebo_context,-2.57,0.92,-3.49,% waist circumference change from baseline,,0.004,decrease,within_group_only_or_mixed,limited,synbiotic -2.57 vs placebo +0.92,Synbiotic within-group waist reduction significant; no significant between-group difference at study end.,,,
PMID:37111082,body_fat,adiposity,aggregate_trial,baseline_to_post_synbiotic,,,,% body fat percentage change from baseline,,0.033,decrease,within_group_only_or_mixed,limited,synbiotic -4.21,Synbiotic within-group body-fat percentage reduction significant; no significant between-group difference at study end.,,,
PMID:41512635,weight,adiposity,aggregate_trial,synbiotic_vs_placebo_change,0.51,2.33,-1.82,kg change,0.952,,no meaningful change,between_group_not_significant,no,synbiotic +0.51 +/- 2.33 vs placebo +0.54 +/- 2.62,No significant between-group weight effect.,,,
PMID:41512635,BMI,adiposity,aggregate_trial,synbiotic_vs_placebo_change,0.22,0.85,-0.63,kg/m2 change,0.536,,no meaningful change,between_group_not_significant,no,synbiotic +0.22 +/- 0.85 vs placebo +0.11 +/- 1.03,No significant between-group BMI effect.,,,
PMID:41512635,waist,adiposity,aggregate_trial,synbiotic_vs_placebo_change,0.26,3.68,-3.42,cm waist circumference change,0.757,,no meaningful change,between_group_not_significant,no,synbiotic +0.26 +/- 3.68 vs placebo +0.47 +/- 3.31,No significant between-group waist effect.,,,
PMID:41512635,body_fat,adiposity,aggregate_trial,synbiotic_vs_placebo_change,-4.49,21.22,-25.71,cm2 VAT area change,0.048,,decrease,,yes,synbiotic -4.49 +/- 21.22 vs placebo +3.32 +/- 19.62,Primary endpoint VAT area; significant between-group change.,,,
PMID:40416368,weight,adiposity,subgroup,probiotic_vs_placebo_endpoint_and_subgroup_weight_loss,9.0,80.39,-71.39,kg endpoint,<0.05,,decrease,between_group_not_significant; subgroup_only,no,BC99 80.39 +/- 12.74 vs placebo 78.51 +/- 10.89 at week 8; overweight subgroup BC99 76.07 +/- 10.73 vs placebo 73.54 +/- 7.76,Overall endpoint between-group p=0.52; overweight subgroup weight loss greater with BC99 per Supplementary Fig S1 p<0.05.,,,
PMID:40416368,lipid,metabolic,aggregate_trial,probiotic_vs_placebo_endpoint,9.0,1.46,7.54,mmol/L triglyceride endpoint,0.29,,no significant between-group difference,,no,TG BC99 1.46 +/- 0.57 vs placebo 1.39 +/- 0.78 at week 8,No significant lipid-profile difference between groups.,,,
PMID:40416368,microbiome,microbiome,aggregate_trial,probiotic_vs_placebo_microbiome,0.04,0.03,0.01,PERMANOVA/ANOSIM statistic and p-value,0.03,,changed at week 4,,yes,"beta diversity R=0.04, P=0.03 at week 4; R=0.03, P=0.09 at week 8",BC99 significantly altered beta diversity at week 4 but not week 8; Parabacteroides enriched in BC99 group.,,,
PMID:40385498,weight,adiposity,aggregate_trial,synbiotic_vs_placebo_change,-0.8,-1.49,0.69,"kg change, median (IQR)",0.588,,decrease within intervention only,between_group_not_significant; within_group_only_or_mixed; diet_confounded,no,"intervention -0.80 (-1.49, -0.09) vs placebo -0.95 (-1.98, 0.70)",Between-group comparison not significant; low-calorie diet in both groups.,,,
PMID:40385498,BMI,adiposity,aggregate_trial,synbiotic_vs_placebo_change,-0.31,-0.59,0.28,"kg/m2 change, median (IQR)",0.745,,decrease within intervention only,between_group_not_significant; within_group_only_or_mixed,no,"intervention -0.31 (-0.59, -0.04) vs placebo -0.35 (-0.79, 0.22)",Between-group comparison not significant; do not use as positive efficacy label.,,,
PMID:40385498,glucose,metabolic,aggregate_trial,synbiotic_vs_placebo_change,-1.8,-13.84,12.04,mg/dL FBS change and insulin qualitative,0.588,,no significant confirmed glucose improvement,unfavorable,no,"FBS intervention -1.80 (-13.84, 5.75) vs placebo +2.50 (-13.00, 11.00); insulin increased in intervention",No FBS/HOMA-IR benefit; insulin increased in intervention group.,,,
PMID:40385498,lipid,metabolic,aggregate_trial,synbiotic_vs_placebo_change,-3.0,-15.0,12.0,"mg/dL change, median (IQR)",0.011,,no beneficial lipid improvement,between_group_not_significant; unfavorable,no,"HDL intervention -3 (-15, 9) vs placebo +2 (-2.75, 7.00); TG intervention +13.50 vs placebo -8.00",HDL between-group change significant but unfavorable; TG not significant.,,,
PMID:39456659,weight,adiposity,aggregate_trial,probiotic_vs_placebo_change,0.0,-4.67,4.67,kg change,0.047,,decrease,,yes,BBr60 -4.67 +/- 4.40 vs placebo -2.82 +/- 4.17,Between-group difference in body-weight change significant.,,,
PMID:39456659,BMI,adiposity,aggregate_trial,probiotic_vs_placebo_change,0.0,-1.49,1.49,kg/m2 change,0.135,,decrease,between_group_not_significant,no,BBr60 -1.49 +/- 1.37 vs placebo -0.93 +/- 1.55,BMI declined in both groups; between-group change not significant.,,,
PMID:39456659,glucose,metabolic,PP,probiotic_vs_placebo_endpoint,0.0,5.26,-5.26,mmol/L fasting blood glucose,0.0381,,decrease,,yes,BBr60 5.26 +/- 0.57 vs placebo 5.69 +/- 0.86 at week 12,FBG endpoint was lower in BBr60 than placebo; table labels unit as mg/dL but values appear mmol/L.,,,
PMID:39051504,BMI,adiposity,aggregate_trial,probiotic_vs_placebo_change,-0.23,0.43,-0.66,kg/m2 change,0.1698,,decrease,between_group_not_significant; within_group_only_or_mixed,no,probiotic -0.23 +/- 0.43 vs placebo -0.07 +/- 0.59,"BMI decreased within probiotic group, but between-group change was not significant.",,,
PMID:39051504,body_fat,adiposity,aggregate_trial,probiotic_vs_placebo_change,-0.45,0.83,-1.28,kg total fat mass change,0.0407,,decrease,,yes,probiotic -0.45 +/- 0.83 vs placebo -0.16 +/- 0.83,Primary body fat endpoint; group difference of change adjusted by GLM.,,,
PMID:39051504,lipid,metabolic,aggregate_trial,probiotic_vs_placebo_change,-15.0,62.0,-77.0,mg/dL triglyceride change,0.0088,,decrease,,yes,probiotic -15 +/- 62 vs placebo +13 +/- 60,Serum triglyceride change significantly differed between groups.,,,
PMID:38999741,weight,adiposity,aggregate_trial,probiotic_vs_placebo_change,202.0,-0.58,202.58,kg change,0.352,,decrease,between_group_not_significant; within_group_only_or_mixed,no,BN-202M -0.58 +/- 1.59 vs placebo -0.33 +/- 1.32,"Within BN-202M significant, but between-group change not significant.",,,
PMID:38999741,BMI,adiposity,aggregate_trial,probiotic_vs_placebo_change,202.0,-0.23,202.23,kg/m2 change,0.263,,decrease,between_group_not_significant; within_group_only_or_mixed,no,BN-202M -0.23 +/- 0.60 vs placebo -0.11 +/- 0.52,"Within BN-202M significant, but between-group change not significant.",,,
PMID:38999741,body_fat,adiposity,aggregate_trial,probiotic_vs_placebo_change,202.0,-0.1,202.1,percentage-point body fat change,0.009,,decrease,,yes,BN-202M -0.10 +/- 1.32 vs placebo +0.48 +/- 1.10,Primary endpoint body fat percentage; significant between-group change. Body fat mass also significant p=0.023.,,,
PMID:38999741,microbiome,microbiome,aggregate_trial,probiotic_vs_placebo_microbiome,,,,qualitative microbiome result,,,no significant between-group microbiome change,between_group_not_significant,no,no significant alpha diversity or taxonomic composition difference between BN-202M and placebo,"Metabolome responder analysis was reported, but main microbiome between-group composition was not significant.",,,
