evidence_id,outcome_domain,endpoint_type,analysis_population,comparison,intervention_effect,control_effect,effect_difference,effect_unit,between_group_p,within_group_p,direction,evidence_modifier,positive_efficacy_label,effect_parse_method,p_value_parse_method,structure_warning,source_final_value,source_note,candidate_status,candidate_parse_method
PMID:37111082,BMI,adiposity,PP,synbiotic_vs_placebo_endpoint,26.85,27.46,-0.61,kg/m2 endpoint,,,no significant between-group difference,between_group_not_significant; manual_caution,no,labeled_groups_split_on_vs,unlabeled_first_p_value,,synbiotic 26.85 +/- 2.91 vs placebo 27.46 +/- 3.43 at week 12,"No significant between-group difference; PDF text/table labels appear internally swapped, so use with caution. Effect text parses, but direct validation still needs exact per-arm n.",needs_full_text_arm_n,two_arm_mean_sd_missing_arm_n
PMID:37111082,weight,adiposity,PP,synbiotic_vs_placebo_endpoint,72.1,73.82,-1.72,kg endpoint,,,no significant between-group difference,between_group_not_significant; manual_caution,no,labeled_groups_split_on_vs,unlabeled_first_p_value,,synbiotic 72.10 +/- 12.85 vs placebo 73.82 +/- 12.28 at week 12,"No significant between-group difference; PDF text/table labels appear internally swapped, so use with caution. Effect text parses, but direct validation still needs exact per-arm n.",needs_full_text_arm_n,two_arm_mean_sd_missing_arm_n
PMID:37447365,BMI,adiposity,aggregate_trial,probiotic_vs_placebo_change,-0.24,0.13,-0.37,kg/m2 change,0.011,,decrease,,yes,labeled_groups_split_on_vs,unlabeled_first_p_value,,probiotic -0.24 +/- 0.74 vs placebo +0.13 +/- 0.63,"Probiotic arm differed from placebo; synbiotic arm did not. Effect text parses, but direct validation still needs exact per-arm n.",needs_full_text_arm_n,two_arm_mean_sd_missing_arm_n
PMID:37447365,body_fat,adiposity,aggregate_trial,probiotic_vs_placebo_change,-0.61,0.13,-0.74,kg body fat mass change,0.039,,decrease,,yes,labeled_groups_split_on_vs,unlabeled_first_p_value,,probiotic -0.61 +/- 1.94 vs placebo +0.13 +/- 1.64,"Primary endpoint body fat mass; probiotic arm significant vs placebo. Effect text parses, but direct validation still needs exact per-arm n.",needs_full_text_arm_n,two_arm_mean_sd_missing_arm_n
PMID:37447365,waist,adiposity,aggregate_trial,probiotic_vs_placebo_change,-1.57,-0.4,-1.17,cm waist circumference change,0.033,,decrease,,yes,labeled_groups_split_on_vs,unlabeled_first_p_value,,probiotic -1.57 +/- 2.70 vs placebo -0.40 +/- 2.55,"Probiotic arm differed from placebo; synbiotic arm did not. Effect text parses, but direct validation still needs exact per-arm n.",needs_full_text_arm_n,two_arm_mean_sd_missing_arm_n
PMID:37447365,weight,adiposity,aggregate_trial,probiotic_vs_placebo_change,-0.69,0.37,-1.06,kg change,0.012,,decrease,,yes,labeled_groups_split_on_vs,unlabeled_first_p_value,,probiotic -0.69 +/- 2.17 vs placebo +0.37 +/- 1.87,"Probiotic arm differed from placebo; synbiotic arm did not. Effect text parses, but direct validation still needs exact per-arm n.",needs_full_text_arm_n,two_arm_mean_sd_missing_arm_n
PMID:39051504,BMI,adiposity,aggregate_trial,probiotic_vs_placebo_change,-0.23,-0.07,-0.16,kg/m2 change,0.1698,,decrease,between_group_not_significant; within_group_only_or_mixed,no,labeled_groups_split_on_vs,unlabeled_first_p_value,,probiotic -0.23 +/- 0.43 vs placebo -0.07 +/- 0.59,"BMI decreased within probiotic group, but between-group change was not significant. Arm SDs found, but exact arm n missing; total n=49 available for balanced-n sensitivity only.",balanced_n_sensitivity_only,two_arm_mean_sd_missing_arm_n
PMID:39051504,body_fat,adiposity,aggregate_trial,probiotic_vs_placebo_change,-0.45,-0.16,-0.29,kg total fat mass change,0.0407,,decrease,,yes,labeled_groups_split_on_vs,unlabeled_first_p_value,,probiotic -0.45 +/- 0.83 vs placebo -0.16 +/- 0.83,"Primary body fat endpoint; group difference of change adjusted by GLM. Arm SDs found, but exact arm n missing; total n=49 available for balanced-n sensitivity only.",balanced_n_sensitivity_only,two_arm_mean_sd_missing_arm_n
PMID:39456659,BMI,adiposity,aggregate_trial,probiotic_vs_placebo_change,0.0,-0.93,0.93,kg/m2 change,0.135,,decrease,between_group_not_significant,no,labeled_groups_split_on_vs,unlabeled_first_p_value,,BBr60 -1.49 +/- 1.37 vs placebo -0.93 +/- 1.55,"BMI declined in both groups; between-group change not significant. Effect text parses, but direct validation still needs exact per-arm n.",needs_full_text_arm_n,two_arm_mean_sd_missing_arm_n
PMID:39456659,weight,adiposity,aggregate_trial,probiotic_vs_placebo_change,0.0,-2.82,2.82,kg change,0.047,,decrease,,yes,labeled_groups_split_on_vs,unlabeled_first_p_value,,BBr60 -4.67 +/- 4.40 vs placebo -2.82 +/- 4.17,"Between-group difference in body-weight change significant. Effect text parses, but direct validation still needs exact per-arm n.",needs_full_text_arm_n,two_arm_mean_sd_missing_arm_n
PMID:40066582,BMI,adiposity,aggregate_trial,probiotic_vs_placebo_change,-1.06,-1.27,0.21,kg/m2 BMI change,0.630,0.004,no significant confirmed BMI decrease,within_group_only_or_mixed; diet_confounded,no,labeled_groups_split_on_vs,explicit_between_group,,probiotic -1.06 +/- 1.13 vs placebo -1.27 +/- 1.14,"Both groups improved with diet; probiotic had no added BMI effect. Arm SDs found, but exact arm n missing; total n=12 available for balanced-n sensitivity only.",balanced_n_sensitivity_only,two_arm_mean_sd_missing_arm_n
PMID:40066582,body_fat,,,probiotic_vs_placebo_change,,,0.65,kg fat mass change,0.347,,,,,,,,fat mass kg probiotic -2.04 +/- 2.29 vs placebo -2.69 +/- 2.34,"Corrected split of a mixed-unit source row; positive values favor placebo; both groups received low-calorie medical nutrition therapy. Arm SDs found, but exact arm n missing; total n=12 available for balanced-n sensitivity only.",balanced_n_sensitivity_only,two_arm_mean_sd_missing_arm_n
PMID:40066582,weight,adiposity,aggregate_trial,probiotic_vs_placebo_change,-2.75,-4.11,1.36,kg body weight change,0.266,0.002,no significant confirmed weight decrease,between_group_not_significant; within_group_only_or_mixed; diet_confounded,no,labeled_groups_split_on_vs,explicit_between_group,,probiotic -2.75 +/- 2.60 vs placebo -4.11 +/- 2.87,"Both groups followed low-calorie medical nutrition therapy; between-group difference not significant. Arm SDs found, but exact arm n missing; total n=12 available for balanced-n sensitivity only.",balanced_n_sensitivity_only,two_arm_mean_sd_missing_arm_n
PMID:40409234,BMI,adiposity,aggregate_trial,probiotic_vs_control_change,-0.3,-0.6,0.3,kg/m2 change,0.22,,decrease,,limited,labeled_groups_split_on_vs,group_by_time_as_between_group,,probiotic -0.3 +/- 0.9 vs control -0.6 +/- 1.2,"No significant probiotic group-by-time effect. Effect text parses, but direct validation still needs exact per-arm n.",needs_full_text_arm_n,two_arm_mean_sd_missing_arm_n
