evidence_id,outcome_domain,endpoint_type,analysis_population,comparison,intervention_effect,control_effect,effect_difference,effect_unit,between_group_p,within_group_p,direction,evidence_modifier,positive_efficacy_label,effect_parse_method,p_value_parse_method,structure_warning,source_final_value,source_note
PMID:36944956,weight,adiposity,aggregate_trial,four_K56_doses_vs_placebo_change,,,,qualitative,not_significant,,no significant between-group effect,between_group_not_significant,no,qualitative_or_missing_value,explicit_between_group,no numeric effect parsed; between-group numeric P value unavailable,no significant difference in mean change across dose groups,Pilot dose-ranging study; weight changes were not significantly different between groups.
PMID:36944956,BMI,adiposity,aggregate_trial,four_K56_doses_vs_placebo_change,,,,qualitative,not_significant,,no significant between-group effect,between_group_not_significant,no,qualitative_or_missing_value,explicit_between_group,no numeric effect parsed; between-group numeric P value unavailable,no significant difference in mean change across dose groups,BMI reductions in some K56 groups were not significant between groups.
PMID:36944956,waist,adiposity,aggregate_trial,K56_2x10^9_CFU_within_group_change,-1.7,,,cm within-group change,not_significant,0.01,decrease within selected dose group,between_group_not_significant; within_group_only_or_mixed,no,single_group_or_unlabeled_value,explicit_between_group,control effect unavailable; between-group numeric P value unavailable,2x10^9 CFU/day K56: -1.7 cm,Within-group dose-selected result; between-group anthropometric changes were not significant.
PMID:36944956,body_fat,adiposity,aggregate_trial,K56_2x10^9_CFU_within_group_change,-0.72,,,kg and percentage-point within-group change,not_significant,,decrease within selected dose group,between_group_not_significant; within_group_only_or_mixed,no,single_group_or_unlabeled_value,explicit_between_group,control effect unavailable; between-group numeric P value unavailable,2x10^9 CFU/day K56: -0.72 kg fat mass; -0.867 percentage points body fat,Dose-selected within-group signal; not a confirmed overall between-group efficacy result.
PMID:37252684,body_fat,adiposity,PP,green_lipped_mussel_vs_placebo_change,,,,qualitative,not_significant,,no significant between-group effect,between_group_not_significant,no,qualitative_or_missing_value,explicit_between_group,no numeric effect parsed; between-group numeric P value unavailable,no significant between-group change in body-composition parameters,3 g/day whole green-lipped mussel powder; baseline body-fat imbalance noted.
PMID:38393021,weight,adiposity,aggregate_trial,L_bulgaricus_vs_placebo,,,,qualitative,,,no significant effect,,no,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,no effect on body weight,1x10^8 CFU/day pilot trial.
PMID:38393021,BMI,adiposity,PP,L_bulgaricus_vs_placebo,,,,qualitative,,,no significant effect,,no,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,no effect on BMI or fat percentage,Pilot trial did not support weight-loss efficacy.
PMID:38393021,lipid,metabolic,aggregate_trial,L_bulgaricus_vs_placebo,,,,qualitative lipid result,,,decrease,,limited,qualitative_or_missing_value,explicit_between_group,no numeric effect parsed,triglycerides decreased in probiotic-treated group,TG signal accompanied by changes in VLDL/HDL triglyceride fractions.
PMID:24795503,glucose,metabolic,aggregate_trial,VSL3_vs_placebo_relative_change,,,,qualitative insulin-sensitivity result,<0.01,,improve,,yes,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,VSL#3 improved insulin sensitivity,Four-arm trial; baseline imbalances and relative-change analysis should be considered.
PMID:24795503,lipid,metabolic,aggregate_trial,VSL3_vs_placebo_relative_change,,,,qualitative lipid profile,<0.05,,improve,,yes,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,"total cholesterol, triglyceride, LDL and VLDL decreased; HDL increased",Small four-arm trial; exact effect sizes remain table-level extraction targets.
PMID:24795503,microbiome,microbiome,aggregate_trial,VSL3_vs_placebo,,,,qualitative microbiome result,,,changed,,limited,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,VSL#3 favorably altered gut microbial composition,Culture-based colonization/composition result; exact taxa counts require table extraction.
EUROPEPMC:40676704,weight,adiposity,aggregate_trial,BL21_vs_placebo_change,-1.22,-0.98,-0.240,kg change,0.81,0.02,no significant between-group effect,between_group_not_significant; within_group_only_or_mixed,no,labeled_groups_split_on_vs,explicit_between_group,,BL21 -1.22 +/- 2.78 vs placebo -0.98 +/- 2.06,Both groups lost weight; no BL21-specific between-group effect.
EUROPEPMC:40676704,lipid,metabolic,aggregate_trial,BL21_within_group_change,-0.21,,,triglyceride change; source unit requires table confirmation,,0.04,decrease within intervention group,within_group_only_or_mixed,limited,single_group_or_unlabeled_value,explicit_between_group,control effect unavailable,BL21 -0.21 +/- 1.09,Within-group triglyceride signal only; not a confirmed between-group treatment effect.
EUROPEPMC:40676704,microbiome,microbiome,aggregate_trial,BL21_vs_placebo,,,,qualitative microbiome result,,,changed,,limited,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,"beta-diversity differed; Parasutterella, Parabacteroides, Blautia, Dorea and Butyricicoccus enriched",Multi-omics result; taxa and pathway findings are exploratory.
PMID:38713231,body_fat,adiposity,aggregate_trial,16_g_day_inulin_vs_maltodextrin_change,,,,qualitative body-composition result,0.014,,decrease,,yes,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,trunk fat mass at 6 months and trunk fat percentage at 3 months favored prebiotic,Population had knee osteoarthritis and obesity; mostly women.
PMID:38713231,microbiome,microbiome,PP,16_g_day_inulin_vs_maltodextrin,37,,,qualitative microbiome result,,,changed,,limited,single_group_or_unlabeled_value,unlabeled_first_p_value,control effect unavailable,37 ASVs differed between groups; Bifidobacterium correlated with physical function,Taxa result is exploratory; correlation does not establish mediation.
PMID:32615727,waist,adiposity,aggregate_trial,CJLS03_vs_placebo_change,0.8,,,cm between-group difference,0.013,,decrease,,yes,single_group_or_unlabeled_value,explicit_between_group,control effect unavailable,CJLS03 0.8 cm lower than placebo,Waist circumference change favored CJLS03.
PMID:32615727,body_fat,adiposity,aggregate_trial,CJLS03_vs_placebo_change,-0.2,+0.6,-0.800,kg body fat mass change,0.018,,decrease,,yes,labeled_groups_split_on_vs,explicit_between_group,,CJLS03 -0.2 vs placebo +0.6,Primary body-fat outcome favored CJLS03; adverse events were mild and similar.
EUROPEPMC:40218949,BMI,adiposity,aggregate_trial,LMT1-48_vs_placebo,,,,qualitative,,,unclear,within_group_only_or_mixed,limited,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,no confirmed between-group BMI estimate in abstract,Do not infer BMI efficacy from the body-fat within-group result.
EUROPEPMC:40218949,body_fat,adiposity,aggregate_trial,LMT1-48_within_group_change,30.0,,,kg body fat mass,,0.009,decrease within intervention group,within_group_only_or_mixed,limited,single_group_or_unlabeled_value,explicit_between_group,control effect unavailable,LMT1-48 30.0 +/- 4.4 to 28.3 +/- 4.1,Abstract reports within-group change; between-group treatment effect requires table confirmation.
EUROPEPMC:40218949,microbiome,microbiome,PP,LMT1-48_vs_placebo,,,,qualitative microbiome result,,,changed,,limited,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,obesity-associated microbial taxa changed,Taxa-level details require table/supplement confirmation.
PMID:40353878,weight,adiposity,aggregate_trial,low_dose_nabilone_vs_placebo_completers,,,,qualitative completer-only result,<0.001,,decrease,,yes,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,low-dose nabilone completers decreased more than placebo,Trial terminated early for poor tolerability; all high-dose participants withdrew. Very high risk of attrition bias.
PMID:40353878,BMI,adiposity,aggregate_trial,low_dose_nabilone_vs_placebo_completers,,,,qualitative completer-only result,<0.001,,decrease,,yes,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,low-dose nabilone completers decreased more than placebo,Early termination and severe differential attrition prevent efficacy inference.
PMID:40353878,microbiome,microbiome,aggregate_trial,low_dose_nabilone_vs_placebo_completers,,,,qualitative beta-diversity result,<0.05,,changed,,yes,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,greater Bray-Curtis compositional change with low-dose nabilone,Exploratory completer-only microbiome result in an early-terminated trial.
