evidence_id,outcome_domain,endpoint_type,analysis_population,comparison,intervention_effect,control_effect,effect_difference,effect_unit,between_group_p,within_group_p,direction,evidence_modifier,positive_efficacy_label,effect_parse_method,p_value_parse_method,structure_warning,source_final_value,source_note
EUROPEPMC:41413231,weight,adiposity,aggregate_trial,synbiotic_vs_placebo_adjusted,-1.16,,,kg,<0.001,,decrease,,yes,single_group_or_unlabeled_value,explicit_between_group,control effect unavailable,adjusted difference -1.16 (95% CI -1.36 to -0.97),Older adults with T2DM and high cardiovascular risk.
EUROPEPMC:41413231,BMI,adiposity,aggregate_trial,synbiotic_vs_placebo_adjusted,-0.44,,,kg/m2,<0.001,,decrease,,yes,single_group_or_unlabeled_value,explicit_between_group,control effect unavailable,adjusted difference -0.44 (95% CI -0.51 to -0.36),Linear mixed ANCOVA.
EUROPEPMC:41413231,glucose,metabolic,aggregate_trial,synbiotic_vs_placebo_adjusted,-22.83,,,adjusted between-group difference,0.003,,improve,,yes,single_group_or_unlabeled_value,unlabeled_first_p_value,control effect unavailable; multiple unlabeled P values; first retained,FPG -22.83 mg/dL (95% CI -31.30 to -14.36); HOMA-IR -1.31 (-1.75 to -0.86),HbA1c and insulin did not show significant between-group effects.
EUROPEPMC:41413231,lipid,metabolic,aggregate_trial,synbiotic_vs_placebo_adjusted,-10.83,,,adjusted between-group difference,0.002,,improve,within_group_only_or_mixed,yes,single_group_or_unlabeled_value,unlabeled_first_p_value,control effect unavailable; multiple unlabeled P values; first retained,LDL-C -10.83 mg/dL; total cholesterol -11.78 mg/dL,Triglycerides decreased within synbiotic arm but not between groups.
PMID:33763720,weight,adiposity,aggregate_trial,Mediterranean_diet_vs_habitual_diet,,,,qualitative,,,no significant weight effect,diet_confounded,no,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,isocaloric Mediterranean diet effect independent of body-weight change,"Mechanistic dietary study, not a weight-loss intervention."
PMID:33763720,BMI,adiposity,aggregate_trial,Mediterranean_diet_vs_habitual_diet,,,,qualitative,,,no significant weight effect,diet_confounded,no,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed,no intervention-related BMI reduction reported,Isocaloric intervention.
PMID:33763720,glucose,metabolic,subgroup,baseline_biomarker_subgroup_within_MD,-23.9,,,subgroup within Mediterranean-diet arm,,0.01,improve in subgroup,within_group_only_or_mixed; subgroup_only,limited,single_group_or_unlabeled_value,explicit_within_group_only,control effect unavailable; between-group P value unavailable,HOMA-IR -23.9% at week 8 in low baseline OEA/PEA subgroup,Post-randomization biomarker subgroup; not an overall randomized treatment effect.
PMID:33763720,microbiome,microbiome,aggregate_trial,Mediterranean_diet_vs_habitual_diet,,,,qualitative microbiome result,0.026,,changed,diet_confounded,yes,qualitative_or_missing_value,explicit_between_group,no numeric effect parsed,Akkermansia muciniphila abundance increased,Effect occurred independently of body-weight change.
PMID:40732984,weight,adiposity,aggregate_trial,WLM3P_vs_low_calorie_diet,-20.6,-12.9,-7.700,kg change,0.01,,decrease,diet_confounded,yes,labeled_groups_split_on_vs,explicit_between_group,,WLM3P -20.6 vs LCD -12.9; adjusted group difference -6.50 (95% CI -11.93 to -1.07),Multicomponent weight-management program versus low-calorie diet.
PMID:40732984,BMI,adiposity,aggregate_trial,WLM3P_vs_low_calorie_diet,-7.1,-4.6,-2.500,kg/m2 change,<0.001,,decrease,diet_confounded,yes,labeled_groups_split_on_vs,explicit_between_group,,WLM3P -7.1 vs LCD -4.6; adjusted difference -2.61 (95% CI -3.69 to -1.52),"Large change reflects multicomponent program, not a probiotic intervention."
PMID:40732984,body_fat,adiposity,aggregate_trial,WLM3P_vs_low_calorie_diet,-6.09,,,between-group difference,<0.001,,decrease,diet_confounded,yes,single_group_or_unlabeled_value,unlabeled_first_p_value,control effect unavailable,fat mass adjusted difference -6.09 kg; visceral fat -30.70 cm2,Faecalibacterium association with fat loss was exploratory and adjusted observational analysis.
PMID:40732984,lipid,metabolic,aggregate_trial,WLM3P_vs_low_calorie_diet,,,,qualitative,0.62,,no significant between-group effect,diet_confounded,no,qualitative_or_missing_value,unlabeled_first_p_value,no numeric effect parsed; multiple unlabeled P values; first retained,"no significant LDL-C, HDL-C or triglyceride difference",Both groups improved some lipid measures over time.
PMID:40732984,microbiome,microbiome,aggregate_trial,WLM3P_vs_low_calorie_diet,0.03,,,qualitative microbiome result,,,changed,within_group_only_or_mixed; diet_confounded,limited,single_group_or_unlabeled_value,explicit_within_group_only,control effect unavailable; between-group P value unavailable,WLM3P Shannon p=0.03 and beta-diversity p<0.01; multiple genera changed,Faecalibacterium interaction with fat-mass outcomes p<0.001; mediation not established.
