effect_id,study_id,evidence_id,outcome_domain,effect_measure,estimate,standard_error,variance,ci_lower,ci_upper,effect_unit,intervention_mean,intervention_sd,intervention_n,control_mean,control_sd,control_n,intervention_arm_id,control_arm_id,comparison,time_point,sample_size_total,extraction_method,validation_ready,source_final_value
PMID:40409234::weight,PMID:40409234,PMID:40409234,weight,unadjusted_mean_difference,0.8999999999999999,0.7571091636707917,0.5732142857142857,-0.5839339607947518,2.3839339607947516,kg change,-0.8,2.3,23.0,-1.7,3.1,28.0,PMID:40409234::arm:intervention,PMID:40409234::arm:control,probiotic_vs_control_change,12 weeks,23.0,two_arm_mean_sd_and_arm_n,True,probiotic -0.8 +/- 2.3 vs control -1.7 +/- 3.1
PMID:40409234::BMI,PMID:40409234,PMID:40409234,BMI,unadjusted_mean_difference,0.3,0.2943568628942075,0.08664596273291926,-0.2769394512726467,0.8769394512726467,kg/m2 change,-0.3,0.9,23.0,-0.6,1.2,28.0,PMID:40409234::arm:intervention,PMID:40409234::arm:control,probiotic_vs_control_change,12 weeks,23.0,two_arm_mean_sd_and_arm_n,True,probiotic -0.3 +/- 0.9 vs control -0.6 +/- 1.2
PMID:40409234::waist,PMID:40409234,PMID:40409234,waist,unadjusted_mean_difference,1.2,0.6957613462471719,0.484083850931677,-0.16369223864445703,2.5636922386444567,cm waist circumference change,-1.3,1.8,23.0,-2.5,3.1,28.0,PMID:40409234::arm:intervention,PMID:40409234::arm:control,probiotic_vs_control_change,12 weeks,23.0,two_arm_mean_sd_and_arm_n,True,probiotic -1.3 +/- 1.8 vs control -2.5 +/- 3.1
PMID:40409234::body_fat,PMID:40409234,PMID:40409234,body_fat,unadjusted_mean_difference,1.11,0.5561545821573876,0.30930791925465834,0.019937018971520448,2.2000629810284797,kg total fat mass change,-0.69,1.16,23.0,-1.8,2.65,28.0,PMID:40409234::arm:intervention,PMID:40409234::arm:control,probiotic_vs_control_change,12 weeks,23.0,two_arm_mean_sd_and_arm_n,True,probiotic -0.69 +/- 1.16 vs control -1.80 +/- 2.65
PMID:37447365::weight,PMID:37447365,PMID:37447365,weight,unadjusted_mean_difference,-1.06,0.37293612848878477,0.1390813559322034,-1.7909548118380183,-0.3290451881619819,kg change,-0.69,2.17,59.0,0.37,1.87,59.0,PMID:37447365::arm:intervention,PMID:37447365::arm:control,probiotic_vs_placebo_change,3 months,59.0,two_arm_mean_sd_and_arm_n,True,probiotic -0.69 +/- 2.17 vs placebo +0.37 +/- 1.87
PMID:37447365::BMI,PMID:37447365,PMID:37447365,BMI,unadjusted_mean_difference,-0.37,0.1265246006761973,0.01600847457627119,-0.6179882173253467,-0.12201178267465329,kg/m2 change,-0.24,0.74,59.0,0.13,0.63,59.0,PMID:37447365::arm:intervention,PMID:37447365::arm:control,probiotic_vs_placebo_change,3 months,59.0,two_arm_mean_sd_and_arm_n,True,probiotic -0.24 +/- 0.74 vs placebo +0.13 +/- 0.63
PMID:37447365::waist,PMID:37447365,PMID:37447365,waist,unadjusted_mean_difference,-1.17,0.4834989001442278,0.23377118644067796,-2.1176578442826863,-0.22234215571731342,cm waist circumference change,-1.57,2.7,59.0,-0.4,2.55,59.0,PMID:37447365::arm:intervention,PMID:37447365::arm:control,probiotic_vs_placebo_change,3 months,59.0,two_arm_mean_sd_and_arm_n,True,probiotic -1.57 +/- 2.70 vs placebo -0.40 +/- 2.55
PMID:37447365::body_fat,PMID:37447365,PMID:37447365,body_fat,unadjusted_mean_difference,-0.74,,,,,kg body fat mass change,-0.61,1.94,,0.13,1.64,,PMID:37447365::arm:intervention,PMID:37447365::arm:control,probiotic_vs_placebo_change,3 months,176.0,two_arm_mean_sd_missing_arm_n,False,probiotic -0.61 +/- 1.94 vs placebo +0.13 +/- 1.64
PMID:37111082::weight,PMID:37111082,PMID:37111082,weight,unadjusted_mean_difference,-1.7199999999999989,3.166155814411071,10.024542641129031,-7.925665396245698,4.4856653962457,kg endpoint,72.1,12.85,32.0,73.82,12.28,31.0,PMID:37111082::arm:intervention,PMID:37111082::arm:control,synbiotic_vs_placebo_endpoint,12 weeks,32.0,two_arm_mean_sd_and_arm_n,True,synbiotic 72.10 +/- 12.85 vs placebo 73.82 +/- 12.28 at week 12
PMID:37111082::BMI,PMID:37111082,PMID:37111082,BMI,unadjusted_mean_difference,-0.6099999999999994,0.802583969579387,0.6441410282258064,-2.183064580375598,0.963064580375599,kg/m2 endpoint,26.85,2.91,32.0,27.46,3.43,31.0,PMID:37111082::arm:intervention,PMID:37111082::arm:control,synbiotic_vs_placebo_endpoint,12 weeks,32.0,two_arm_mean_sd_and_arm_n,True,synbiotic 26.85 +/- 2.91 vs placebo 27.46 +/- 3.43 at week 12
