effect_id,study_id,evidence_id,outcome_domain,effect_measure,estimate,standard_error,variance,ci_lower,ci_upper,effect_unit,intervention_mean,intervention_sd,intervention_n,control_mean,control_sd,control_n,intervention_arm_id,control_arm_id,comparison,time_point,sample_size_total,extraction_method,validation_ready,confidence,source_final_value
EUROPEPMC:42074987::body_fat::percent of baseline body fat mass,EUROPEPMC:42074987,EUROPEPMC:42074987,body_fat,between_group_difference,-2.26,0.9381814999391974,0.8801845268281623,-4.098835739880826,-0.42116426011917296,percent of baseline body fat mass,,,,,,,EUROPEPMC:42074987::arm:intervention,EUROPEPMC:42074987::arm:control,postbiotic_vs_placebo_percent_of_baseline,,30.0,curated_structured_effect_pbound,True,high,Postbiotic 98.15% vs placebo 100.41% of baseline body fat mass
PMID:39051504::BMI::kg/m2 change,PMID:39051504,PMID:39051504,BMI,between_group_difference,-0.16,0.11654614934756245,0.013583004927744332,-0.3884304527212224,0.06843045272122239,kg/m2 change,,,,,,,PMID:39051504::arm:intervention,PMID:39051504::arm:control,probiotic_vs_placebo_change,,49.0,curated_structured_effect_pbound,True,high,probiotic -0.23 +/- 0.43 vs placebo -0.07 +/- 0.59
PMID:39051504::body_fat::kg total fat mass change,PMID:39051504,PMID:39051504,body_fat,between_group_difference,-0.29,0.14170027624728768,0.02007896828855764,-0.5677325414446839,-0.012267458555316135,kg total fat mass change,,,,,,,PMID:39051504::arm:intervention,PMID:39051504::arm:control,probiotic_vs_placebo_change,,49.0,curated_structured_effect_pbound,True,high,probiotic -0.45 +/- 0.83 vs placebo -0.16 +/- 0.83
PMID:39051504::lipid::mg/dL triglyceride change,PMID:39051504,PMID:39051504,lipid,between_group_difference,-28.0,10.68813369234778,114.23620182549978,-48.94874203700165,-7.051257962998353,mg/dL triglyceride change,,,,,,,PMID:39051504::arm:intervention,PMID:39051504::arm:control,probiotic_vs_placebo_change,,49.0,curated_structured_effect_pbound,True,high,probiotic -15 +/- 62 vs placebo +13 +/- 60
PMID:40066582::weight::kg body weight change,PMID:40066582,PMID:40066582,weight,between_group_difference,1.36,1.2226682324400364,1.494917606618043,-1.0364297355824712,3.756429735582471,kg body weight change,,,,,,,PMID:40066582::arm:intervention,PMID:40066582::arm:control,probiotic_vs_placebo_change,,12.0,curated_structured_effect_pbound,True,high,probiotic -2.75 +/- 2.60 vs placebo -4.11 +/- 2.87
PMID:40066582::BMI::kg/m2 BMI change,PMID:40066582,PMID:40066582,BMI,between_group_difference,0.21,0.4359316907102629,0.19003643896550831,-0.6444261137921152,1.0644261137921152,kg/m2 BMI change,,,,,,,PMID:40066582::arm:intervention,PMID:40066582::arm:control,probiotic_vs_placebo_change,,12.0,curated_structured_effect_pbound,True,high,probiotic -1.06 +/- 1.13 vs placebo -1.27 +/- 1.14
PMID:40066582::body_fat::percentage-point and kg fat mass change,PMID:40066582,PMID:40066582,body_fat,between_group_difference,-0.42,0.4466069545721818,0.19945777187223887,-1.2953496309614763,0.45534963096147635,percentage-point and kg fat mass change,,,,,,,PMID:40066582::arm:intervention,PMID:40066582::arm:control,probiotic_vs_placebo_change,,12.0,curated_structured_effect_pbound,True,high,fat mass % probiotic -1.98 +/- 1.63 vs placebo -1.56 +/- 2.20; fat mass kg probiotic -2.04 +/- 2.29 vs placebo -2.69 +/- 2.34
PMID:40066582::lipid::mg/dL change,PMID:40066582,PMID:40066582,lipid,between_group_difference,-10.59,124.10816318447195,15402.836169023518,-253.841999841565,232.661999841565,mg/dL change,,,,,,,PMID:40066582::arm:intervention,PMID:40066582::arm:control,probiotic_vs_placebo_change,,12.0,curated_structured_effect_pbound,True,high,TC probiotic -36.50 +/- 19.27 vs placebo -25.91 +/- 19.25; LDL probiotic -31.75 +/- 18.11 vs placebo -31.91 +/- 31.00; TG probiotic -31.83 +/- 67.37 vs placebo -28.25 +/- 59.09
PMID:40732984::weight::kg change,PMID:40732984,PMID:40732984,weight,between_group_difference,-7.7,2.770408163265306,7.6751613910870455,-13.129999999999999,-2.2700000000000005,kg change,,,,,,,PMID:40732984::arm:intervention,PMID:40732984::arm:control,WLM3P_vs_low_calorie_diet,,29.0,curated_structured_effect_ci,True,high,WLM3P -20.6 vs LCD -12.9; adjusted group difference -6.50 (95% CI -11.93 to -1.07)
PMID:40732984::BMI::kg/m2 change,PMID:40732984,PMID:40732984,BMI,between_group_difference,-2.5,0.5535714285714286,0.3064413265306123,-3.585,-1.415,kg/m2 change,,,,,,,PMID:40732984::arm:intervention,PMID:40732984::arm:control,WLM3P_vs_low_calorie_diet,,29.0,curated_structured_effect_ci,True,high,WLM3P -7.1 vs LCD -4.6; adjusted difference -2.61 (95% CI -3.69 to -1.52)
PMID:40828642::weight::kg change,PMID:40828642,PMID:40828642,weight,between_group_difference,-3.17,0.9633715993435256,0.9280848384217023,-5.05820833471331,-1.2817916652866899,kg change,,,,,,,PMID:40828642::arm:intervention,PMID:40828642::arm:control,energy_restriction_plus_exercise_vs_usual_lifestyle,,18.0,curated_structured_effect_pbound,True,high,intervention -2.6 +/- 1.5 vs control +0.57 +/- 0.84
PMID:40828642::body_fat::kg fat-mass change,PMID:40828642,PMID:40828642,body_fat,between_group_difference,-1.7,0.5166346116353292,0.26691132193958744,-2.7126038388052454,-0.6873961611947548,kg fat-mass change,,,,,,,PMID:40828642::arm:intervention,PMID:40828642::arm:control,energy_restriction_plus_exercise_vs_usual_lifestyle,,18.0,curated_structured_effect_pbound,True,high,intervention -1.5 +/- 1.3 vs control +0.2 +/- 1.0
