"evidence_id","outcome_domain","final_value","comparison","p_value_confirmed","sample_size_confirmed","source_file","reviewer_note"
"PMID:36944956","weight","no significant difference in mean change across dose groups","four_K56_doses_vs_placebo_change","between-group not significant","n=74 randomized across 5 groups","s12986-023-00739-y.pdf","Pilot dose-ranging study; weight changes were not significantly different between groups."
"PMID:36944956","BMI","no significant difference in mean change across dose groups","four_K56_doses_vs_placebo_change","between-group not significant","n=74 randomized across 5 groups","s12986-023-00739-y.pdf","BMI reductions in some K56 groups were not significant between groups."
"PMID:36944956","waist","2x10^9 CFU/day K56: -1.7 cm","K56_2x10^9_CFU_within_group_change","0.01 within group; between-group not significant","n=74 randomized across 5 groups","s12986-023-00739-y.pdf","Within-group dose-selected result; between-group anthropometric changes were not significant."
"PMID:36944956","body_fat","2x10^9 CFU/day K56: -0.72 kg fat mass; -0.867 percentage points body fat","K56_2x10^9_CFU_within_group_change","fat mass p=0.018; percent body fat p=0.004; overall between-group anthropometric changes not significant","n=74 randomized across 5 groups","s12986-023-00739-y.pdf","Dose-selected within-group signal; not a confirmed overall between-group efficacy result."
"PMID:37252684","body_fat","no significant between-group change in body-composition parameters","green_lipped_mussel_vs_placebo_change","between-group not significant","n=49 randomized; n=47 table analysis","effect-of-green-lipped-mussel-perna-canaliculus-supplementation-on-faecal-microbiota-body-composition-and-iron-status-markers-in-overweight-and-obese-postmenopausal-women-a-randomised-double-blind-pla.pdf","3 g/day whole green-lipped mussel powder; baseline body-fat imbalance noted."
"PMID:38393021","weight","no effect on body weight","L_bulgaricus_vs_placebo","not significant","n=36 randomized","metabolites-14-00129.pdf","1x10^8 CFU/day pilot trial."
"PMID:38393021","BMI","no effect on BMI or fat percentage","L_bulgaricus_vs_placebo","not significant","n=36 randomized","metabolites-14-00129.pdf","Pilot trial did not support weight-loss efficacy."
"PMID:38393021","lipid","triglycerides decreased in probiotic-treated group","L_bulgaricus_vs_placebo","exact between-group p requires table confirmation","n=36 randomized","metabolites-14-00129.pdf","TG signal accompanied by changes in VLDL/HDL triglyceride fractions."
"PMID:24795503","glucose","VSL#3 improved insulin sensitivity","VSL3_vs_placebo_relative_change","<0.01","n=60 randomized; n=15 per arm","Mediators of Inflammation - 2014 - Rajkumar - Effect of Probiotic  VSL 3  and Omega‐3 on Lipid Profile  Insulin Sensitivity.pdf","Four-arm trial; baseline imbalances and relative-change analysis should be considered."
"PMID:24795503","lipid","total cholesterol, triglyceride, LDL and VLDL decreased; HDL increased","VSL3_vs_placebo_relative_change","<0.05","n=60 randomized; n=15 per arm","Mediators of Inflammation - 2014 - Rajkumar - Effect of Probiotic  VSL 3  and Omega‐3 on Lipid Profile  Insulin Sensitivity.pdf","Small four-arm trial; exact effect sizes remain table-level extraction targets."
