evidence_id,outcome_domain,final_value,final_unit,final_direction,comparison,time_point,p_value_confirmed,sample_size_confirmed,reviewer_note
EUROPEPMC:41413231,weight,adjusted difference -1.16 (95% CI -1.36 to -0.97),kg,decrease,synbiotic_vs_placebo_adjusted,4 months,<0.001 between-group,n=96 randomized; n=85 completed; modified ITT,Older adults with T2DM and high cardiovascular risk.
EUROPEPMC:41413231,BMI,adjusted difference -0.44 (95% CI -0.51 to -0.36),kg/m2,decrease,synbiotic_vs_placebo_adjusted,4 months,<0.001 between-group,n=96 randomized; n=85 completed; modified ITT,Linear mixed ANCOVA.
EUROPEPMC:41413231,glucose,FPG -22.83 mg/dL (95% CI -31.30 to -14.36); HOMA-IR -1.31 (-1.75 to -0.86),adjusted between-group difference,improve,synbiotic_vs_placebo_adjusted,4 months,FPG p=0.003; HOMA-IR p=0.001; insulin p=0.060,n=96 randomized; n=85 completed; modified ITT,HbA1c and insulin did not show significant between-group effects.
EUROPEPMC:41413231,lipid,LDL-C -10.83 mg/dL; total cholesterol -11.78 mg/dL,adjusted between-group difference,improve,synbiotic_vs_placebo_adjusted,4 months,LDL-C p=0.002; total cholesterol p=0.012; TG p=0.416,n=96 randomized; n=85 completed; modified ITT,Triglycerides decreased within synbiotic arm but not between groups.
PMID:28730743,body_fat,whey -0.9 +/- 1.6 kg and -0.9 +/- 1.6% vs control +0.1 +/- 1.4 kg and +0.2 +/- 1.1%,fat mass change,decrease,whey_vs_control_change,12 weeks,significant between-group; exact p requires table confirmation,four-arm RCT; group n requires table confirmation,"Body-fat effect belonged to whey protein, not inulin-type fructans."
PMID:28730743,weight,"no significant change in body weight, BMI or waist circumference in any group",qualitative,no significant between-group effect,ITF_whey_combination_vs_control,12 weeks,not significant,four-arm RCT,Prebiotic altered microbiota and appetite but did not improve weight loss.
PMID:33763720,weight,isocaloric Mediterranean diet effect independent of body-weight change,qualitative,no significant weight effect,Mediterranean_diet_vs_habitual_diet,8 weeks,body-weight change not significant,"n=82 randomized; MD n=43, control n=39","Mechanistic dietary study, not a weight-loss intervention."
PMID:33763720,BMI,no intervention-related BMI reduction reported,qualitative,no significant weight effect,Mediterranean_diet_vs_habitual_diet,8 weeks,not significant,n=82 randomized,Isocaloric intervention.
PMID:33763720,glucose,HOMA-IR -23.9% at week 8 in low baseline OEA/PEA subgroup,subgroup within Mediterranean-diet arm,improve in subgroup,baseline_biomarker_subgroup_within_MD,8 weeks,0.01 subgroup within-group,n=82 randomized; subgroup quartile,Post-randomization biomarker subgroup; not an overall randomized treatment effect.
PMID:33763720,microbiome,Akkermansia muciniphila abundance increased,qualitative microbiome result,changed,Mediterranean_diet_vs_habitual_diet,8 weeks,0.026 between-group/time analysis,n=82 randomized; ITT microbiome analysis,Effect occurred independently of body-weight change.
PMID:35247098,weight,no significant anthropometric differences,qualitative,no significant between-group effect,27_g_day_wheat_aleurone_vs_cellulose,4 weeks,not significant,aleurone n=34; placebo n=33,Aleurone did not improve clinical anthropometric markers.
PMID:35247098,BMI,no significant BMI difference,qualitative,no significant between-group effect,27_g_day_wheat_aleurone_vs_cellulose,4 weeks,not significant,aleurone n=34; placebo n=33,Primary homocysteine and other clinical outcomes were null.
