study_id,subject_id,source_database,source_accession,source_url,publication_doi,publication_pmid,intervention_type,probiotic_species,probiotic_strain,number_of_strains,total_CFU_per_day,log10_CFU_per_day,strain_specific_CFU,prebiotic_type,prebiotic_dose_g_day,duration_weeks,dosage_form,placebo_type
EUROPEPMC:PMC12938260,needs_manual_extraction,publisher supplementary data,PMC12938260,,,,needs_manual_extraction,Lactobacillus helveticus,UA881,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
EUROPEPMC:41163054,needs_manual_extraction,PubMed,41163054,https://europepmc.org/article/MED/41163054,10.1186/s13063-025-09180-3,41163054,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
PMID:40409234,needs_manual_extraction,PubMed,40409234,https://pubmed.ncbi.nlm.nih.gov/40409234/,10.1016/j.clnu.2025.05.005,40409234,probiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
PMID:37447365,needs_manual_extraction,PubMed,37447365,https://pubmed.ncbi.nlm.nih.gov/37447365/,10.3390/nu15133039,37447365,probiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
PMID:37111082,needs_manual_extraction,PubMed,37111082,https://pubmed.ncbi.nlm.nih.gov/37111082/,10.3390/nu15081863,37111082,synbiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
NCT:NCT02125955,needs_manual_extraction,ClinicalTrials.gov,NCT02125955,https://clinicaltrials.gov/study/NCT02125955,,,prebiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
NCT:NCT02151825,needs_manual_extraction,ClinicalTrials.gov,NCT02151825,https://clinicaltrials.gov/study/NCT02151825,,,synbiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
EUROPEPMC:42116047,needs_manual_extraction,PubMed,42116047,https://europepmc.org/article/MED/42116047,10.1186/s12986-026-01124-1,42116047,probiotic,Bifidobacterium bifidum,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
EUROPEPMC:41512635,needs_manual_extraction,PubMed,41512635,https://europepmc.org/article/MED/41512635,10.1016/j.clnu.2025.106560,41512635,synbiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
PMID:40416368,needs_manual_extraction,PubMed,40416368,https://pubmed.ncbi.nlm.nih.gov/40416368/,10.3389/fnut.2025.1542145,40416368,needs_manual_extraction,Bacillus coagulans,BC99,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
PMID:40598275,needs_manual_extraction,PubMed,40598275,https://pubmed.ncbi.nlm.nih.gov/40598275/,10.1186/s12916-025-04189-6,40598275,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
PMID:41321998,needs_manual_extraction,PubMed,41321998,https://pubmed.ncbi.nlm.nih.gov/41321998/,10.1016/j.csbj.2025.11.021,41321998,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
PMID:40385498,needs_manual_extraction,PubMed,40385498,https://pubmed.ncbi.nlm.nih.gov/40385498/,10.1007/s40200-025-01632-6,40385498,synbiotic,,,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction,needs_manual_extraction
