evidence_id,source_database,source_accession,title,intervention_component,suggested_intervention,suggested_duration,suggested_cfu,suggested_dose,final_species,final_strain,final_total_CFU_per_day,final_log10_CFU_per_day,final_prebiotic_type,final_prebiotic_dose_g_day,final_duration_weeks,final_dosage_form,reviewer,review_status,reviewer_note
PMID:39051504,PMID,39051504,,,,,,,,,,,,,,,,pending,required for interpretable moderator modeling
PMID:40066582,PMID,40066582,,,,,,,,,,,,,,,,pending,required for interpretable moderator modeling
DOI:10.3803/EnM.2020.35.2.425,DOI,10.3803/EnM.2020.35.2.425,Effect of Lactobacillus sakei CJLS03 on body fat in Koreans with obesity (EnM 2020),,,,,,,,,,,,,,,pending,required for interpretable moderator modeling
PMID:38542727,PMID,38542727,,,,,,,,,,,,,,,,pending,required for interpretable moderator modeling
PMID:40385498,PMID,40385498,,,,,,,,,,,,,,,,pending,required for interpretable moderator modeling
PMID:40409234,PMID,40409234,,,,,,,,,,,,,,,,pending,required for interpretable moderator modeling
PMID:41512635,PMID,41512635,,,,,,,,,,,,,,,,pending,required for interpretable moderator modeling
EUROPEPMC:40676704,EUROPEPMC,40676704,"Multi-omics analyses the effect of Bifidobacterium longum subsp. longum BL21 supplementation on overweight and obese subjects: a randomized, double-blind, placebo-controlled study.",,,,,,,,,,,,,,,pending,required for interpretable moderator modeling
PMID:33143755,PMID,33143755,Weight gain and body composition during pregnancy: a randomised pilot trial with probiotics and/or fish oil.,,,,,,,,,,,,,,,pending,required for interpretable moderator modeling
PMID:23614897,PMID,23614897,Effect of Lactobacillus gasseri SBT2055 in fermented milk on abdominal adiposity in adults in a randomised controlled trial.,,,,,,,,,,,,,,,pending,required for interpretable moderator modeling
PMID:32759229,PMID,32759229,Effects of synbiotic supplementation on the components of metabolic syndrome in military personnel: a double-blind randomised controlled trial.,,,,,,,,,,,,,,,pending,required for interpretable moderator modeling
EUROPEPMC:35126309,EUROPEPMC,35126309,Efficacy and Safety of,,,,,,,,,,,,,,,pending,required for interpretable moderator modeling
EUROPEPMC:39385189,EUROPEPMC,39385189,"Effects of synbiotic supplementation on the components of metabolic syndrome in patients with schizophrenia: a randomized, double-blind, placebo-controlled trial.",,,,,,,,,,,,,,,pending,required for interpretable moderator modeling
EUROPEPMC:39792908,EUROPEPMC,39792908,"The efficacy of Lacticaseibacillus paracasei MSMC39-1 and Bifidobacterium animalis TA-1 probiotics in modulating gut microbiota and reducing the risk of the characteristics of metabolic syndrome: A randomized, double-blinded, placebo-controlled study.",,,,,,,,,,,,,,,pending,required for interpretable moderator modeling
EUROPEPMC:42065141,EUROPEPMC,42065141,Effects of,,,,,,,,,,,,,,,pending,required for interpretable moderator modeling
EUROPEPMC:42074987,EUROPEPMC,42074987,"A Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Effect of",,,,,,,,,,,,,,,pending,required for interpretable moderator modeling
PMID:22695039,PMID,22695039,Probiotics to adolescents with obesity: effects on inflammation and metabolic syndrome.,,,,,,,,,,,,,,,pending,required for interpretable moderator modeling
PMID:35487505,PMID,35487505,"Effect of Lactobacillus plantarum LMT1-48 on Body Fat in Overweight Subjects: A Randomized, Double-Blind, Placebo-Controlled Trial.",,,,,,,,,,,,,,,pending,required for interpretable moderator modeling
PMID:36484872,PMID,36484872,"Effects of synbiotic supplementation on anthropometric indices and body composition in overweight or obese children and adolescents: a randomized, double-blind, placebo-controlled clinical trial.",,,,,,,,,,,,,,,pending,required for interpretable moderator modeling
PMID:36674104,PMID,36674104,Effects of a Diet Containing Sources of Prebiotics and Probiotics and Modification of the Gut Microbiota on the Reduction of Body Fat.,,,,,,,,,,,,,,,pending,required for interpretable moderator modeling
PMID:37875559,PMID,37875559,"Evaluating probiotic efficacy on weight loss in adults with overweight through a double-blind, placebo-controlled randomized trial.",,,,,,,,,,,,,,,pending,required for interpretable moderator modeling
PMID:37916149,PMID,37916149,A specific gut microbiota signature is associated with an enhanced GLP-1 and GLP-2 secretion and improved metabolic control in patients with type 2 diabetes after metabolic Roux-en-Y gastric bypass.,,,,,,,,,,,,,,,pending,required for interpretable moderator modeling
PMID:39639405,PMID,39639405,Gut microbiota and metabolic responses to a 12-week caloric restriction combined with strength and HIIT training in patients with obesity: a randomized trial.,,,,,,,,,,,,,,,pending,required for interpretable moderator modeling
PMID:42151830,PMID,42151830,Short-term synbiotic supplementation and intrahepatic triglyceride content assessed by proton MR spectroscopy: a pilot study.,,,,,,,,,,,,,,,pending,required for interpretable moderator modeling
EUROPEPMC:41098558,EUROPEPMC,41098558,Postpartum Body Composition in Women With Overweight: Associations With Diet During Pregnancy.,,,,,,,,,,,,,,,pending,required for interpretable moderator modeling
PMID:33718754,PMID,33718754,Ingesting Yogurt Containing,,,,,,,,,,,,,,,pending,required for interpretable moderator modeling
EUROPEPMC:40218949,EUROPEPMC,40218949,"A 12-Week, Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Efficacy and Safety of",,,,,,,,,,,,,,,pending,required for interpretable moderator modeling
EUROPEPMC:42116047,EUROPEPMC,42116047,"Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNFα, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial.",,,,,,,,,,,,,,,pending,required for interpretable moderator modeling
