evidence_id,source_database,source_accession,title,intervention_component,suggested_intervention,suggested_duration,suggested_cfu,suggested_dose,final_species,final_strain,final_total_CFU_per_day,final_log10_CFU_per_day,final_prebiotic_type,final_prebiotic_dose_g_day,final_duration_weeks,final_dosage_form,reviewer,review_status,reviewer_note
PMID:37111082,PubMed,37111082,"Effect of a Multispecies Synbiotic Supplementation on Body Composition, Antioxidant Status, and Gut Microbiomes in Overweight and Obese Subjects: A Randomized, Double-Blind, Placebo-Controlled Study.",primary_intervention,,12 weeks,,2 g,,,,,,,,,codex,pending,
PMID:41163054,PubMed,41163054,"The effects of a newly developed beverage powder supplement on anthropometric measures, body composition, metabolic syndrome components, and appetite in obese or overweight adults: a protocol for a randomized clinical trial study.",primary_intervention,,8 weeks,,2 g,,,,,,,,,codex,pending,
NCT:NCT02151825,ClinicalTrials.gov,NCT02151825,Effect of a Synbiotic on the Gut Microbiota and Adiposity-related Markers in Healthy Overweight Subjects,primary_intervention,Synbiotic; Placebo,,,,,,,,,,,,codex,pending,
NCT:NCT02125955,ClinicalTrials.gov,NCT02125955,"Effect of Prebiotic Intake on Adiposity, Satiety and Gut Microbiota in Overweight and Obese Children",primary_intervention,Prebiotic fiber; Placebo,,,,,,,,,,,,codex,pending,
PMID:40409234,PubMed,40409234,Effects of multi-strain probiotics supplementation on body adiposity and metabolic profile in individuals with hypertension and overweight following an energy-restricted diet: A randomized clinical trial.,primary_intervention,,12 weeks; 3 months,3 x 10^10 CFU/day,,multi-strain probiotic (8 strains; species require full methods table),,30000000000,10.477121,,,12,capsules,codex_verified_20260612,extracted,"Verified from NCBI PubMed XML PMID:40409234 / DOI:10.1016/j.clnu.2025.05.005: 8 probiotic strains in capsules, 3 x 10^10 CFU/day, 12 weeks."
EUROPEPMC:42065141,PubMed,42065141,Effects of,primary_intervention,,12 weeks,,,,,,,,,,,codex,pending,
PMID:33763720,PubMed,33763720,"Mediterranean diet consumption affects the endocannabinoid system in overweight and obese subjects: possible links with gut microbiome, insulin resistance and inflammation.",primary_intervention,,8-week,,,,,,,,,,,codex,pending,
PMID:36879442,PubMed,36879442,"Effects of weight loss and feeding specially formulated diets on the body composition, blood metabolite profiles, voluntary physical activity, and fecal metabolites and microbiota of obese dogs.",primary_intervention,,,,,,,,,,,,,codex,pending,
PMID:37181156,PubMed,37181156,Supplementation with inulin-type fructans affects gut microbiota and attenuates some of the cardiometabolic benefits of a plant-based diet in individuals with overweight or obesity.,primary_intervention,,10 weeks,,38 g; 20 g,,,,,,,,,codex,pending,
PMID:40827948,PubMed,40827948,Long-term efficacy of dapagliflozin combined with Bifidobacterium triple viable tablets on metabolic syndrome and gut microbiota in overweight/obese patients with type 2 diabetes.,primary_intervention,,24-week,1.0 x 10^7 CFU,10 mg/day,,,,,,,,,codex,pending,
PMID:41586244,PubMed,41586244,"The effects of a very low-energy ketogenic therapy on body composition, gut microbiota and metabolites in overweight subjects.",primary_intervention,,28 days,,,,,,,,,,,codex,pending,
EUROPEPMC:41444876,PubMed,41444876,The role of microbiome-modulating supplements in managing metabolic syndrome risk factors among overweight and obese youth: a GRADE-assessed meta-analysis.,primary_intervention,,,,,,,,,,,,,codex,pending,
PMID:41930918,PubMed,41930918,Gut Microbiota and Metabolic Profiles Reveal the Mechanism of Weight Loss in Patients with Obesity Stimulated By Acupuncture.,primary_intervention,,8 weeks,,,,,,,,,,,codex,pending,
PMID:31952249,PubMed,31952249,"Effects of Synbiotic Supplement on Human Gut Microbiota, Body Composition and Weight Loss in Obesity.",primary_intervention,,3-month,,,,,,,,,,,codex,pending,
PMID:37447365,PubMed,37447365,"Effect of a Probiotic and a Synbiotic on Body Fat Mass, Body Weight and Traits of Metabolic Syndrome in Individuals with Abdominal Overweight: A Human, Double-Blind, Randomised, Controlled Clinical Study.",primary_intervention,,3 months,,10 g daily,,,,,,,,,codex,pending,
PMID:27810310,PubMed,27810310,"Probiotic With or Without Fiber Controls Body Fat Mass, Associated With Serum Zonulin, in Overweight and Obese Adults-Randomized Controlled Trial.",primary_intervention,,6months,,12g,,,,,,,,,codex,pending,
PMID:29547587,PubMed,29547587,Dietary Alteration of the Gut Microbiome and Its Impact on Weight and Fat Mass: A Systematic Review and Meta-Analysis.,primary_intervention,,,,,,,,,,,,,codex,pending,
PMID:30468509,PubMed,30468509,"Probiotics, prebiotics and synbiotics for weight loss and metabolic syndrome in the microbiome era.",primary_intervention,,,,,,,,,,,,,codex,pending,
PMID:31126565,PubMed,31126565,Effects of pro-/synbiotic supplementation on anthropometric and metabolic indices in overweight or obese children and adolescents: A systematic review and meta-analysis.,primary_intervention,,16 weeks,,,,,,,,,,,codex,pending,
EUROPEPMC:32718098,PubMed,32718098,"Modulation of the Gut Microbiota by Olive Oil Phenolic Compounds: Implications for Lipid Metabolism, Immune System, and Obesity.",primary_intervention,,,,,,,,,,,,,codex,pending,
EUROPEPMC:33178196,PubMed,33178196,Gut Microbiota as a Trigger for Metabolic Inflammation in Obesity and Type 2 Diabetes.,primary_intervention,,,,,,,,,,,,,codex,pending,
PMID:32152146,PubMed,32152146,Genistein stimulates insulin sensitivity through gut microbiota reshaping and skeletal muscle AMPK activation in obese subjects.,primary_intervention,,2 months,,50 mg/day,,,,,,,,,codex,pending,
PMID:34967874,PubMed,34967874,"Weight loss and high-protein, high-fiber diet consumption impact blood metabolite profiles, body composition, voluntary physical activity, fecal microbiota, and fecal metabolites of adult dogs.",primary_intervention,,,,,,,,,,,,,codex,pending,
PMID:36944956,PubMed,36944956,Effect of different doses of Lacticaseibacillus paracasei K56 on body fat and metabolic parameters in adult individuals with obesity: a pilot study.,primary_intervention,,60 days,2 x 10^7 CFU/day; 2 x 10^9 CFU/day; 2 x 10^10 CFU/day; 2 x 10^11 CFU/day; 109 CFU/day,,,,,,,,,,codex,pending,
PMID:38068829,PubMed,38068829,Combating Obesity: Harnessing the Synergy of Postbiotics and Prebiotics for Enhanced Lipid Excretion and Microbiota Regulation.,primary_intervention,,12 weeks,,6.72 g; 5.25 g; 7.73 g,,,,,,,,,codex,pending,
PMID:37685493,PubMed,37685493,Exploring Gut Microbiota and the Influence of Physical Activity Interventions on Overweight and Obese Children and Adolescents: A Systematic Review.,primary_intervention,,,,,,,,,,,,,codex,pending,
PMID:38744950,PubMed,38744950,"Effect of weight loss program using prebiotics and probiotics on body composition, physique, and metabolic products: longitudinal intervention study.",primary_intervention,,3 months,,,,,,,,,,,codex,pending,
PMID:38270436,PubMed,38270436,Dietary supplementation with probiotics promotes weight loss by reshaping the gut microbiome and energy metabolism in obese dogs.,primary_intervention,,,,,,,,,,,,,codex,pending,
NCT:NCT01004120,ClinicalTrials.gov,NCT01004120,Efficacy of a Prebiotic Galactooligosaccharide to Reduce Metabolic Syndrome Risk Factors in Overweight Adults,primary_intervention,Bimuno; Maltodextrin,,,,,,,,,,,,codex,pending,
NCT:NCT02217579,ClinicalTrials.gov,NCT02217579,Effect of Protein and Prebiotic Fiber Intake on Adiposity in Overweight and Obese Adults,primary_intervention,Protein; Prebiotic fiber; Protein plus prebiotic fiber; Control,12 weeks,,,,,,,,,,,codex,pending,
EUROPEPMC:40851363,PubMed,40851363,The effect of probiotics on weight management in patients with severe obesity undergoing metabolic and bariatric surgery: a systematic review and meta-analysis.,primary_intervention,,,,,,,,,,,,,codex,pending,
PMID:41486934,PubMed,41486934,Synergistic anti-obesity effects of Bifidobacterium breve BR3 and Lactiplantibacillus plantarum LP3 via coordinated regulation of lipid metabolism and gut microbiota.,primary_intervention,,4 weeks,,,,,,,,,,,codex,pending,
PMID:40732984,PubMed,40732984,Gut Microbiota Shifts After a Weight Loss Program in Adults with Obesity: The WLM3P Study.,primary_intervention,,6-month; 6 months,,,,,,,,,,,codex,pending,
PMID:39340527,PubMed,39340527,"Effects of probiotics, prebiotics, and synbiotics on cardiometabolic risk factors in children and adolescents with overweight or obesity: a systematic review and Bayesian network meta-analysis.",primary_intervention,,,,6.55 mg; 3.71 mg; 1.21 mg; 1.54 mg; 1.12 mg,,,,,,,,,codex,pending,
PMID:39455650,PubMed,39455650,Effects of Lactiplantibacillus plantarum CBT LP3 and Bifidobacterium breve CBT BR3 supplementation on weight loss and gut microbiota of overweight dogs.,primary_intervention,,12-week,,3 g,,,,,,,,,codex,pending,
PMID:37580231,PubMed,37580231,"No effect of multi-strain probiotic supplementation on metabolic and inflammatory markers and newborn body composition in pregnant women with obesity: Results from a randomized, double-blind placebo-controlled study.",primary_intervention,,20 weeks,,,,,,,,,,,codex,pending,
PMID:37424169,PubMed,37424169,Effect of synbiotics on weight loss and metabolic health in adults with overweight and obesity: A randomized controlled trial.,primary_intervention,,12-week,,,,,,,,,,,codex,pending,
PMID:36352899,PubMed,36352899,Effect of garlic extract on weight loss and gut microbiota composition in obese women: A double-blind randomized controlled trial.,primary_intervention,,2 months; 2-month,,400 mg,,,,,,,,,codex,pending,
PMID:34434546,PubMed,34434546,Effects of synbiotic supplement on body weight and fasting blood glucose levels in obesity: A randomized placebo-controlled trial.,primary_intervention,,8 weeks; 4 weeks,,6.125 mg,,,,,,,,,codex,pending,
NCT:NCT04611477,ClinicalTrials.gov,NCT04611477,Effect of Synbiotic 365 on Body Composition in Overweight and Obese Individuals,primary_intervention,Rice Hulk; Synbiotic365 Ver 5; Synbiotic365 Ver 7,,,,,,,,,,,,codex,pending,
NCT:NCT04642482,ClinicalTrials.gov,NCT04642482,Synbiotic Therapy on Intestinal Microbiota and Insulin Resistance in Obesity,primary_intervention,Synbiotic (Rillus); Placebo,,,,,,,,,,,,codex,pending,
PMID:30525950,PubMed,30525950,Probiotic or synbiotic alters the gut microbiota and metabolism in a randomised controlled trial of weight management in overweight adults.,primary_intervention,,6 months; 1 month,,12 g; 12 g/day,,,,,,,,,codex,pending,
NCT:NCT02893943,ClinicalTrials.gov,NCT02893943,Impact of Probiotics on Weight Control and Body Composition in Overweight and Obese Individuals,primary_intervention,Probiotics; Placebo,,,,,,,,,,,,codex,pending,
NCT:NCT05423015,ClinicalTrials.gov,NCT05423015,Assessment of the Effects of Synbiotic on Gut Microbiota Composition in Scholars With Overweight,primary_intervention,Lactobacillus casei strain Shirota; Lactobacillus casei strain Shirota plus inulin; Lactobacillus casei strain Shirota plus fructans from A. salmiana,,,,,,,,,,,,codex,pending,
PMID:28792488,PubMed,28792488,Effect of Lactobacillus on body weight and body fat in overweight subjects: a systematic review of randomized controlled clinical trials.,primary_intervention,,,,,,,,,,,,,codex,pending,
EUROPEPMC:41372103,PubMed,41372103,Impacts of Lifestyle and Microbiota-Targeted Interventions for Overweight and Obesity on the Human Gut Microbiome: A Systematic Review.,primary_intervention,,4 weeks,,,,,,,,,,,codex,pending,
PMID:41907517,PubMed,41907517,Obesity-associated gut microbiome influences diet-induced metabolic and cognitive outcomes in older adults.,primary_intervention,,10-week,,,,,,,,,,,codex,pending,
PMID:41599863,PubMed,41599863,"Efficacy and Safety of CKDB-322, a Combination of",primary_intervention,,12-week,1.0 x 10^9 CFU,200 mg,,,,,,,,,codex,pending,
PMID:41835385,PubMed,41835385,Maternal overweight/obesity and yoghurt supplementation from early pregnancy to postpartum augments infant gut microbiota.,primary_intervention,,42 days; 3 months; 6 months,,,,,,,,,,,codex,pending,
PMID:41743894,PubMed,41743894,Enteroendocrine hormones and gut microbiota in obesity: a systematic review from mechanistic insight to precision metabolic care.,primary_intervention,,,,,,,,,,,,,codex,pending,
EUROPEPMC:41804549,PubMed,41804549,Unravelling the role of the gut microbiome in antipsychotic-induced weight gain and metabolic dysfunction in humans and rodents: A systematic review.,primary_intervention,,,,,,,,,,,,,codex,pending,
PMID:42010766,PubMed,42010766,Exercise intensity as a modulator of gut microbiota and host metabolic health in obesity.,primary_intervention,,16 weeks; 12 weeks,,,,,,,,,,,codex,pending,
PMID:36606510,PubMed,36606510,"A clinical trial about effects of prebiotic and probiotic supplementation on weight loss, psychological profile and metabolic parameters in obese subjects.",primary_intervention,,1 month,,30 g,,,,,,,,,codex,pending,
PMID:37836532,PubMed,37836532,Effects of Synbiotic Supplementation on Metabolic Syndrome Traits and Gut Microbial Profile among Overweight and Obese Hong Kong Chinese Individuals: A Randomized Trial.,primary_intervention,,8-week,,,,,,,,,,,codex,pending,
PMID:40416368,PubMed,40416368,Effect of,primary_intervention,,8 weeks,,3 g,,,,,,,,,codex,pending,
PMID:40385498,PubMed,40385498,"Effects of multi-strain synbiotic supplementation on liver enzymes, insulin resistance, anthropometric, and inflammatory indices in overweight and obese adults with fatty liver and diabetes: a randomized controlled trial.",primary_intervention,,12-week,,,,,,,,,,,codex,pending,
PMID:39456659,PubMed,39456659,Gut Microbiome and Metabolome Alterations in Overweight or Obese Adult Population after Weight-Loss,primary_intervention,,12 weeks,1 x 10^10 CFU/day,,Bifidobacterium breve,BBr60,10000000000,10.000000,,,12,,codex_verified_20260612,extracted,Verified from Europe PMC full text PMCID:PMC11507383 / DOI:10.3390/ijms252010871: BBr60 1 x 10^10 CFU once daily for 12 weeks.
PMID:39051504,PubMed,39051504,,primary_intervention,,12 weeks,5.0 x 10^9 CFU,60 mg; 62 mg,,,,,,,,,codex_verified_20260612,pending,RSC article DOI:10.1039/D4FO00535J reports >5.0 x 10^9 CFU/day for 12 weeks. Retained as pending because the current numeric model has no lower-bound/censoring representation.
PMID:38999741,PubMed,38999741,The Effect of the,primary_intervention,,12 weeks,,,,,,,,,,,codex,pending,
PMID:38542727,PubMed,38542727,Effects of,primary_intervention,,16 weeks,5 x 10^9 CFU,,Bifidobacterium longum; Bifidobacterium breve,BB536; MCC1274,15000000000,10.176091,,,16,2 probiotic capsules,codex_verified_20260612,extracted,"Verified from Europe PMC full text PMCID:PMC10974859 / DOI:10.3390/nu16060815: per 2 capsules, BB536 1 x 10^10 CFU plus MCC1274 5 x 10^9 CFU; 16-week intervention. Corrects incomplete suggested_cfu that listed only MCC1274."
PMID:41321998,PubMed,41321998,Gut microbiome enterotypes and temporal variations during a six-month inulin-supplemented weight loss randomized controlled trial in Thai children with obesity.,primary_intervention,,,,,,,,,,,,,codex,pending,
PMID:41512635,PubMed,41512635,"Effects of a novel synbiotic intervention on abdominal visceral fat reductions and gut microbiota in overweight and obese adults: A randomized, double-blind, placebo-controlled trial.",primary_intervention,,12-week; 6-week,,,,,,,,,,,codex,pending,
PMID:35807808,PubMed,35807808,Prolonged Isolated Soluble Dietary Fibre Supplementation in Overweight and Obese Patients: A Systematic Review with Meta-Analysis of Randomised Controlled Trials.,primary_intervention,,12 weeks,,,,,,,,,,,codex,pending,
PMID:35264213,PubMed,35264213,The effects of the Green-Mediterranean diet on cardiometabolic health are linked to gut microbiome modifications: a randomized controlled trial.,primary_intervention,,,,28g/day,,,,,,,,,codex,pending,
PMID:35845797,PubMed,35845797,"Effects of Multispecies Synbiotic Supplementation on Anthropometric Measurements, Glucose and Lipid Parameters in Children With Exogenous Obesity: A Randomized, Double Blind, Placebo-Controlled Clinical Trial (Probesity-2 Trial).",primary_intervention,,12 weeks,,,,,,,,,,,codex,pending,
PMID:31064150,PubMed,31064150,Mulberry Leaf Polyphenols and Fiber Induce Synergistic Antiobesity and Display a Modulation Effect on Gut Microbiota and Metabolites.,primary_intervention,,,,,,,,,,,,,codex,pending,
EUROPEPMC:33722164,PubMed,33722164,The impact of the gut microbiota on the reproductive and metabolic endocrine system.,primary_intervention,,,,,,,,,,,,,codex,pending,
EUROPEPMC:34836254,PubMed,34836254,Impact of Exercise on Gut Microbiota in Obesity.,primary_intervention,,,,,,,,,,,,,codex,pending,
EUROPEPMC:34065217,PubMed,34065217,,primary_intervention,,,,,,,,,,,,,codex,pending,
NCT:NCT02127125,ClinicalTrials.gov,NCT02127125,Mechanism of Microbiome-induced Insulin Resistance in Humans (Aim2),primary_intervention,Maltodextrin; Synbiotic; Sevelamer,,,,,,,,,,,,codex,pending,
NCT:NCT03287726,ClinicalTrials.gov,NCT03287726,What is the Impact of Probiotics on Weight Loss Maintenance in Individuals With Obesity?,primary_intervention,probiotics; placebo,,,,,,,,,,,,codex,pending,
NCT:NCT03883191,ClinicalTrials.gov,NCT03883191,Effect of a Three Combined Probiotics Supplementation on Weight Loss in Obese/Overweight Children,primary_intervention,"L. rhamnosus bv-77, B. animalis subsp. lactis CP-9 and L. salivarius AP-32 mix probiotics powder; Placebo",,,,,,,,,,,,codex,pending,
NCT:NCT03135041,ClinicalTrials.gov,NCT03135041,The Effect of Prebiotic Fibres on Weight Loss in an Overweight and Obese Population,primary_intervention,Fiber-containing dietary supplement; Placebo,,,,,,,,,,,,codex,pending,
PMID:33459204,PubMed,33459204,Probiotics as a therapeutic strategy in obesity and overweight: a systematic review.,primary_intervention,,,,,,,,,,,,,codex,pending,
PMID:34684633,PubMed,34684633,Effects of Probiotics and Synbiotics on Weight Loss in Subjects with Overweight or Obesity: A Systematic Review.,primary_intervention,,12 weeks,,,,,,,,,,,codex,pending,
PMID:34946095,PubMed,34946095,Metagenome-Scale Metabolic Network Suggests Folate Produced by,primary_intervention,,105 days,,,,,,,,,,,codex,pending,
EUROPEPMC:34973469,PubMed,34973469,Microbiota and body weight control: Weight watchers within?,primary_intervention,,,,,,,,,,,,,codex,pending,
EUROPEPMC:36313072,PubMed,36313072,Gut microbiota and obesity: New insights.,primary_intervention,,,,,,,,,,,,,codex,pending,
PMID:36281657,PubMed,36281657,Algal polysaccharides and derivatives as potential therapeutics for obesity and related metabolic diseases.,primary_intervention,,,,,,,,,,,,,codex,pending,
PMID:36530587,PubMed,36530587,Microbiome-Targeted Therapies as an Adjunct to Traditional Weight Loss Interventions: A Systematic Review and Meta-Analysis.,primary_intervention,,,,,,,,,,,,,codex,pending,
