evidence_id,source_database,source_accession,title,intervention_component,suggested_intervention,suggested_duration,suggested_cfu,suggested_dose,final_species,final_strain,final_total_CFU_per_day,final_log10_CFU_per_day,final_prebiotic_type,final_prebiotic_dose_g_day,final_duration_weeks,final_dosage_form,reviewer,review_status,reviewer_note
PMID:41830022,PubMed,41830022,Green Tea Catechin Plus Inulin Improves Insulin Resistance Without Reducing Visceral Fat and Shows Exploratory Gut Microbiota Signals in Adults with Visceral Obesity: A Double-Blind Randomized Controlled Trial.,primary_intervention,,12 weeks; 12-week,,400 mg/day; 2.3 g/day,,,,,,,,,expansion2_queue,pending,
EUROPEPMC:41126806,PubMed,41126806,Probiotic pasta consumption improves lipid metabolism and reduces gut permeability in overweight and obese adults: a randomized controlled trial.,primary_intervention,,4-weeks; 4 weeks,,80 g/day,,,,,,,,,expansion2_queue,pending,
NCT:NCT07073781,ClinicalTrials.gov,NCT07073781,"Probiotic Impact on Cognitive Performance, and Metabolic Outcomes in Overweight Young Adults With Impaired Glucose Regulation",primary_intervention,Lab4p Probiotic Consortium; Placebo,,,,,,,,,,,,expansion2_queue,pending,
PMID:40375569,PubMed,40375569,"Mental health and health-related quality of life response to curcumin-probiotic drink powder co-supplementation in adults with overweight/obesity and metabolic syndrome: a four-arm randomised, double-blind, placebo-controlled, clinical trial.",primary_intervention,,8 weeks,,1 g,,,,,,,,,expansion2_queue,pending,
EUROPEPMC:37836532,PubMed,37836532,Effects of Synbiotic Supplementation on Metabolic Syndrome Traits and Gut Microbial Profile among Overweight and Obese Hong Kong Chinese Individuals: A Randomized Trial.,primary_intervention,,8-week,,,,,,,,,,,expansion2_queue,pending,
PMID:36634870,PubMed,36634870,"The Effect of Microbiome Therapies on Waist Circumference, a Measure of Central Obesity, in Patients with Type 2 Diabetes: A Systematic Review and Meta-analysis of Randomized Controlled Trials.",primary_intervention,,,,,,,,,,,,,expansion2_queue,pending,
NCT:NCT05623007,ClinicalTrials.gov,NCT05623007,Dietary Modulation of Gut Microbiota in Overweight/Obese Adolescents and COVID-19 Infection,primary_intervention,"Probiotics; Counselling on healthy eating, physical activity, and psychosocial stimulation; Placebo probiotics",,,,,,,,,,,,expansion2_queue,pending,
PMID:34358838,PubMed,34358838,Effects of probiotics on body adiposity and cardiovascular risk markers in individuals with overweight and obesity: A systematic review and meta-analysis of randomized controlled trials.,primary_intervention,,8 weeks,,,,,,,,,,,expansion2_queue,pending,
PMID:27221805,PubMed,27221805,Effect of fragmented Lactobacillus amylovorus CP1563 on lipid metabolism in overweight and mildly obese individuals: a randomized controlled trial.,primary_intervention,,12 weeks,,200 mg,,,,,,,,,expansion2_queue,pending,
EUROPEPMC:39792908,PubMed,39792908,"The efficacy of Lacticaseibacillus paracasei MSMC39-1 and Bifidobacterium animalis TA-1 probiotics in modulating gut microbiota and reducing the risk of the characteristics of metabolic syndrome: A randomized, double-blinded, placebo-controlled study.",primary_intervention,,12 weeks,,26.83 mg,,,,,,,,,expansion2_queue,pending,
EUROPEPMC:41075788,PubMed,41075788,Food- vs. supplement-based very-low-energy diets and gut microbiome composition in women with high body mass index: A randomized controlled trial.,primary_intervention,,3 weeks,,,,,,,,,,,expansion2_queue,pending,
EUROPEPMC:41243448,PubMed,41243448,"2'-Fucosyllactose supplementation results in a transient improvement in gut microbial resilience after vancomycin use in adults with overweight or obesity: a randomized, double-blind, placebo-controlled intervention.",primary_intervention,,,,,,,,,,,,,expansion2_queue,pending,
PMID:40331097,PubMed,40331097,Delites™ supplementation prevents metabolic syndrome onset and modulates gut microbiome in male Sprague Dawley rats fed on cholesterol- and fat-enriched diet: a randomized preclinical trial study.,primary_intervention,,,,54 mg; 108 mg,,,,,,,,,expansion2_queue,pending,
PMID:36239189,PubMed,36239189,"Effect of faecal microbial transplant via colonoscopy in patients with severe obesity and insulin resistance: A randomized double-blind, placebo-controlled Phase 2 trial.",primary_intervention,,3 months; 1 month,,,,,,,,,,,expansion2_queue,pending,
NCT:NCT05428137,ClinicalTrials.gov,NCT05428137,Study of Safety and Efficacy of a Probiotic and Postbiotic in Overweight Individuals,primary_intervention,Probiotic; Postbiotic; Placebo,,,,,,,,,,,,expansion2_queue,pending,
NCT:NCT05440630,ClinicalTrials.gov,NCT05440630,Study of Efficacy of a Probiotic and Postbiotic in Overweight and Obese Individuals,primary_intervention,Probiotics; Postbiotic; Placebo,,,,,,,,,,,,expansion2_queue,pending,
PMID:35592630,PubMed,35592630,Beneficial Effects of a Low-Glycemic Diet on Serum Metabolites and Gut Microbiota in Obese Women With,primary_intervention,,1 month; 1-month,,,,,,,,,,,expansion2_queue,pending,
PMID:33718754,PubMed,33718754,Ingesting Yogurt Containing,primary_intervention,,,,3.2 mg; 5.6 mg,,,,,,,,,expansion2_queue,pending,
PMID:34229263,PubMed,34229263,"Supplementation with Bifidobacterium breve BR03 and B632 strains improved insulin sensitivity in children and adolescents with obesity in a cross-over, randomized double-blind placebo-controlled trial.",primary_intervention,,8 weeks; 4-weeks,2 x 10^9 CFU,,,,,,,,,,expansion2_queue,pending,
PMID:31987116,PubMed,31987116,"Effect of a low energy diet, containing a high protein, probiotic condensed yogurt, on biochemical and anthropometric measurements among women with overweight/obesity: A randomised controlled trial.",primary_intervention,,8 weeks,,50 g,,,,,,,,,expansion2_queue,pending,
PMID:30967436,PubMed,30967436,"Efficacy of Fish Oil and/or Probiotic Intervention on the Incidence of Gestational Diabetes Mellitus in an At-Risk Group of Overweight and Obese Women: A Randomized, Placebo-Controlled, Double-Blind Clinical Trial.",primary_intervention,,,,1.9 g; 0.22 g,,,,,,,,,expansion2_queue,pending,
NCT:NCT04293731,ClinicalTrials.gov,NCT04293731,Smectite Gel and Probiotic for Obesity and Insulin Resistance,primary_intervention,Symbiter-Smectite; Placebo,,,,,,,,,,,,expansion2_queue,pending,
NCT:NCT02962583,ClinicalTrials.gov,NCT02962583,The Addition of Probiotic Consumption to a Nutritional Intervention and Caloric Restriction on Body Weight and Composition in Overweight Participants,primary_intervention,Weight loss; Probiotic Formula; Placebos,12 weeks,,,,,,,,,,,expansion2_queue,pending,
PMID:26134388,PubMed,26134388,Dietary modulation of the gut microbiota--a randomised controlled trial in obese postmenopausal women.,primary_intervention,,6-week; 6 weeks,,10 g,,,,,,,,,expansion2_queue,pending,
PMID:24120179,PubMed,24120179,Hypocaloric diet supplemented with probiotic cheese improves body mass index and blood pressure indices of obese hypertensive patients--a randomized double-blind placebo-controlled pilot study.,primary_intervention,,3-week,,,,,,,,,,,expansion2_queue,pending,
EUROPEPMC:41657363,PubMed,41657363,Subgingival microbiome and adjunctive use of probiotics in the treatment of periodontitis in patients with diabetes: a secondary analysis of a randomized clinical trial.,primary_intervention,,3 months; 6 months,,,,,,,,,,,expansion2_queue,pending,
EUROPEPMC:41978077,PubMed,41978077,"Modulation of Glucose Homeostasis, Metabolic Endotoxemia and Circulating Short-Chain Fatty Acids Following Multi-Species Probiotic Supplementation: Findings from a 12-Week Randomised Placebo-Controlled Trial.",primary_intervention,,12-Week; 12-week; 12 weeks,,,,,,,,,,,expansion2_queue,pending,
EUROPEPMC:39857760,PubMed,39857760,"The Effect of Prebiotics, Alone or as Part of Synbiotics, on Cardiometabolic Parameters in Women with Polycystic Ovary Syndrome: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.",primary_intervention,,,,,,,,,,,,,expansion2_queue,pending,
NCT:NCT06765057,ClinicalTrials.gov,NCT06765057,"Effect of Probiotics ""Psychobiotics"" on Depression and Metabolic Syndrome in Saudi Arabia",primary_intervention,Winclove's Ecologic® Barrier Probiotics; Winclove's Ecologic® Barrier Probiotics Placebo,,,,,,,,,,,,expansion2_queue,pending,
EUROPEPMC:39385189,PubMed,39385189,"Effects of synbiotic supplementation on the components of metabolic syndrome in patients with schizophrenia: a randomized, double-blind, placebo-controlled trial.",primary_intervention,,8 weeks,,,,,,,,,,,expansion2_queue,pending,
NCT:NCT07371325,ClinicalTrials.gov,NCT07371325,Efficacy of Pediococcus Acidilactici as add-on to Antipsychotic Drugs on Metabolic Syndrome Disturbances in First-episode Psychosis and Schizophrenia Spectrum Disorders.,primary_intervention,"Pediococcus acidilactici, pA1c®HI postbiotic supplementation taking participants; Atypical antipsychotics (AAP)",,,,,,,,,,,,expansion2_queue,pending,
PMID:38732635,PubMed,38732635,Metabolic Status Influences Probiotic Efficacy for Depression-PRO-DEMET Randomized Clinical Trial Results.,primary_intervention,,60 days,,,,,,,,,,,expansion2_queue,pending,
PMID:39313030,PubMed,39313030,"The effects of chicory inulin-type fructans supplementation on weight management outcomes: systematic review, meta-analysis, and meta-regression of randomized controlled trials.",primary_intervention,,,,,,,,,,,,,expansion2_queue,pending,
PMID:39599701,PubMed,39599701,"Effectiveness of Probiotics, Prebiotics, and Synbiotics in Managing Insulin Resistance and Hormonal Imbalance in Women with Polycystic Ovary Syndrome (PCOS): A Systematic Review of Randomized Clinical Trials.",primary_intervention,,8 weeks,,,,,,,,,,,expansion2_queue,pending,
EUROPEPMC:38260154,PubMed,38260154,Effect of supplementation with probiotics or synbiotics on cardiovascular risk factors in patients with metabolic syndrome: a systematic review and meta-analysis of randomized clinical trials.,primary_intervention,,,,,,,,,,,,,expansion2_queue,pending,
NCT:NCT06032988,ClinicalTrials.gov,NCT06032988,Effect of Probiotic Supplements on Metabolic Control of People With Type 2 Diabetes Mellitus in Greece,primary_intervention,LactoLevure,,,,,,,,,,,,expansion2_queue,pending,
PMID:37880791,PubMed,37880791,The effects of intermittent fasting diet alone or in combination with probiotic supplementation in comparison with calorie-restricted diet on metabolic and hormonal profile in patients with polycystic ovary syndrome: study protocol for a randomized clinical trial.,primary_intervention,,8 weeks,,,,,,,,,,,expansion2_queue,pending,
NCT:NCT05364814,ClinicalTrials.gov,NCT05364814,Use of Probiotic Yogurt in Obese Women,primary_intervention,,,,,,,,,,,,,expansion2_queue,pending,
PMID:32759229,PubMed,32759229,Effects of synbiotic supplementation on the components of metabolic syndrome in military personnel: a double-blind randomised controlled trial.,primary_intervention,,8 weeks,,,,,,,,,,,expansion2_queue,pending,
PMID:33054635,PubMed,33054635,"The combined effects of probiotics and restricted calorie diet on the anthropometric indices, eating behavior, and hormone levels of obese women with food addiction",primary_intervention,,12 weeks,,,,,,,,,,,expansion2_queue,pending,
PMID:35332040,PubMed,35332040,A randomised controlled trial of a probiotic and a prebiotic examining metabolic and mental health outcomes in adults with pre-diabetes.,primary_intervention,,6 months,,4 g/day; 4 g,,,,,,,,,expansion2_queue,pending,
NCT:NCT04767789,ClinicalTrials.gov,NCT04767789,Clinical Trial to Evaluate the Efficacy and Safety of the Probiotic Strains Limosilactocillus Reuteri DSM 32910 and Lacticaseibacillus Paracasei DSM 32851 on Glucose Homeostatis in Prediabetic Adults,primary_intervention,NZ-GHMH-01; Placebo,,,,,,,,,,,,expansion2_queue,pending,
PMID:32140184,PubMed,32140184,"Effect of probiotics on obesity-related markers per enterotype: a double-blind, placebo-controlled, randomized clinical trial.",primary_intervention,,12 weeks; 3 weeks,,,,,,,,,,,expansion2_queue,pending,
PMID:33113929,PubMed,33113929,The Role of Dietary Fibre in Modulating Gut Microbiota Dysbiosis in Patients with Type 2 Diabetes: A Systematic Review and Meta-Analysis of Randomised Controlled Trials.,primary_intervention,,,,,,,,,,,,,expansion2_queue,pending,
PMID:30641692,PubMed,30641692,The effect of probiotic supplementation on glycemic control and lipid profile in patients with type 2 diabetes: A randomized placebo controlled trial.,primary_intervention,,6 weeks; 3-day,,,,,,,,,,,expansion2_queue,pending,
PMID:30928918,PubMed,30928918,"Impact of bacterial probiotics on obesity, diabetes and non-alcoholic fatty liver disease related variables: a systematic review and meta-analysis of randomised controlled trials.",primary_intervention,,14 days,,,,,,,,,,,expansion2_queue,pending,
PMID:31358022,PubMed,31358022,"Food 4 Health - He Oranga Kai: Assessing the efficacy, acceptability and economic implications of Lactobacillus rhamnosus HN001 and β-glucan to improve glycated haemoglobin, metabolic health, and general well-being in adults with pre-diabetes: study protocol for a 2 × 2 factorial design, parallel group, placebo-controlled randomized controlled trial, with embedded qualitative study and economic analysis.",primary_intervention,,6 months; 9 months; 2 months,,4 g,,,,,,,,,expansion2_queue,pending,
NCT:NCT03630588,ClinicalTrials.gov,NCT03630588,Effect of the Consumption of an Enriched Surimi in Abdominal Visceral Adiposity,primary_intervention,Surimi intervention; Placebo,,,,,,,,,,,,expansion2_queue,pending,
PMID:29661605,PubMed,29661605,Effect of alive probiotic on insulin resistance in type 2 diabetes patients: Randomized clinical trial.,primary_intervention,,8-weeks; 8 weeks,,,,,,,,,,,expansion2_queue,pending,
PMID:27126957,PubMed,27126957,Beneficial effects of Bifidobacterium lactis on lipid profile and cytokines in patients with metabolic syndrome: A randomized trial. Effects of probiotics on metabolic syndrome.,primary_intervention,,,,,,,,,,,,,expansion2_queue,pending,
NCT:NCT02288572,ClinicalTrials.gov,NCT02288572,Probiotic Bacteria in Prevention of the Metabolic Syndrome,primary_intervention,Lactobacillus plantarum PCS 26; Placebo,,,,,,,,,,,,expansion2_queue,pending,
PMID:22872030,PubMed,22872030,"The influence of probiotic supplementation on gut permeability in patients with metabolic syndrome: an open label, randomized pilot study.",primary_intervention,,3 months,,,,,,,,,,,expansion2_queue,pending,
EUROPEPMC:42044114,PubMed,42044114,"Dietary phytochemical index is associated with systemic inflammation, insulin resistance, and gut microbiota-derived metabolites in individuals with obesity: A cross-sectional study.",primary_intervention,,,,,,,,,,,,,expansion2_queue,pending,
EUROPEPMC:38744950,PubMed,38744950,"Effect of weight loss program using prebiotics and probiotics on body composition, physique, and metabolic products: longitudinal intervention study.",primary_intervention,,3 months,,,,,,,,,,,expansion2_queue,pending,
EUROPEPMC:39290267,PubMed,39290267,The complex link between the gut microbiome and obesity-associated metabolic disorders: Mechanisms and therapeutic opportunities.,primary_intervention,,,,,,,,,,,,,expansion2_queue,pending,
PMID:31886746,PubMed,31886746,The Effect of Prebiotic Products on Decreasing Adiposity Parameters in Overweight and Obese Individuals: A Systematic Review and Meta- Analysis.,primary_intervention,,,,1.06 mg,,,,,,,,,expansion2_queue,pending,
PMID:26599039,PubMed,26599039,Red wine polyphenols modulate fecal microbiota and reduce markers of the metabolic syndrome in obese patients.,primary_intervention,,30 day,,,,,,,,,,,expansion2_queue,pending,
EUROPEPMC:40431370,PubMed,40431370,The Role of Nutraceuticals and Probiotics in Addition to Lifestyle Intervention in the Management of Childhood Obesity-Part 1: Metabolic Changes.,primary_intervention,,,,,,,,,,,,,expansion2_queue,pending,
