evidence_id,source_database,source_accession,title,intervention_component,suggested_intervention,suggested_duration,suggested_cfu,suggested_dose,final_species,final_strain,final_total_CFU_per_day,final_log10_CFU_per_day,final_prebiotic_type,final_prebiotic_dose_g_day,final_duration_weeks,final_dosage_form,reviewer,review_status,reviewer_note
PMID:40077569,PubMed,40077569,"Effects of Liupao Tea with Different Years of Aging on Glycolipid Metabolism, Body Composition, and Gut Microbiota in Adults with Obesity or Overweight: A Randomized, Double-Blind Study.",primary_intervention,,90-day,,,,,,,,,,,expansion_queue,pending,
EUROPEPMC:40409234,PubMed,40409234,Effects of multi-strain probiotics supplementation on body adiposity and metabolic profile in individuals with hypertension and overweight following an energy-restricted diet: A randomized clinical trial.,primary_intervention,,12 weeks; 3 months,3 x 10^10 CFU/day,,,,,,,,,,expansion_queue,pending,
PMID:39802638,PubMed,39802638,"Comparison of diet and exercise on cardiometabolic factors in young adults with overweight/obesity: multiomics analysis and gut microbiota prediction, a randomized controlled trial.",primary_intervention,,8-week,,,,,,,,,,,expansion_queue,pending,
PMID:41479657,PubMed,41479657,"Targeting gut microbiota with short-chain fructo-oligosaccharides prebiotic fibers to support metabolic health in overweight prediabetic adults: a randomized, double-blinded, placebo-controlled study.",primary_intervention,,12 weeks,,1.25 g; 20 g/day,,,,,,,,,expansion_queue,pending,
PMID:39410163,PubMed,39410163,Effects of a Sorghum Beverage with,primary_intervention,,,,,,,,,,,,,expansion_queue,pending,
PMID:37252684,PubMed,37252684,Effect of green-lipped mussel (,primary_intervention,,3-months,,3 g,,,,,,,,,expansion_queue,pending,
EUROPEPMC:41459804,PubMed,41459804,"Effects of a slowly fermentable fiber mixture against the background of a high-protein diet on insulin sensitivity and metabolic health in individuals with overweight: a randomized, placebo-controlled trial.",primary_intervention,,12-week,,,,,,,,,,,expansion_queue,pending,
EUROPEPMC:PMC12986909,publisher supplementary data,PMC12986909,Green Tea Catechin Plus Inulin Improves Insulin Resistance Without Reducing Visceral Fat and Shows Exploratory Gut Microbiota Signals in Adults with Visceral Obesity: A Double-Blind Randomized Controlled Trial,primary_intervention,,,,,,,,,,,,,expansion_queue,pending,
PMID:41861447,PubMed,41861447,"Effects of hypocaloric wholegrain rye vs refined wheat diets on weight loss, cardiometabolic risk factors and gut microbiota: A 12-week randomized controlled trial.",primary_intervention,,12-week; 6 weeks; 12 weeks,,,,,,,,,,,expansion_queue,pending,
PMID:42044842,PubMed,42044842,"The effect of a two-week low glycaemic index, higher fibre diet versus high glycaemic index diet on body composition, ectopic lipids, inflammatory biomarkers, gastrointestinal hormones and gut microbiota in metabolic dysfunction-associated steatotic liver disease (MASLD): A pilot randomized cross-over study.",primary_intervention,,2-week; 4-week,,,,,,,,,,,expansion_queue,pending,
EUROPEPMC:40400804,PubMed,40400804,"Impact of a Probiotic-Fiber Blend on Body Weight, Metabolic Regulation, and Digestive Function in Obese Adults: A Randomized, Placebo-Controlled, Multicentric Trial.",primary_intervention,,90 days,,,,,,,,,,,expansion_queue,pending,
EUROPEPMC:40416368,PubMed,40416368,Effect of,primary_intervention,,8 weeks,,3 g,,,,,,,,,expansion_queue,pending,
EUROPEPMC:40735396,PubMed,40735396,"The Effects of Probiotics Consumption on Blood Pressure, Lipid Profile, Glycemic Indices, and Inflammatory Parameters in Overweight and Obese Adults: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.",primary_intervention,,,,,,,,,,,,,expansion_queue,pending,
PMID:40106235,PubMed,40106235,Childhood Obesity Body Mass Index and Gut Microbiome: A Cluster Randomized Controlled Pilot Feasibility Study.,primary_intervention,,12 weeks,,,,,,,,,,,expansion_queue,pending,
