evidence_id,source_database,source_accession,title,intervention_component,suggested_intervention,suggested_duration,suggested_cfu,suggested_dose,final_species,final_strain,final_total_CFU_per_day,final_log10_CFU_per_day,final_prebiotic_type,final_prebiotic_dose_g_day,final_duration_weeks,final_dosage_form,reviewer,review_status,reviewer_note
EUROPEPMC:PMC12938260,publisher supplementary data,PMC12938260,"Lactobacillus helveticus UA881 Improves Body Composition, Lipid Profiles, and Gut Microbiota in Overweight Adults: A Randomized Double-Blind Placebo-Controlled Trial",primary_intervention,,,,,,,,,,,,,supplement_queue,pending,
EUROPEPMC:41163054,PubMed,41163054,"The effects of a newly developed beverage powder supplement on anthropometric measures, body composition, metabolic syndrome components, and appetite in obese or overweight adults: a protocol for a randomized clinical trial study.",primary_intervention,,8 weeks,,2 g,,,,,,,,,supplement_queue,pending,
NCT:NCT02125955,ClinicalTrials.gov,NCT02125955,"Effect of Prebiotic Intake on Adiposity, Satiety and Gut Microbiota in Overweight and Obese Children",primary_intervention,Prebiotic fiber; Placebo,,,,,,,,,,,,supplement_queue,pending,
NCT:NCT02151825,ClinicalTrials.gov,NCT02151825,Effect of a Synbiotic on the Gut Microbiota and Adiposity-related Markers in Healthy Overweight Subjects,primary_intervention,Synbiotic; Placebo,,,,,,,,,,,,supplement_queue,pending,
EUROPEPMC:41512635,PubMed,41512635,"Effects of a novel synbiotic intervention on abdominal visceral fat reductions and gut microbiota in overweight and obese adults: A randomized, double-blind, placebo-controlled trial.",primary_intervention,,12-week; 6-week,,,,,,,,,,,supplement_queue,pending,
EUROPEPMC:42116047,PubMed,42116047,"Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNFα, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial.",primary_intervention,,8 weeks; 8-week,,,,,,,,,,,supplement_queue,pending,
PMID:40598275,PubMed,40598275,"Differential effects of inulin and fructooligosaccharides on gut microbiota composition and glycemic metabolism in overweight/obese and healthy individuals: a randomized, double-blind clinical trial.",primary_intervention,,4 weeks,,,,,,,,,,,supplement_queue,pending,
PMID:41321998,PubMed,41321998,Gut microbiome enterotypes and temporal variations during a six-month inulin-supplemented weight loss randomized controlled trial in Thai children with obesity.,primary_intervention,,,,,,,,,,,,,supplement_queue,pending,
PMID:37580231,PubMed,37580231,"No effect of multi-strain probiotic supplementation on metabolic and inflammatory markers and newborn body composition in pregnant women with obesity: Results from a randomized, double-blind placebo-controlled study.",primary_intervention,,20 weeks,,,,,,,,,,,supplement_queue,pending,
NCT:NCT04642482,ClinicalTrials.gov,NCT04642482,Synbiotic Therapy on Intestinal Microbiota and Insulin Resistance in Obesity,primary_intervention,Synbiotic (Rillus); Placebo,,,,,,,,,,,,supplement_queue,pending,
