evidence_id,source_database,source_accession,title,intervention_component,suggested_intervention,suggested_duration,suggested_cfu,suggested_dose,final_species,final_strain,final_total_CFU_per_day,final_log10_CFU_per_day,final_prebiotic_type,final_prebiotic_dose_g_day,final_duration_weeks,final_dosage_form,reviewer,review_status,reviewer_note
EUROPEPMC:41599902,PubMed,41599902,Personalized Nutrition Through the Gut Microbiome in Metabolic Syndrome and Related Comorbidities.,primary_intervention,,,,,,,,,,,,,supplement_next_queue,pending,
EUROPEPMC:41822330,PubMed,41822330,Gut microbiota in obesity management: from microbial clocks to precision microbial therapies.,primary_intervention,,,,,,,,,,,,,supplement_next_queue,pending,
EUROPEPMC:41850442,PubMed,41850442,Targeting 7-ketocholesterol-driven metabolic dysfunction in obesity: Therapeutic potential of Bifidobacterium and dietary antioxidants.,primary_intervention,,,,,,,,,,,,,supplement_next_queue,pending,
EUROPEPMC:41999447,PubMed,41999447,Reconsidering Obesity in India Through a Gut-Metabolic Lens: Mechanistic Insights and the Emerging Role of Synbiotics in Individuals with the Thin-Fat Phenotype.,primary_intervention,,,,,,,,,,,,,supplement_next_queue,pending,
EUROPEPMC:42015346,PubMed,42015346,Gut microbiome and metabolic health: mechanisms and precision interventions.,primary_intervention,,,,,,,,,,,,,supplement_next_queue,pending,
EUROPEPMC:42051485,PubMed,42051485,Targeted regulation of adipose tissue macrophages from an immunometabolic perspective: a novel therapeutic approach for obesity-related metabolic disorders.,primary_intervention,,,,,,,,,,,,,supplement_next_queue,pending,
EUROPEPMC:42072163,PubMed,42072163,"Microbiota-Gut-Brain Axis Disruption, Neuroinflammation, and Potential Antioxidant-Based Treatments in Metabolic Diseases.",primary_intervention,,,,,,,,,,,,,supplement_next_queue,pending,
EUROPEPMC:42131482,PubMed,42131482,Bioactive compounds as therapeutic modulators of metabolic syndrome: targeting inflammation and gut microbiota regulation.,primary_intervention,,,,,,,,,,,,,supplement_next_queue,pending,
EUROPEPMC:42197000,PubMed,42197000,Gut Microbiome Dysbiosis in Metabolic Syndrome: Current Evidence and Emerging Perspectives.,primary_intervention,,,,,,,,,,,,,supplement_next_queue,pending,
EUROPEPMC:42212103,PubMed,42212103,Gut microbiota and pediatric metabolic dysfunction-associated steatotic liver disease: clinical evidence and therapeutic implications.,primary_intervention,,,,,,,,,,,,,supplement_next_queue,pending,
EUROPEPMC:42221502,PubMed,42221502,Therapeutic potential of natural compounds from medicinal and food homology substances targeting gut microbiota in lipid metabolism disorders.,primary_intervention,,,,,,,,,,,,,supplement_next_queue,pending,
PMID:41205303,PubMed,41205303,Bacteroides acidifaciens alleviates high-fat diet-induced obesity-related osteoporosis by regulating gut microbiota and bile acid metabolism via the gut-bone axis.,primary_intervention,,16 weeks,,,,,,,,,,,supplement_next_queue,pending,
PMID:41499920,PubMed,41499920,Gut microbiota composition and derived enterotypes are associated with ponderal status in preschool children. Childhood obesity risk assessment longitudinal study (CORALS) cohort.,primary_intervention,,,,,,,,,,,,,supplement_next_queue,pending,
PMID:41812148,PubMed,41812148,"Effects of Polyphenols on Gut Health and Inflammation in Overweight and Obese Populations: A Systematic Review and Meta-analysis of Dose, Duration, and Food Matrix.",primary_intervention,,6 weeks,,400 mg; 2.79 mg; 4.26 mg,,,,,,,,,supplement_next_queue,pending,
PMID:41871887,PubMed,41871887,Effects of Nutritional Supplement Intake on Pregnancy Outcomes in Overweight and Obese Women: A Systematic Review and Meta-Analysis.,primary_intervention,,,,,,,,,,,,,supplement_next_queue,pending,
PMID:41882376,PubMed,41882376,Genetically mediated causal relationship between gut microbiota composition and childhood obesity.,primary_intervention,,,,,,,,,,,,,supplement_next_queue,pending,
PMID:41961895,PubMed,41961895,"Effects of Probiotic and Synbiotic Supplementation on Metabolic and Hepatic Outcomes in Children and Adolescents With Obesity, Including Those With Obesity-Related Metabolic Dysfunction-Associated Steatotic Liver Disease: A Systematic Review and Meta-Analysis.",primary_intervention,,,,6.40 mg; 2.68 mg,,,,,,,,,supplement_next_queue,pending,
