evidence_id,source_database,source_accession,title,intervention_component,suggested_intervention,suggested_duration,suggested_cfu,suggested_dose,final_species,final_strain,final_total_CFU_per_day,final_log10_CFU_per_day,final_prebiotic_type,final_prebiotic_dose_g_day,final_duration_weeks,final_dosage_form,reviewer,review_status,reviewer_note
PMID:40409234,PubMed,40409234,Effects of multi-strain probiotics supplementation on body adiposity and metabolic profile in individuals with hypertension and overweight following an energy-restricted diet: A randomized clinical trial.,primary_intervention,,12 weeks; 3 months,3 x 10^10 CFU/day,,,,,,,,,,auto_prefill,pending,
PMID:37447365,PubMed,37447365,"Effect of a Probiotic and a Synbiotic on Body Fat Mass, Body Weight and Traits of Metabolic Syndrome in Individuals with Abdominal Overweight: A Human, Double-Blind, Randomised, Controlled Clinical Study.",primary_intervention,,3 months,,10 g daily,,,,,,,,,auto_prefill,pending,
PMID:37111082,PubMed,37111082,"Effect of a Multispecies Synbiotic Supplementation on Body Composition, Antioxidant Status, and Gut Microbiomes in Overweight and Obese Subjects: A Randomized, Double-Blind, Placebo-Controlled Study.",primary_intervention,,12 weeks,,2 g,,,,,,,,,auto_prefill,pending,
NCT:NCT02125955,ClinicalTrials.gov,NCT02125955,"Effect of Prebiotic Intake on Adiposity, Satiety and Gut Microbiota in Overweight and Obese Children",primary_intervention,Prebiotic fiber; Placebo,,,,,,,,,,,,auto_prefill,pending,
NCT:NCT02151825,ClinicalTrials.gov,NCT02151825,Effect of a Synbiotic on the Gut Microbiota and Adiposity-related Markers in Healthy Overweight Subjects,primary_intervention,Synbiotic; Placebo,,,,,,,,,,,,auto_prefill,pending,
PMID:41512635,PubMed,41512635,"Effects of a novel synbiotic intervention on abdominal visceral fat reductions and gut microbiota in overweight and obese adults: A randomized, double-blind, placebo-controlled trial.",primary_intervention,,12-week; 6-week,,,,,,,,,,,auto_prefill,pending,
PMID:41321998,PubMed,41321998,Gut microbiome enterotypes and temporal variations during a six-month inulin-supplemented weight loss randomized controlled trial in Thai children with obesity.,primary_intervention,,,,,,,,,,,,,auto_prefill,pending,
PMID:40416368,PubMed,40416368,Effect of,primary_intervention,,8 weeks,,3 g,,,,,,,,,auto_prefill,pending,
PMID:40385498,PubMed,40385498,"Effects of multi-strain synbiotic supplementation on liver enzymes, insulin resistance, anthropometric, and inflammatory indices in overweight and obese adults with fatty liver and diabetes: a randomized controlled trial.",primary_intervention,,12-week,,,,,,,,,,,auto_prefill,pending,
PMID:39456659,PubMed,39456659,Gut Microbiome and Metabolome Alterations in Overweight or Obese Adult Population after Weight-Loss,primary_intervention,,12 weeks,1 x 10^10 CFU/day,,,,,,,,,,auto_prefill,pending,
PMID:39051504,PubMed,39051504,,primary_intervention,,12 weeks,5.0 x 10^9 CFU,60 mg; 62 mg,,,,,,,,,auto_prefill,pending,
PMID:38999741,PubMed,38999741,The Effect of the,primary_intervention,,12 weeks,,,,,,,,,,,auto_prefill,pending,
PMID:38542727,PubMed,38542727,Effects of,primary_intervention,,16 weeks,5 x 10^9 CFU,,,,,,,,,,auto_prefill,pending,
PMID:37836532,PubMed,37836532,Effects of Synbiotic Supplementation on Metabolic Syndrome Traits and Gut Microbial Profile among Overweight and Obese Hong Kong Chinese Individuals: A Randomized Trial.,primary_intervention,,8-week,,,,,,,,,,,auto_prefill,pending,
PMID:36606510,PubMed,36606510,"A clinical trial about effects of prebiotic and probiotic supplementation on weight loss, psychological profile and metabolic parameters in obese subjects.",primary_intervention,,1 month,,30 g,,,,,,,,,auto_prefill,pending,
PMID:37580231,PubMed,37580231,"No effect of multi-strain probiotic supplementation on metabolic and inflammatory markers and newborn body composition in pregnant women with obesity: Results from a randomized, double-blind placebo-controlled study.",primary_intervention,,20 weeks,,,,,,,,,,,auto_prefill,pending,
PMID:37424169,PubMed,37424169,Effect of synbiotics on weight loss and metabolic health in adults with overweight and obesity: A randomized controlled trial.,primary_intervention,,12-week,,,,,,,,,,,auto_prefill,pending,
PMID:36352899,PubMed,36352899,Effect of garlic extract on weight loss and gut microbiota composition in obese women: A double-blind randomized controlled trial.,primary_intervention,,2 months; 2-month,,400 mg,,,,,,,,,auto_prefill,pending,
PMID:34434546,PubMed,34434546,Effects of synbiotic supplement on body weight and fasting blood glucose levels in obesity: A randomized placebo-controlled trial.,primary_intervention,,8 weeks; 4 weeks,,6.125 mg,,,,,,,,,auto_prefill,pending,
NCT:NCT04611477,ClinicalTrials.gov,NCT04611477,Effect of Synbiotic 365 on Body Composition in Overweight and Obese Individuals,primary_intervention,Rice Hulk; Synbiotic365 Ver 5; Synbiotic365 Ver 7,,,,,,,,,,,,auto_prefill,pending,
NCT:NCT04642482,ClinicalTrials.gov,NCT04642482,Synbiotic Therapy on Intestinal Microbiota and Insulin Resistance in Obesity,primary_intervention,Synbiotic (Rillus); Placebo,,,,,,,,,,,,auto_prefill,pending,
NCT:NCT02893943,ClinicalTrials.gov,NCT02893943,Impact of Probiotics on Weight Control and Body Composition in Overweight and Obese Individuals,primary_intervention,Probiotics; Placebo,,,,,,,,,,,,auto_prefill,pending,
NCT:NCT05423015,ClinicalTrials.gov,NCT05423015,Assessment of the Effects of Synbiotic on Gut Microbiota Composition in Scholars With Overweight,primary_intervention,Lactobacillus casei strain Shirota; Lactobacillus casei strain Shirota plus inulin; Lactobacillus casei strain Shirota plus fructans from A. salmiana,,,,,,,,,,,,auto_prefill,pending,
PMID:28792488,PubMed,28792488,Effect of Lactobacillus on body weight and body fat in overweight subjects: a systematic review of randomized controlled clinical trials.,primary_intervention,,,,,,,,,,,,,auto_prefill,pending,
PMID:27810310,PubMed,27810310,"Probiotic With or Without Fiber Controls Body Fat Mass, Associated With Serum Zonulin, in Overweight and Obese Adults-Randomized Controlled Trial.",primary_intervention,,6months,,12g,,,,,,,,,auto_prefill,pending,
NCT:NCT02217579,ClinicalTrials.gov,NCT02217579,Effect of Protein and Prebiotic Fiber Intake on Adiposity in Overweight and Obese Adults,primary_intervention,Protein; Prebiotic fiber; Protein plus prebiotic fiber; Control,12 weeks,,,,,,,,,,,auto_prefill,pending,
NCT:NCT01004120,ClinicalTrials.gov,NCT01004120,Efficacy of a Prebiotic Galactooligosaccharide to Reduce Metabolic Syndrome Risk Factors in Overweight Adults,primary_intervention,Bimuno; Maltodextrin,,,,,,,,,,,,auto_prefill,pending,
NCT:NCT07593170,ClinicalTrials.gov,NCT07593170,AKK Study in Improving Obesity and Metabolic Status in Children and Adolescents,primary_intervention,AKK; Placebo (maltodextrin),,,,,,,,,,,,auto_prefill,pending,
NCT:NCT07559227,ClinicalTrials.gov,NCT07559227,"Gut, Immune, and Vascular Health in Metabolically Healthy Obesity",primary_intervention,Inulin Supplementation; Maltodextrin (Placebo); High-fat meal,,,,,,,,,,,,auto_prefill,pending,
EUROPEPMC:41921070,PubMed,41921070,Anti-obesity effects of probiotics beyond BMI: a critical review of human clinical trials.,primary_intervention,,,,,,,,,,,,,auto_prefill,pending,
EUROPEPMC:41938967,PubMed,41938967,Efficacy of probiotic supplementation for body weight management in overweight and obese adults: a meta-analysis of randomized controlled trials predominantly from East Asia.,primary_intervention,,,1 x 10^10 CFU/day,,,,,,,,,,auto_prefill,pending,
EUROPEPMC:42074987,PubMed,42074987,"A Randomized, Double-Blind, Placebo-Controlled Study to Evaluate the Effect of",primary_intervention,,12-week,,,,,,,,,,,auto_prefill,pending,
