evidence_id,source_database,source_accession,title,intervention_component,suggested_intervention,suggested_duration,suggested_cfu,suggested_dose,final_species,final_strain,final_total_CFU_per_day,final_log10_CFU_per_day,final_prebiotic_type,final_prebiotic_dose_g_day,final_duration_weeks,final_dosage_form,reviewer,review_status,reviewer_note
PMID:35332040,PMID,35332040,A randomised controlled trial of a probiotic and a prebiotic examining metabolic and mental health outcomes in adults with pre-diabetes.,,,,,,,,,,,,,,,pending,variance-rich curation candidate
PMID:34919684,PMID,34919684,A Specifically Tailored Multistrain Probiotic and Micronutrient Mixture Affects Nonalcoholic Fatty Liver Disease-Related Markers in Patients with Obesity after Mini Gastric Bypass Surgery.,,,,,,,,,,,,,,,pending,variance-rich curation candidate
PMID:31965834,PMID,31965834,"Effect of multi-strain probiotic (UB0316) in weight management in overweight/obese adults: a 12-week double blind, randomised, placebo-controlled study.",,,,,,,,,,,,,,,pending,variance-rich curation candidate
PMID:41479657,PMID,41479657,"Targeting gut microbiota with short-chain fructo-oligosaccharides prebiotic fibers to support metabolic health in overweight prediabetic adults: a randomized, double-blinded, placebo-controlled study.",,,,,,,,,,,,,,,pending,variance-rich curation candidate
PMID:35487505,PMID,35487505,"Effect of Lactobacillus plantarum LMT1-48 on Body Fat in Overweight Subjects: A Randomized, Double-Blind, Placebo-Controlled Trial.",,,,,,,,,,,,,,,pending,variance-rich curation candidate
PMID:40902730,PMID,40902730,Can Probiotics Influence Adaptive Thermogenesis Induced by Continuous Energy Restriction after a 12-Week Intervention in Adult Males Living with Obesity? A Secondary Analysis of a Randomized Clinical ,,,,,,,,,,,,,,,pending,variance-rich curation candidate
EUROPEPMC:41126806,EUROPEPMC,41126806,Probiotic pasta consumption improves lipid metabolism and reduces gut permeability in overweight and obese adults: a randomized controlled trial.,,,,,,,,,,,,,,,pending,variance-rich curation candidate
PMID:33143755,PMID,33143755,Weight gain and body composition during pregnancy: a randomised pilot trial with probiotics and/or fish oil.,,,,,,,,,,,,,,,pending,variance-rich curation candidate
PMID:36674104,PMID,36674104,Effects of a Diet Containing Sources of Prebiotics and Probiotics and Modification of the Gut Microbiota on the Reduction of Body Fat.,,,,,,,,,,,,,,,pending,variance-rich curation candidate
PMID:26084343,PMID,26084343,Intake of Lactobacillus reuteri improves incretin and insulin secretion in glucose-tolerant humans: a proof of concept.,,,,,,,,,,,,,,,pending,variance-rich curation candidate
PMID:23614897,PMID,23614897,Effect of Lactobacillus gasseri SBT2055 in fermented milk on abdominal adiposity in adults in a randomised controlled trial.,,,,,,,,,,,,,,,pending,variance-rich curation candidate
