evidence_id,source_database,source_accession,title,outcome_domain,suggested_text,suggested_p_value,final_value,final_unit,final_direction,comparison,time_point,p_value_confirmed,sample_size_confirmed,extraction_source,reviewer,review_status,reviewer_note
PMID:37447365,PMID,37447365,,waist,,,,cm,,,,,,direct_variance_targeted_draft,,pending,included_missing_direct_variance; verify arm SD and per-arm n; required: effect estimate plus reported CI/SE or both-arm SD and n
PMID:37447365,PMID,37447365,,body_fat,The alteration (∆) in body fat mass (kg) (primary parameter) during intervention was significantly (p = 0.039) more pronounced in the Probiotic group (-0.61 ± 1.94;,p = 0.039,,kg,,,,,,direct_variance_targeted_draft,,pending,included_missing_direct_variance; verify arm SD and per-arm n; required: effect estimate plus reported CI/SE or both-arm SD and n
PMID:39051504,PMID,39051504,,body_fat,,,,kg,,,,,,direct_variance_targeted_draft,,pending,included_missing_direct_variance; verify arm SD and per-arm n; required: effect estimate plus reported CI/SE or both-arm SD and n
PMID:39051504,PMID,39051504,,lipid_TG,"p = 0.0200), and serum triglyceride concentration (placebo 13 ± 60 mg dL-1;",p = 0.0200,,mg/dL,,,,,,direct_variance_targeted_draft,,pending,included_missing_direct_variance; verify arm SD and per-arm n; required: effect estimate plus reported CI/SE or both-arm SD and n
PMID:40066582,PMID,40066582,,body_fat,,,,kg,,,,,,direct_variance_targeted_draft,,pending,included_missing_direct_variance; verify arm SD and per-arm n; required: effect estimate plus reported CI/SE or both-arm SD and n
PMID:40066582,PMID,40066582,,lipid_TG,"Results: after the 8-week dietary intervention, both probiotic and placebo groups showed significant decreased in total cholesterol (-36.50 ± 19.27 vs -25.91 ± 19.25, mg/dl), LDL-C (-(31.75 ± 18.11 vs -31.91 ± 31.00 mg/dl) and TG (-31.83 ± 67.37 vs -28.25 ± 59.09), respectively (p < 0.05).",p < 0.05,,mg/dL,,,,,,direct_variance_targeted_draft,,pending,included_missing_direct_variance; verify arm SD and per-arm n; required: effect estimate plus reported CI/SE or both-arm SD and n
DOI:10.3803/EnM.2020.35.2.425,DOI,10.3803/EnM.2020.35.2.425,Effect of Lactobacillus sakei CJLS03 on body fat in Koreans with obesity (EnM 2020),waist,,,,cm,,,,,,direct_variance_targeted_draft,,pending,included_missing_direct_variance; retrieve full text or supplement for CI/SE/SD and per-arm n; required: effect estimate plus reported CI/SE or both-arm SD and n
PMID:40409234,PMID,40409234,,waist,,,,cm,,,,,,direct_variance_targeted_draft,,pending,included_missing_direct_variance; retrieve full text or supplement for CI/SE/SD and per-arm n; required: effect estimate plus reported CI/SE or both-arm SD and n
PMID:41512635,PMID,41512635,,waist,,,,cm,,,,,,direct_variance_targeted_draft,,pending,included_missing_direct_variance; retrieve full text or supplement for CI/SE/SD and per-arm n; required: effect estimate plus reported CI/SE or both-arm SD and n
PMID:37447365,PMID,37447365,,BMI,,,,kg/m2,,,,,,direct_variance_targeted_draft,,pending,included_missing_direct_variance; verify arm SD and per-arm n; required: effect estimate plus reported CI/SE or both-arm SD and n
