evidence_id,source_database,source_accession,title,outcome_domain,suggested_text,suggested_p_value,final_value,final_unit,final_direction,comparison,time_point,p_value_confirmed,sample_size_confirmed,extraction_source,reviewer,review_status,reviewer_note
PMID:41830022,PubMed,41830022,Green Tea Catechin Plus Inulin Improves Insulin Resistance Without Reducing Visceral Fat and Shows Exploratory Gut Microbiota Signals in Adults with Visceral Obesity: A Double-Blind Randomized Controlled Trial.,body_fat,Green Tea Catechin Plus Inulin Improves Insulin Resistance Without Reducing Visceral Fat and Shows Exploratory Gut Microbiota Signals in Adults with Visceral Obesity: A Double-Blind Randomized Controlled Trial.,p = 0.243; p = 0.020; p < 0.05; p = 0.010,,,,,,,n = 49; n = 47,detail_hint,expansion2_queue,pending,
PMID:41830022,PubMed,41830022,Green Tea Catechin Plus Inulin Improves Insulin Resistance Without Reducing Visceral Fat and Shows Exploratory Gut Microbiota Signals in Adults with Visceral Obesity: A Double-Blind Randomized Controlled Trial.,glucose,Green Tea Catechin Plus Inulin Improves Insulin Resistance Without Reducing Visceral Fat and Shows Exploratory Gut Microbiota Signals in Adults with Visceral Obesity: A Double-Blind Randomized Controlled Trial.,p = 0.243; p = 0.020; p < 0.05; p = 0.010,,,,,,,n = 49; n = 47,detail_hint,expansion2_queue,pending,
PMID:41830022,PubMed,41830022,Green Tea Catechin Plus Inulin Improves Insulin Resistance Without Reducing Visceral Fat and Shows Exploratory Gut Microbiota Signals in Adults with Visceral Obesity: A Double-Blind Randomized Controlled Trial.,microbiome,Green Tea Catechin Plus Inulin Improves Insulin Resistance Without Reducing Visceral Fat and Shows Exploratory Gut Microbiota Signals in Adults with Visceral Obesity: A Double-Blind Randomized Controlled Trial.,p = 0.243; p = 0.020; p < 0.05; p = 0.010,,,,,,,n = 49; n = 47,detail_hint,expansion2_queue,pending,
EUROPEPMC:41126806,PubMed,41126806,Probiotic pasta consumption improves lipid metabolism and reduces gut permeability in overweight and obese adults: a randomized controlled trial.,weight,Probiotic pasta consumption improves lipid metabolism and reduces gut permeability in overweight and obese adults: a randomized controlled trial.,p = 0.03; p = 0.049; p = 0.02; p = 0.054,,,,,,,40 participants; n = 20,detail_hint,expansion2_queue,pending,
EUROPEPMC:41126806,PubMed,41126806,Probiotic pasta consumption improves lipid metabolism and reduces gut permeability in overweight and obese adults: a randomized controlled trial.,lipid,Probiotic pasta consumption improves lipid metabolism and reduces gut permeability in overweight and obese adults: a randomized controlled trial.,p = 0.03; p = 0.049; p = 0.02; p = 0.054,,,,,,,40 participants; n = 20,detail_hint,expansion2_queue,pending,
EUROPEPMC:41126806,PubMed,41126806,Probiotic pasta consumption improves lipid metabolism and reduces gut permeability in overweight and obese adults: a randomized controlled trial.,microbiome,Gut microbiome analysis revealed that 50 % of ProbP consumers had increased S.,p = 0.03; p = 0.049; p = 0.02; p = 0.054,,,,,,,40 participants; n = 20,detail_hint,expansion2_queue,pending,
NCT:NCT07073781,ClinicalTrials.gov,NCT07073781,"Probiotic Impact on Cognitive Performance, and Metabolic Outcomes in Overweight Young Adults With Impaired Glucose Regulation",weight,"Probiotic Impact on Cognitive Performance, and Metabolic Outcomes in Overweight Young Adults With Impaired Glucose Regulation  Lab4p Probiotic Consortium; Placebo Verbal Memory Performance Visual Episodic Memory; Number of Participants Reporting One or More Adverse Events (AEs) or Serious Adverse Events (SAEs); Visuospatial Working Memory; Executive function (Response Inhibition and Impulse Control); Executive function (Cognitive Flexibility and Attentional Set-Shifting); Processing speed, Psych",,,,,,,,70,detail_hint,expansion2_queue,pending,
NCT:NCT07073781,ClinicalTrials.gov,NCT07073781,"Probiotic Impact on Cognitive Performance, and Metabolic Outcomes in Overweight Young Adults With Impaired Glucose Regulation",BMI,"Probiotic Impact on Cognitive Performance, and Metabolic Outcomes in Overweight Young Adults With Impaired Glucose Regulation  Lab4p Probiotic Consortium; Placebo Verbal Memory Performance Visual Episodic Memory; Number of Participants Reporting One or More Adverse Events (AEs) or Serious Adverse Events (SAEs); Visuospatial Working Memory; Executive function (Response Inhibition and Impulse Control); Executive function (Cognitive Flexibility and Attentional Set-Shifting); Processing speed, Psych",,,,,,,,70,detail_hint,expansion2_queue,pending,
NCT:NCT07073781,ClinicalTrials.gov,NCT07073781,"Probiotic Impact on Cognitive Performance, and Metabolic Outcomes in Overweight Young Adults With Impaired Glucose Regulation",waist,"Probiotic Impact on Cognitive Performance, and Metabolic Outcomes in Overweight Young Adults With Impaired Glucose Regulation  Lab4p Probiotic Consortium; Placebo Verbal Memory Performance Visual Episodic Memory; Number of Participants Reporting One or More Adverse Events (AEs) or Serious Adverse Events (SAEs); Visuospatial Working Memory; Executive function (Response Inhibition and Impulse Control); Executive function (Cognitive Flexibility and Attentional Set-Shifting); Processing speed, Psych",,,,,,,,70,detail_hint,expansion2_queue,pending,
NCT:NCT07073781,ClinicalTrials.gov,NCT07073781,"Probiotic Impact on Cognitive Performance, and Metabolic Outcomes in Overweight Young Adults With Impaired Glucose Regulation",body_fat,"Probiotic Impact on Cognitive Performance, and Metabolic Outcomes in Overweight Young Adults With Impaired Glucose Regulation  Lab4p Probiotic Consortium; Placebo Verbal Memory Performance Visual Episodic Memory; Number of Participants Reporting One or More Adverse Events (AEs) or Serious Adverse Events (SAEs); Visuospatial Working Memory; Executive function (Response Inhibition and Impulse Control); Executive function (Cognitive Flexibility and Attentional Set-Shifting); Processing speed, Psych",,,,,,,,70,detail_hint,expansion2_queue,pending,
