evidence_id,source_database,source_accession,title,outcome_domain,suggested_text,suggested_p_value,final_value,final_unit,final_direction,comparison,time_point,p_value_confirmed,sample_size_confirmed,extraction_source,reviewer,review_status,reviewer_note
PMID:40077569,PubMed,40077569,"Effects of Liupao Tea with Different Years of Aging on Glycolipid Metabolism, Body Composition, and Gut Microbiota in Adults with Obesity or Overweight: A Randomized, Double-Blind Study.",weight,"Body weight, body fat mass (BFM), body mass index (BMI), waist circumference (WC), body fat percentage (BFP), and visceral fat area (VFA) significantly declined across all groups (p < 0.05).",p < 0.001; p < 0.05,,,,,,,106 adults,detail_hint,expansion_queue,pending,
PMID:40077569,PubMed,40077569,"Effects of Liupao Tea with Different Years of Aging on Glycolipid Metabolism, Body Composition, and Gut Microbiota in Adults with Obesity or Overweight: A Randomized, Double-Blind Study.",BMI,"Body weight, body fat mass (BFM), body mass index (BMI), waist circumference (WC), body fat percentage (BFP), and visceral fat area (VFA) significantly declined across all groups (p < 0.05).",p < 0.001; p < 0.05,,,,,,,106 adults,detail_hint,expansion_queue,pending,
PMID:40077569,PubMed,40077569,"Effects of Liupao Tea with Different Years of Aging on Glycolipid Metabolism, Body Composition, and Gut Microbiota in Adults with Obesity or Overweight: A Randomized, Double-Blind Study.",waist,"Body weight, body fat mass (BFM), body mass index (BMI), waist circumference (WC), body fat percentage (BFP), and visceral fat area (VFA) significantly declined across all groups (p < 0.05).",p < 0.001; p < 0.05,,,,,,,106 adults,detail_hint,expansion_queue,pending,
PMID:40077569,PubMed,40077569,"Effects of Liupao Tea with Different Years of Aging on Glycolipid Metabolism, Body Composition, and Gut Microbiota in Adults with Obesity or Overweight: A Randomized, Double-Blind Study.",body_fat,"Body weight, body fat mass (BFM), body mass index (BMI), waist circumference (WC), body fat percentage (BFP), and visceral fat area (VFA) significantly declined across all groups (p < 0.05).",p < 0.001; p < 0.05,,,,,,,106 adults,detail_hint,expansion_queue,pending,
PMID:40077569,PubMed,40077569,"Effects of Liupao Tea with Different Years of Aging on Glycolipid Metabolism, Body Composition, and Gut Microbiota in Adults with Obesity or Overweight: A Randomized, Double-Blind Study.",lipid,"Total cholesterol (TC) and low-density lipoprotein cholesterol (LDL-C) levels decreased significantly in the 1-, 4-, and 10-year-aged groups (p < 0.05), while high-density lipoprotein cholesterol (HDL-C) increased in the 7-year-aged group (p < 0.05).",p < 0.001; p < 0.05,,,,,,,106 adults,detail_hint,expansion_queue,pending,
PMID:40077569,PubMed,40077569,"Effects of Liupao Tea with Different Years of Aging on Glycolipid Metabolism, Body Composition, and Gut Microbiota in Adults with Obesity or Overweight: A Randomized, Double-Blind Study.",microbiome,"The metabolic parameters, body composition, and gut microbiota were assessed at baseline and after the 90-day intervention.; All LPT groups experienced significant reductions in systolic blood pressure (SBP) and diastolic blood pressure (DBP), with the 10-year-aged group showing the most notable SBP decrease (p < 0.001).",p < 0.001; p < 0.05,,,,,,,106 adults,detail_hint,expansion_queue,pending,
EUROPEPMC:40409234,PubMed,40409234,Effects of multi-strain probiotics supplementation on body adiposity and metabolic profile in individuals with hypertension and overweight following an energy-restricted diet: A randomized clinical trial.,weight,"Participants underwent anthropometric, body composition (dual-energy radiological absorptiometry) and biochemical (glucose metabolism, lipid profile, adiponectin, and leptin) evaluation at baseline and at the end of the study.; After 12 weeks of intervention, the probiotics group presented: a) reduction of body weight, BMI, circumferences of waist, hip and neck and waist-to-height ratio; b) decrease in total fat mass (kg); and c) reduction of glycated hemoglobin (HbA1c).",p < 0.05,,,,,,,66 individuals,detail_hint,expansion_queue,pending,
EUROPEPMC:40409234,PubMed,40409234,Effects of multi-strain probiotics supplementation on body adiposity and metabolic profile in individuals with hypertension and overweight following an energy-restricted diet: A randomized clinical trial.,BMI,"Participants underwent anthropometric, body composition (dual-energy radiological absorptiometry) and biochemical (glucose metabolism, lipid profile, adiponectin, and leptin) evaluation at baseline and at the end of the study.; After 12 weeks of intervention, the probiotics group presented: a) reduction of body weight, BMI, circumferences of waist, hip and neck and waist-to-height ratio; b) decrease in total fat mass (kg); and c) reduction of glycated hemoglobin (HbA1c).",p < 0.05,,,,,,,66 individuals,detail_hint,expansion_queue,pending,
EUROPEPMC:40409234,PubMed,40409234,Effects of multi-strain probiotics supplementation on body adiposity and metabolic profile in individuals with hypertension and overweight following an energy-restricted diet: A randomized clinical trial.,waist,"Participants underwent anthropometric, body composition (dual-energy radiological absorptiometry) and biochemical (glucose metabolism, lipid profile, adiponectin, and leptin) evaluation at baseline and at the end of the study.; After 12 weeks of intervention, the probiotics group presented: a) reduction of body weight, BMI, circumferences of waist, hip and neck and waist-to-height ratio; b) decrease in total fat mass (kg); and c) reduction of glycated hemoglobin (HbA1c).",p < 0.05,,,,,,,66 individuals,detail_hint,expansion_queue,pending,
EUROPEPMC:40409234,PubMed,40409234,Effects of multi-strain probiotics supplementation on body adiposity and metabolic profile in individuals with hypertension and overweight following an energy-restricted diet: A randomized clinical trial.,body_fat,"Participants underwent anthropometric, body composition (dual-energy radiological absorptiometry) and biochemical (glucose metabolism, lipid profile, adiponectin, and leptin) evaluation at baseline and at the end of the study.; After 12 weeks of intervention, the probiotics group presented: a) reduction of body weight, BMI, circumferences of waist, hip and neck and waist-to-height ratio; b) decrease in total fat mass (kg); and c) reduction of glycated hemoglobin (HbA1c).",p < 0.05,,,,,,,66 individuals,detail_hint,expansion_queue,pending,
