evidence_id,source_database,source_accession,title,outcome_domain,suggested_text,suggested_p_value,final_value,final_unit,final_direction,comparison,time_point,p_value_confirmed,sample_size_confirmed,extraction_source,reviewer,review_status,reviewer_note
EUROPEPMC:PMC12938260,publisher supplementary data,PMC12938260,"Lactobacillus helveticus UA881 Improves Body Composition, Lipid Profiles, and Gut Microbiota in Overweight Adults: A Randomized Double-Blind Placebo-Controlled Trial",weight,"Lactobacillus helveticus UA881 Improves Body Composition, Lipid Profiles, and Gut Microbiota in Overweight Adults: A Randomized Double-Blind Placebo-Controlled Trial",,,,,,,,,detail_hint,supplement_queue,pending,
EUROPEPMC:PMC12938260,publisher supplementary data,PMC12938260,"Lactobacillus helveticus UA881 Improves Body Composition, Lipid Profiles, and Gut Microbiota in Overweight Adults: A Randomized Double-Blind Placebo-Controlled Trial",lipid,"Lactobacillus helveticus UA881 Improves Body Composition, Lipid Profiles, and Gut Microbiota in Overweight Adults: A Randomized Double-Blind Placebo-Controlled Trial",,,,,,,,,detail_hint,supplement_queue,pending,
EUROPEPMC:PMC12938260,publisher supplementary data,PMC12938260,"Lactobacillus helveticus UA881 Improves Body Composition, Lipid Profiles, and Gut Microbiota in Overweight Adults: A Randomized Double-Blind Placebo-Controlled Trial",microbiome,"Lactobacillus helveticus UA881 Improves Body Composition, Lipid Profiles, and Gut Microbiota in Overweight Adults: A Randomized Double-Blind Placebo-Controlled Trial",,,,,,,,,detail_hint,supplement_queue,pending,
EUROPEPMC:42116047,PubMed,42116047,"Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNF&#945;, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial.",BMI,"bifidum BGN4 did not result in significant changes in BMI, body fat percentage, or the primary outcome, hs-CRP.",,,,,,,,60 adults; 30 participants; 58 participants; 29 individuals,detail_hint,supplement_queue,pending,
EUROPEPMC:42116047,PubMed,42116047,"Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNF&#945;, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial.",body_fat,"bifidum BGN4 did not result in significant changes in BMI, body fat percentage, or the primary outcome, hs-CRP.",,,,,,,,60 adults; 30 participants; 58 participants; 29 individuals,detail_hint,supplement_queue,pending,
EUROPEPMC:42116047,PubMed,42116047,"Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNF&#945;, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial.",glucose,"Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNF&#945;, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial.",,,,,,,,60 adults; 30 participants; 58 participants; 29 individuals,detail_hint,supplement_queue,pending,
EUROPEPMC:42116047,PubMed,42116047,"Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNF&#945;, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial.",microbiome,"Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNF&#945;, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial.",,,,,,,,60 adults; 30 participants; 58 participants; 29 individuals,detail_hint,supplement_queue,pending,
PMID:40598275,PubMed,40598275,"Differential effects of inulin and fructooligosaccharides on gut microbiota composition and glycemic metabolism in overweight/obese and healthy individuals: a randomized, double-blind clinical trial.",weight,"Inulin significantly reduced glucose levels at 1 h (Cohen's d = 0.71, p = 0.041) and 2 h (Cohen's d = 0.73, p = 0.028) during oral glucose tolerance test (OGTT), increased fasting insulin (Cohen's d = 0.70, p = 0.008), and lowered homocysteine (HCY) levels (Cohen's d = 0.76, p = 0.014) in overweight/obese individuals.",p = 0.041; p = 0.028; p = 0.008; p = 0.014; p = 0.023; p = 0.020,,,,,,,131 adults,detail_hint,supplement_queue,pending,
PMID:40598275,PubMed,40598275,"Differential effects of inulin and fructooligosaccharides on gut microbiota composition and glycemic metabolism in overweight/obese and healthy individuals: a randomized, double-blind clinical trial.",glucose,"Inulin significantly reduced glucose levels at 1 h (Cohen's d = 0.71, p = 0.041) and 2 h (Cohen's d = 0.73, p = 0.028) during oral glucose tolerance test (OGTT), increased fasting insulin (Cohen's d = 0.70, p = 0.008), and lowered homocysteine (HCY) levels (Cohen's d = 0.76, p = 0.014) in overweight/obese individuals.",p = 0.041; p = 0.028; p = 0.008; p = 0.014; p = 0.023; p = 0.020,,,,,,,131 adults,detail_hint,supplement_queue,pending,
PMID:40598275,PubMed,40598275,"Differential effects of inulin and fructooligosaccharides on gut microbiota composition and glycemic metabolism in overweight/obese and healthy individuals: a randomized, double-blind clinical trial.",microbiome,"Functional prediction of gut microbiota revealed upregulation of microbial folate and glutathione metabolism with inulin, and purine metabolism with FOS.; Practically, inulin may be more suitable for managing glycemic dysregulation in overweight or obese individuals, while FOS may be considered for HCY reduction in individuals with normal glycemic status.",p = 0.041; p = 0.028; p = 0.008; p = 0.014; p = 0.023; p = 0.020,,,,,,,131 adults,detail_hint,supplement_queue,pending,
NCT:NCT07452757,ClinicalTrials.gov,NCT07452757,To Evaluate Efficacy and Safety of Proprietary Healthy Diet Combinations for Weight Management in Overweight Volunteers,weight,To Evaluate Efficacy and Safety of Proprietary Healthy Diet Combinations for Weight Management in Overweight Volunteers  Arm II; Arm III; Arm IV Change in Body Weight Change in BMI During Maintenance Phase; Change in Body Fat Percentage; Change in Waist Circumference; Change in Total Cholesterol; Change in Quality of Life; Incidence of Adverse Events; Change in Muscle Mass; Change in Fat-Free Mass; Change in Visceral Fat Level; Change in Waist-to-Hip Ratio; Change in Skinfold Thickness; Change i,,,,,,,,140,detail_hint,supplement_queue,pending,
