evidence_id,source_database,source_accession,title,outcome_domain,suggested_text,suggested_p_value,final_value,final_unit,final_direction,comparison,time_point,p_value_confirmed,sample_size_confirmed,extraction_source,reviewer,review_status,reviewer_note
PMID:35332040,PMID,35332040,A randomised controlled trial of a probiotic and a prebiotic examining metabolic and mental health outcomes in adults with pre-diabetes.,glucose,"At 6 months the mean (SD) HbA1c was 45.9 (4.4) mmol/mol, n=66 for HN001, and 46.7 (4.3) mmol/mol, n=63 for placebo capsules;",,,,,,,,n=66,abstract_auto_draft,,pending,"variance signals: CI, SD, p"
PMID:34919684,PMID,34919684,A Specifically Tailored Multistrain Probiotic and Micronutrient Mixture Affects Nonalcoholic Fatty Liver Disease-Related Markers in Patients with Obesity after Mini Gastric Bypass Surgery.,BMI,BMI: 44 ± 3 kg/m²).,,,,,,,,,abstract_auto_draft,,pending,"variance signals: CI, SD, p"
PMID:34919684,PMID,34919684,A Specifically Tailored Multistrain Probiotic and Micronutrient Mixture Affects Nonalcoholic Fatty Liver Disease-Related Markers in Patients with Obesity after Mini Gastric Bypass Surgery.,body_fat,P = 0.049) and the visceral adiposity index (difference: -0.70;,P = 0.049,,,,,,,,abstract_auto_draft,,pending,"variance signals: CI, SD, p"
PMID:34919684,PMID,34919684,A Specifically Tailored Multistrain Probiotic and Micronutrient Mixture Affects Nonalcoholic Fatty Liver Disease-Related Markers in Patients with Obesity after Mini Gastric Bypass Surgery.,lipid,"P = 0.048), serum triglycerides (difference: -22.8 mg/dL;",P = 0.048,,,,,,,,abstract_auto_draft,,pending,"variance signals: CI, SD, p"
PMID:31965834,PMID,31965834,"Effect of multi-strain probiotic (UB0316) in weight management in overweight/obese adults: a 12-week double blind, randomised, placebo-controlled study.",weight,"P=0.0001), body weight (95% CI: -1.16, -0.50;",P=0.0001,,,,,,,,abstract_auto_draft,,pending,"variance signals: CI, p"
PMID:31965834,PMID,31965834,"Effect of multi-strain probiotic (UB0316) in weight management in overweight/obese adults: a 12-week double blind, randomised, placebo-controlled study.",BMI,"A total of 71 subjects completed the scheduled study visits and analysis thereof showed that a 12-week UB0316 supplementation significantly reduced BMI (95% CI: -0.64, -0.27;",,,,,,,,,abstract_auto_draft,,pending,"variance signals: CI, p"
PMID:41479657,PMID,41479657,"Targeting gut microbiota with short-chain fructo-oligosaccharides prebiotic fibers to support metabolic health in overweight prediabetic adults: a randomized, double-blinded, placebo-controlled study.",BMI,"Participants (n = 66, 35 scFOS, 31 placebo) had a mean age of 50.6 ± 9.0 years and BMI of 28.2 ± 2.7 kg/m2.",,,,,,,,n = 66,abstract_auto_draft,,pending,"variance signals: SD, p"
PMID:41479657,PMID,41479657,"Targeting gut microbiota with short-chain fructo-oligosaccharides prebiotic fibers to support metabolic health in overweight prediabetic adults: a randomized, double-blinded, placebo-controlled study.",body_fat,"However, body composition outcomes favored scFOS: fat mass decreased (medians: -0.26% vs +0.20%, p = 0.0273), lean mass increased (+0.27% vs -0.30%;",p = 0.0273,,,,,,,n = 66,abstract_auto_draft,,pending,"variance signals: SD, p"
PMID:41479657,PMID,41479657,"Targeting gut microbiota with short-chain fructo-oligosaccharides prebiotic fibers to support metabolic health in overweight prediabetic adults: a randomized, double-blinded, placebo-controlled study.",glucose,"No significant treatment effect was observed for glucose metabolism markers, including the primary outcome HbA1c (+0.055% with scFOS vs +0.030% with placebo, p = 0.6835).",p = 0.6835,,,,,,,n = 66,abstract_auto_draft,,pending,"variance signals: SD, p"
PMID:35487505,PMID,35487505,"Effect of Lactobacillus plantarum LMT1-48 on Body Fat in Overweight Subjects: A Randomized, Double-Blind, Placebo-Controlled Trial.",weight,"After 12 weeks of treatment, the body weight decreased significantly from 76.6±9.4 to 75.7±9.2 kg in the LMT1-48 group but did not change in the placebo group (P=0.022 between groups).",P=0.022,,,,,,,,abstract_auto_draft,,pending,"variance signals: SD, p"
PMID:35487505,PMID,35487505,"Effect of Lactobacillus plantarum LMT1-48 on Body Fat in Overweight Subjects: A Randomized, Double-Blind, Placebo-Controlled Trial.",glucose,"Serum insulin levels, the corresponding homeostasis model assessment of insulin resistance, and leptin levels decreased in the LMT1-48 group but increased in the placebo group (all P<0.05).",P<0.05,,,,,,,,abstract_auto_draft,,pending,"variance signals: SD, p"
PMID:40902730,PMID,40902730,Can Probiotics Influence Adaptive Thermogenesis Induced by Continuous Energy Restriction after a 12-Week Intervention in Adult Males Living with Obesity? A Secondary Analysis of a Randomized Clinical ,weight,"Both groups experienced reductions in body weight, FM, and REEm over 12 wk (P < 0.001), with no differences between groups (P > 0.05).",P < 0.001,,,,,,,n = 25,abstract_auto_draft,,pending,"variance signals: SD, p"
EUROPEPMC:41126806,EUROPEPMC,41126806,Probiotic pasta consumption improves lipid metabolism and reduces gut permeability in overweight and obese adults: a randomized controlled trial.,weight,"These ""responders"" (R) exhibited distinct baseline microbiome traits and experienced reductions in body weight (-1 %, p = 0.03) and diastolic blood pressure (-6 %, p = 0.049) compared to Non-responders (NR) to S.",p = 0.03,,,,,,,n = 20,abstract_auto_draft,,pending,"variance signals: SD, p"
EUROPEPMC:41126806,EUROPEPMC,41126806,Probiotic pasta consumption improves lipid metabolism and reduces gut permeability in overweight and obese adults: a randomized controlled trial.,BMI,"A 4-weeks randomized controlled trial was conducted with 40 participants (17 females and 23 males, aged 35.4 ± 2.0 years, body mass index 27.6 ± 0.4 kg/m2), all habitual pasta consumers.",,,,,,,,n = 20,abstract_auto_draft,,pending,"variance signals: SD, p"
EUROPEPMC:41126806,EUROPEPMC,41126806,Probiotic pasta consumption improves lipid metabolism and reduces gut permeability in overweight and obese adults: a randomized controlled trial.,lipid,"Additionally, R showed a 17 % reduction in the low-density lipoprotein (LDL)-to-HDL ratio (p = 0.02) compared to baseline, correlated with increased fecal levels of Akkermansia muciniphila (p = 0.054) and Harryflintia acetispora, alongside reductions in Ruminococcus torques and Dorea longicatena.",p = 0.02,,,,,,,n = 20,abstract_auto_draft,,pending,"variance signals: SD, p"
PMID:33143755,PMID,33143755,Weight gain and body composition during pregnancy: a randomised pilot trial with probiotics and/or fish oil.,body_fat,"9·3 (sd 0·4) kg, adjusted mean difference -1·66 (95 % CI -2·52, -0·80) and fat mass (0·4 (sd 0·4) v.",,,,,,,,,abstract_auto_draft,,pending,"variance signals: CI, SD"
PMID:33143755,PMID,33143755,Weight gain and body composition during pregnancy: a randomised pilot trial with probiotics and/or fish oil.,glucose,"Compared with the normoglycaemic women (n 278), women diagnosed with GDM (n 119) gained less weight (7·7 (sd 0·4) v.",,,,,,,,,abstract_auto_draft,,pending,"variance signals: CI, SD"
