evidence_id,outcome_domain,row_index_1based,final_value,final_unit,final_direction,comparison,time_point,p_value_confirmed,sample_size_confirmed,extraction_source,review_status,reviewer_note
PMID:40409234,weight,2,probiotic -0.8 +/- 2.3 vs control -1.7 +/- 3.1,kg change,decrease,probiotic_vs_control_change,12 weeks,0.28 group_by_time,n=23 probiotic; n=28 control completed,"PDF Table 3, multi-strain probiotics hypertension PDF",extracted,Energy-restricted diet in both arms; no significant probiotic group-by-time effect.
PMID:40409234,BMI,3,probiotic -0.3 +/- 0.9 vs control -0.6 +/- 1.2,kg/m2 change,decrease,probiotic_vs_control_change,12 weeks,0.22 group_by_time,n=23 probiotic; n=28 control completed,"PDF Table 3, multi-strain probiotics hypertension PDF",extracted,No significant probiotic group-by-time effect.
PMID:40409234,waist,4,probiotic -1.3 +/- 1.8 vs control -2.5 +/- 3.1,cm waist circumference change,decrease,probiotic_vs_control_change,12 weeks,0.10 group_by_time,n=23 probiotic; n=28 control completed,"PDF Table 3, multi-strain probiotics hypertension PDF",extracted,No significant probiotic group-by-time effect.
PMID:40409234,body_fat,5,probiotic -0.69 +/- 1.16 vs control -1.80 +/- 2.65,kg total fat mass change,decrease,probiotic_vs_control_change,12 weeks,0.11 group_by_time,n=23 probiotic; n=28 control completed,"PDF Table 4, multi-strain probiotics hypertension PDF",extracted,DXA total fat mass; no significant probiotic group-by-time effect.
PMID:40409234,glucose,6,probiotic 0 (-0.3; 0) vs control 0 (-0.1; 0.2),"% HbA1c change, median (IQR)",decrease,probiotic_vs_control_change,12 weeks,<0.01 group_by_time,n=23 probiotic; n=28 control completed,"PDF Table 5, multi-strain probiotics hypertension PDF",extracted,HbA1c decreased significantly in probiotic group; table reports significant group-by-time effect.
PMID:40409234,lipid,7,probiotic 0 (-49; 0) vs control 0 (-10; 6),"mg/dL triglyceride change, median (IQR)",decrease,probiotic_vs_control_change,12 weeks,0.10 group_by_time,n=23 probiotic; n=28 control completed,"PDF Table 5, multi-strain probiotics hypertension PDF",extracted,TG decreased within probiotic group; no significant group-by-time effect.
PMID:37447365,weight,8,probiotic -0.69 +/- 2.17 vs placebo +0.37 +/- 1.87,kg change,decrease,probiotic_vs_placebo_change,3 months,0.012,n=59 probiotic; n=59 placebo,"PDF Table 5, nutrients-15-03039.pdf",extracted,Probiotic arm differed from placebo; synbiotic arm did not.
PMID:37447365,BMI,9,probiotic -0.24 +/- 0.74 vs placebo +0.13 +/- 0.63,kg/m2 change,decrease,probiotic_vs_placebo_change,3 months,0.011,n=59 probiotic; n=59 placebo,"PDF Table 5, nutrients-15-03039.pdf",extracted,Probiotic arm differed from placebo; synbiotic arm did not.
PMID:37447365,waist,10,probiotic -1.57 +/- 2.70 vs placebo -0.40 +/- 2.55,cm waist circumference change,decrease,probiotic_vs_placebo_change,3 months,0.033,n=59 probiotic; n=59 placebo,"PDF Table 5, nutrients-15-03039.pdf",extracted,Probiotic arm differed from placebo; synbiotic arm did not.
PMID:37447365,body_fat,11,probiotic -0.61 +/- 1.94 vs placebo +0.13 +/- 1.64,kg body fat mass change,decrease,probiotic_vs_placebo_change,3 months,0.039,FAS n=176; probiotic/placebo comparison,"PDF Results section, nutrients-15-03039.pdf",extracted,Primary endpoint body fat mass; probiotic arm significant vs placebo.
PMID:37111082,weight,12,synbiotic 72.10 +/- 12.85 vs placebo 73.82 +/- 12.28 at week 12,kg endpoint,no significant between-group difference,synbiotic_vs_placebo_endpoint,12 weeks,not significant,n=32 synbiotic; n=31 placebo completed,"PDF Table 2, nutrients-15-01863.pdf",extracted,"No significant between-group difference; PDF text/table labels appear internally swapped, so use with caution."
PMID:37111082,BMI,13,synbiotic 26.85 +/- 2.91 vs placebo 27.46 +/- 3.43 at week 12,kg/m2 endpoint,no significant between-group difference,synbiotic_vs_placebo_endpoint,12 weeks,not significant,n=32 synbiotic; n=31 placebo completed,"PDF Table 2, nutrients-15-01863.pdf",extracted,"No significant between-group difference; PDF text/table labels appear internally swapped, so use with caution."
PMID:37111082,waist,14,synbiotic -2.57 vs placebo +0.92,% waist circumference change from baseline,decrease,baseline_to_post_synbiotic_with_placebo_context,12 weeks,0.004 within synbiotic,n=32 synbiotic; n=31 placebo completed,"PDF Results/Discussion lines and Table 2, nutrients-15-01863.pdf",extracted,Synbiotic within-group waist reduction significant; no significant between-group difference at study end.
PMID:37111082,body_fat,15,synbiotic -4.21,% body fat percentage change from baseline,decrease,baseline_to_post_synbiotic,12 weeks,0.033 within synbiotic,n=32 synbiotic; n=31 placebo completed,"PDF Results/Discussion lines and Table 2, nutrients-15-01863.pdf",extracted,Synbiotic within-group body-fat percentage reduction significant; no significant between-group difference at study end.
PMID:41512635,weight,17,synbiotic +0.51 +/- 2.33 vs placebo +0.54 +/- 2.62,kg change,no meaningful change,synbiotic_vs_placebo_change,12 weeks,0.952,n=112 randomized,"PDF Table 3, novel synbiotic PDF",extracted,No significant between-group weight effect.
PMID:41512635,BMI,18,synbiotic +0.22 +/- 0.85 vs placebo +0.11 +/- 1.03,kg/m2 change,no meaningful change,synbiotic_vs_placebo_change,12 weeks,0.536,n=112 randomized,"PDF Table 3, novel synbiotic PDF",extracted,No significant between-group BMI effect.
PMID:41512635,waist,19,synbiotic +0.26 +/- 3.68 vs placebo +0.47 +/- 3.31,cm waist circumference change,no meaningful change,synbiotic_vs_placebo_change,12 weeks,0.757,n=112 randomized,"PDF Table 3, novel synbiotic PDF",extracted,No significant between-group waist effect.
PMID:41512635,body_fat,20,synbiotic -4.49 +/- 21.22 vs placebo +3.32 +/- 19.62,cm2 VAT area change,decrease,synbiotic_vs_placebo_change,12 weeks,0.048,n=112 randomized,"PDF Table 2, novel synbiotic PDF",extracted,Primary endpoint VAT area; significant between-group change.
PMID:40416368,weight,22,BC99 80.39 +/- 12.74 vs placebo 78.51 +/- 10.89 at week 8; overweight subgroup BC99 76.07 +/- 10.73 vs placebo 73.54 +/- 7.76,kg endpoint,decrease,probiotic_vs_placebo_endpoint_and_subgroup_weight_loss,8 weeks,<0.05 overweight subgroup weight loss,n=33 BC99; n=33 placebo; overweight subgroup n=20/group,"PDF Table 2 plus Frontiers HTML Table 2, fnut-12-1542145.pdf",extracted,Overall endpoint between-group p=0.52; overweight subgroup weight loss greater with BC99 per Supplementary Fig S1 p<0.05.
PMID:40416368,lipid,23,TG BC99 1.46 +/- 0.57 vs placebo 1.39 +/- 0.78 at week 8,mmol/L triglyceride endpoint,no significant between-group difference,probiotic_vs_placebo_endpoint,8 weeks,0.29,n=33 BC99; n=33 placebo,"Frontiers HTML Table 3 and PDF text, fnut-12-1542145.pdf",extracted,No significant lipid-profile difference between groups.
PMID:40416368,microbiome,24,"beta diversity R=0.04, P=0.03 at week 4; R=0.03, P=0.09 at week 8",PERMANOVA/ANOSIM statistic and p-value,changed at week 4,probiotic_vs_placebo_microbiome,4 and 8 weeks,0.03 at week 4; 0.09 at week 8,195 fecal samples; one placebo participant missing fecal sequencing,"Frontiers HTML Results and PDF text, fnut-12-1542145.pdf",extracted,BC99 significantly altered beta diversity at week 4 but not week 8; Parabacteroides enriched in BC99 group.
PMID:39456659,weight,29,BBr60 -4.67 +/- 4.40 vs placebo -2.82 +/- 4.17,kg change,decrease,probiotic_vs_placebo_change,12 weeks,0.047,n=33 BBr60; n=32 placebo,"PDF Table 2, ijms-25-10871.pdf",extracted,Between-group difference in body-weight change significant.
PMID:39456659,BMI,30,BBr60 -1.49 +/- 1.37 vs placebo -0.93 +/- 1.55,kg/m2 change,decrease,probiotic_vs_placebo_change,12 weeks,0.135,n=33 BBr60; n=32 placebo,"PDF Table 2, ijms-25-10871.pdf",extracted,BMI declined in both groups; between-group change not significant.
PMID:39456659,glucose,31,BBr60 5.26 +/- 0.57 vs placebo 5.69 +/- 0.86 at week 12,mmol/L fasting blood glucose,decrease,probiotic_vs_placebo_endpoint,12 weeks,0.0381,n=33 BBr60; n=32 placebo,"PDF Table 3, ijms-25-10871.pdf",extracted,FBG endpoint was lower in BBr60 than placebo; table labels unit as mg/dL but values appear mmol/L.
PMID:39051504,BMI,32,probiotic -0.23 +/- 0.43 vs placebo -0.07 +/- 0.59,kg/m2 change,decrease,probiotic_vs_placebo_change,12 weeks,0.1698,n=46 probiotic; n=47 placebo,"PDF Table 2, d4fo00535j.pdf",extracted,"BMI decreased within probiotic group, but between-group change was not significant."
PMID:39051504,body_fat,33,probiotic -0.45 +/- 0.83 vs placebo -0.16 +/- 0.83,kg total fat mass change,decrease,probiotic_vs_placebo_change,12 weeks,0.0407,n=46 probiotic; n=47 placebo,"PDF Table 2, d4fo00535j.pdf",extracted,Primary body fat endpoint; group difference of change adjusted by GLM.
PMID:39051504,lipid,34,probiotic -15 +/- 62 vs placebo +13 +/- 60,mg/dL triglyceride change,decrease,probiotic_vs_placebo_change,12 weeks,0.0088,n=46 probiotic; n=47 placebo,"PDF abstract/Table 4 text, d4fo00535j.pdf",extracted,Serum triglyceride change significantly differed between groups.
PMID:38999741,weight,35,BN-202M -0.58 +/- 1.59 vs placebo -0.33 +/- 1.32,kg change,decrease,probiotic_vs_placebo_change,12 weeks,0.352,PP n=67 BN-202M; n=58 placebo,"PDF Table 2, nutrients-16-01993.pdf",extracted,"Within BN-202M significant, but between-group change not significant."
PMID:38999741,BMI,36,BN-202M -0.23 +/- 0.60 vs placebo -0.11 +/- 0.52,kg/m2 change,decrease,probiotic_vs_placebo_change,12 weeks,0.263,PP n=67 BN-202M; n=58 placebo,"PDF Table 2, nutrients-16-01993.pdf",extracted,"Within BN-202M significant, but between-group change not significant."
PMID:38999741,body_fat,37,BN-202M -0.10 +/- 1.32 vs placebo +0.48 +/- 1.10,percentage-point body fat change,decrease,probiotic_vs_placebo_change,12 weeks,0.009,PP n=67 BN-202M; n=58 placebo,"PDF Table 2, nutrients-16-01993.pdf",extracted,Primary endpoint body fat percentage; significant between-group change. Body fat mass also significant p=0.023.
PMID:38999741,microbiome,38,no significant alpha diversity or taxonomic composition difference between BN-202M and placebo,qualitative microbiome result,no significant between-group microbiome change,probiotic_vs_placebo_microbiome,12 weeks,not significant,PP n=67 BN-202M; n=58 placebo,"PDF Discussion/Results, nutrients-16-01993.pdf",extracted,"Metabolome responder analysis was reported, but main microbiome between-group composition was not significant."
