study_id,evidence_id,arm_id,arm_role,arm_label,intervention_class,species,strain,total_cfu_per_day,log10_cfu_per_day,prebiotic_type,prebiotic_dose_g_day,duration_weeks,dosage_form,sample_size,arm_data_status,source_title
PMID:37545298,PMID:37545298,PMID:37545298::arm:intervention,intervention,intermittent low carb,other,,,,,,,4.0,,34.0,partially_extracted,Intermittent dietary carbohydrate restriction versus calorie restriction and cardiometabolic profiles: A randomized trial.
PMID:37545298,PMID:37545298,PMID:37545298::arm:control,control,intermittent calorie restriction,other,,,,,,,4.0,,34.0,partially_extracted,Intermittent dietary carbohydrate restriction versus calorie restriction and cardiometabolic profiles: A randomized trial.
EUROPEPMC:41413231,EUROPEPMC:41413231,EUROPEPMC:41413231::arm:intervention,intervention,synbiotic,synbiotic,,,,,,,17.38,,96.0,partially_extracted,"The promising effects of a multi-species synbiotic preparation on metabolic profile in elderly patients with type 2 diabetes and high cardiovascular risk: a randomized, triple-blind, placebo-controlled trial."
EUROPEPMC:41413231,EUROPEPMC:41413231,EUROPEPMC:41413231::arm:control,control,placebo adjusted,placebo,,,,,,,17.38,,96.0,partially_extracted,"The promising effects of a multi-species synbiotic preparation on metabolic profile in elderly patients with type 2 diabetes and high cardiovascular risk: a randomized, triple-blind, placebo-controlled trial."
PMID:33763720,PMID:33763720,PMID:33763720::arm:intervention,intervention,Mediterranean diet,other,,,,,,,8.0,,82.0,partially_extracted,"Mediterranean diet consumption affects the endocannabinoid system in overweight and obese subjects: possible links with gut microbiome, insulin resistance and inflammation."
PMID:33763720,PMID:33763720,PMID:33763720::arm:control,control,habitual diet,other,,,,,,,8.0,,82.0,partially_extracted,"Mediterranean diet consumption affects the endocannabinoid system in overweight and obese subjects: possible links with gut microbiome, insulin resistance and inflammation."
PMID:35351144,PMID:35351144,PMID:35351144::arm:intervention,intervention,microbial intervention,probiotic,,,,,,,13.035,,61.0,partially_extracted,Physical activity enhances the improvement of body mass index and metabolism by inulin: a multicenter randomized placebo-controlled trial performed in obese individuals.
PMID:35351144,PMID:35351144,PMID:35351144::arm:control,control,placebo or usual-care control,placebo,,,,,,,13.035,,61.0,partially_extracted,Physical activity enhances the improvement of body mass index and metabolism by inulin: a multicenter randomized placebo-controlled trial performed in obese individuals.
PMID:36944956,PMID:36944956,PMID:36944956::arm:intervention,intervention,four K56 doses,other,,,,,,,8.571428571428571,,74.0,partially_extracted,Effect of different doses of Lacticaseibacillus paracasei K56 on body fat and metabolic parameters in adult individuals with obesity: a pilot study.
PMID:36944956,PMID:36944956,PMID:36944956::arm:control,control,placebo change,placebo,,,,,,,8.571428571428571,,74.0,partially_extracted,Effect of different doses of Lacticaseibacillus paracasei K56 on body fat and metabolic parameters in adult individuals with obesity: a pilot study.
