study_id,publication_date,pub_year,journal,enrollment_source,enrollment_country,enrollment_total_abstract,is_open_access,pmcid,provenance
PMID:41413231,2025-12-18,2025,Nutrition & diabetes,,,,Y,PMC12770592,EuropePMC core (firstPublicationDate; registry parsed from abstract)
PMID:31263284,2019-07-01,2019,Nature medicine,,,,Y,PMC6699990,EuropePMC core (firstPublicationDate; registry parsed from abstract)
PMID:42120725,2026-05-13,2026,Nature medicine,ClinicalTrials.gov,,,N,,EuropePMC core (firstPublicationDate; registry parsed from abstract)
PMID:31965834,2019-12-04,2019,Beneficial microbes,,,71,N,,EuropePMC core (firstPublicationDate; registry parsed from abstract)
PMID:34919684,2022-02-01,2022,The Journal of nutrition,ClinicalTrials.gov,,48,N,,EuropePMC core (firstPublicationDate; registry parsed from abstract)
PMID:35332040,2022-03-24,2022,BMJ open,,,153,Y,PMC8948404,EuropePMC core (firstPublicationDate; registry parsed from abstract)
PMID:37111082,2023-04-13,2023,Nutrients,,,63,Y,PMC10141052,EuropePMC core (firstPublicationDate; registry parsed from abstract)
PMID:37447365,2023-07-05,2023,Nutrients,,,180,N,,EuropePMC core (firstPublicationDate; registry parsed from abstract)
PMID:39456659,2024-10-10,2024,International journal of molecular sciences,,,,Y,PMC11507383,EuropePMC core (firstPublicationDate; registry parsed from abstract)
PMID:40416368,2025-05-09,2025,Frontiers in nutrition,ClinicalTrials.gov,,,Y,PMC12100662,EuropePMC core (firstPublicationDate; registry parsed from abstract)
PMID:40676704,2025-07-17,2025,Nutrition & metabolism,,,,Y,PMC12273011,EuropePMC core (firstPublicationDate; registry parsed from abstract)
DOI:10.3803/EnM.2020.35.2.425,2020-06-24,2020,"Endocrinology and metabolism (Seoul, Korea)",ClinicalTrials.gov,,114,Y,PMC7386112,EuropePMC core (firstPublicationDate; registry parsed from abstract)
PMID:38542727,2024-03-13,2024,Nutrients,,,,Y,PMC10974859,EuropePMC core (firstPublicationDate; registry parsed from abstract)
PMID:38999741,2024-06-23,2024,Nutrients,,,150,Y,PMC11243028,EuropePMC core (firstPublicationDate; registry parsed from abstract)
PMID:39051504,2024-08-12,2024,Food & function,CRIS (Korea),South Korea,99,N,,EuropePMC core (firstPublicationDate; registry parsed from abstract)
PMID:40066582,2025-04-01,2025,Nutricion hospitalaria,,,,N,,EuropePMC core (firstPublicationDate; registry parsed from abstract)
PMID:40385498,2025-05-15,2025,Journal of diabetes and metabolic disorders,,,20,N,PMC12081805,EuropePMC core (firstPublicationDate; registry parsed from abstract)
PMID:40409234,2025-05-15,2025,"Clinical nutrition (Edinburgh, Scotland)",ReBEC (Brazil),Brazil,66,N,,EuropePMC core (firstPublicationDate; registry parsed from abstract)
PMID:41512635,2025-12-30,2026,"Clinical nutrition (Edinburgh, Scotland)",ChiCTR (China),China,112,N,,EuropePMC core (firstPublicationDate; registry parsed from abstract)
