run_accession,sample_accession,sample_alias,sample_serial,fastq_ftp,fastq_bytes,collection_date
ERR13914704,SAMEA116333151,2023_0027_0001,0001,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/004/ERR13914704/ERR13914704_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/004/ERR13914704/ERR13914704_2.fastq.gz,2308522737;2356466365,2023
ERR13914706,SAMEA116333152,2023_0027_0002,0002,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/006/ERR13914706/ERR13914706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/006/ERR13914706/ERR13914706_2.fastq.gz,1641604902;1680296338,2023
ERR13914707,SAMEA116333154,2023_0027_0004,0004,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/007/ERR13914707/ERR13914707_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/007/ERR13914707/ERR13914707_2.fastq.gz,1796293009;1831874982,2023
ERR13914708,SAMEA116333156,2023_0027_0006,0006,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/008/ERR13914708/ERR13914708_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/008/ERR13914708/ERR13914708_2.fastq.gz,1555526586;1553558159,2023
ERR13914710,SAMEA116333157,2023_0027_0007,0007,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/010/ERR13914710/ERR13914710_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/010/ERR13914710/ERR13914710_2.fastq.gz,1752759105;1792385760,2023
ERR13914711,SAMEA116333159,2023_0027_0009,0009,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/011/ERR13914711/ERR13914711_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/011/ERR13914711/ERR13914711_2.fastq.gz,1908659285;1944328203,2023
ERR13914713,SAMEA116333160,2023_0027_0010,0010,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/013/ERR13914713/ERR13914713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/013/ERR13914713/ERR13914713_2.fastq.gz,1579065066;1627908262,2023
ERR13914714,SAMEA116333162,2023_0027_0012,0012,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/014/ERR13914714/ERR13914714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/014/ERR13914714/ERR13914714_2.fastq.gz,2037554497;2078292400,2023
ERR13914716,SAMEA116333163,2023_0027_0013,0013,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/016/ERR13914716/ERR13914716_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/016/ERR13914716/ERR13914716_2.fastq.gz,1442871322;1489001952,2023
ERR13914717,SAMEA116333166,2023_0027_0016,0016,ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/017/ERR13914717/ERR13914717_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR139/017/ERR13914717/ERR13914717_2.fastq.gz,1904474221;1948973741,2023
