evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
NCT:NCT02921217,clinical_trial,ClinicalTrials.gov,NCT02921217,https://clinicaltrials.gov/study/NCT02921217,,,Effect of a Probiotic on Visceral Fat Accumulation,2016,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT07371325,clinical_trial,ClinicalTrials.gov,NCT07371325,https://clinicaltrials.gov/study/NCT07371325,,,Efficacy of Pediococcus Acidilactici as add-on to Antipsychotic Drugs on Metabolic Syndrome Disturbances in First-episode Psychosis and Schizophrenia Spectrum Disorders.,2024,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT05882149,clinical_trial,ClinicalTrials.gov,NCT05882149,https://clinicaltrials.gov/study/NCT05882149,,,Single Strain Probiotic,2023,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT05397015,clinical_trial,ClinicalTrials.gov,NCT05397015,https://clinicaltrials.gov/study/NCT05397015,,,Metabotyping in the Postmenopausal Stage,2021,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT02288572,clinical_trial,ClinicalTrials.gov,NCT02288572,https://clinicaltrials.gov/study/NCT02288572,,,Probiotic Bacteria in Prevention of the Metabolic Syndrome,2013,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT01922830,clinical_trial,ClinicalTrials.gov,NCT01922830,https://clinicaltrials.gov/study/NCT01922830,,,Probiotics and Microbiota in Bariatric Surgery,2013,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT04754464,clinical_trial,ClinicalTrials.gov,NCT04754464,https://clinicaltrials.gov/study/NCT04754464,,,Clinical Study on the Effect of a Synbiotic on Body Fat Mass,2020,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT01106924,clinical_trial,ClinicalTrials.gov,NCT01106924,https://clinicaltrials.gov/study/NCT01106924,,,Effects of a Probiotic on Body Weight,2010,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT05623007,clinical_trial,ClinicalTrials.gov,NCT05623007,https://clinicaltrials.gov/study/NCT05623007,,,Dietary Modulation of Gut Microbiota in Overweight/Obese Adolescents and COVID-19 Infection,2022,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT04293731,clinical_trial,ClinicalTrials.gov,NCT04293731,https://clinicaltrials.gov/study/NCT04293731,,,Smectite Gel and Probiotic for Obesity and Insulin Resistance,2018,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT05440630,clinical_trial,ClinicalTrials.gov,NCT05440630,https://clinicaltrials.gov/study/NCT05440630,,,Study of Efficacy of a Probiotic and Postbiotic in Overweight and Obese Individuals,2022,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT04201938,clinical_trial,ClinicalTrials.gov,NCT04201938,https://clinicaltrials.gov/study/NCT04201938,,,Effect of Probiotic Co-administration With Omega-3 Fatty Acids on Obesity Parameters and Insulin Resistance,2018,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT05259449,clinical_trial,ClinicalTrials.gov,NCT05259449,https://clinicaltrials.gov/study/NCT05259449,,,Efficacy of Educational Nutrition and Exercise on the Regulation of Appetite Through Exosomes in Type 2 Diabetics,2022,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT02768818,clinical_trial,ClinicalTrials.gov,NCT02768818,https://clinicaltrials.gov/study/NCT02768818,,,Modulation of the Intestinal Flora With the Probiotic VIVOMIXX™ in Pregnant Women at Risk of Metabolic Complications,2016,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT06030362,clinical_trial,ClinicalTrials.gov,NCT06030362,https://clinicaltrials.gov/study/NCT06030362,,,Probiotic Intervention Study,2023,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT03630588,clinical_trial,ClinicalTrials.gov,NCT03630588,https://clinicaltrials.gov/study/NCT03630588,,,Effect of the Consumption of an Enriched Surimi in Abdominal Visceral Adiposity,2018,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT06032988,clinical_trial,ClinicalTrials.gov,NCT06032988,https://clinicaltrials.gov/study/NCT06032988,,,Effect of Probiotic Supplements on Metabolic Control of People With Type 2 Diabetes Mellitus in Greece,2023,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT04886778,clinical_trial,ClinicalTrials.gov,NCT04886778,https://clinicaltrials.gov/study/NCT04886778,,,Efficacy and Safety of Low-Carbohydrate Diet Combined With Probiotics for Weight Loss in Male Obese Patients.,2021,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT05791604,clinical_trial,ClinicalTrials.gov,NCT05791604,https://clinicaltrials.gov/study/NCT05791604,,,The Intervention of Obesity in Children With Prader-Willi Syndrome Using Prebiotics and Probiotics,2023,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT05364814,clinical_trial,ClinicalTrials.gov,NCT05364814,https://clinicaltrials.gov/study/NCT05364814,,,Use of Probiotic Yogurt in Obese Women,2022,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT05765292,clinical_trial,ClinicalTrials.gov,NCT05765292,https://clinicaltrials.gov/study/NCT05765292,,,Probiotic Supplementation and Pancreatic β-Cell Function in Type 2 Diabetes,2021,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT07517757,clinical_trial,ClinicalTrials.gov,NCT07517757,https://clinicaltrials.gov/study/NCT07517757,,,Dietary Strategies for the Treatment of Fibromyalgia in Overweight and Obese Patients,2026,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT05428137,clinical_trial,ClinicalTrials.gov,NCT05428137,https://clinicaltrials.gov/study/NCT05428137,,,Study of Safety and Efficacy of a Probiotic and Postbiotic in Overweight Individuals,2022,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT02962583,clinical_trial,ClinicalTrials.gov,NCT02962583,https://clinicaltrials.gov/study/NCT02962583,,,The Addition of Probiotic Consumption to a Nutritional Intervention and Caloric Restriction on Body Weight and Composition in Overweight Participants,2017,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT05770076,clinical_trial,ClinicalTrials.gov,NCT05770076,https://clinicaltrials.gov/study/NCT05770076,,,Probiotic Lysate (Postbiotic and Metabiotic) Supplementation for Type 2 Diabetes Patients (DELI_Diab Study),2023,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT04767789,clinical_trial,ClinicalTrials.gov,NCT04767789,https://clinicaltrials.gov/study/NCT04767789,,,Clinical Trial to Evaluate the Efficacy and Safety of the Probiotic Strains Limosilactocillus Reuteri DSM 32910 and Lacticaseibacillus Paracasei DSM 32851 on Glucose Homeostatis in Prediabetic Adults,2021,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT06765057,clinical_trial,ClinicalTrials.gov,NCT06765057,https://clinicaltrials.gov/study/NCT06765057,,,"Effect of Probiotics ""Psychobiotics"" on Depression and Metabolic Syndrome in Saudi Arabia",2025,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT06959043,clinical_trial,ClinicalTrials.gov,NCT06959043,https://clinicaltrials.gov/study/NCT06959043,,,Therapeutic Strategies for Type 2 Diabetes Based on Lifestyle Changes: Plant-based Diet and Physical Exercise,2022,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
