evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
NCT:NCT03100162,clinical_trial,ClinicalTrials.gov,NCT03100162,https://clinicaltrials.gov/study/NCT03100162,,,Effect of Oral Supplementation With Probiotics,2016,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT03902301,clinical_trial,ClinicalTrials.gov,NCT03902301,https://clinicaltrials.gov/study/NCT03902301,,,Lactobacillus Rhamnosus and PCOS Treatment,2018,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT03109587,clinical_trial,ClinicalTrials.gov,NCT03109587,https://clinicaltrials.gov/study/NCT03109587,,,Pilot Study of Probiotics in Pre-diabetic Adolescents,2018,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT06963840,clinical_trial,ClinicalTrials.gov,NCT06963840,https://clinicaltrials.gov/study/NCT06963840,,,Effect of Theronomic Ova-All Care on Biomarkers of Ovarian Health in Adult Female With Polycystic Ovarian Syndrome,2025,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT07180446,clinical_trial,ClinicalTrials.gov,NCT07180446,https://clinicaltrials.gov/study/NCT07180446,,,Can Gut Bacteria Predict Who Benefits Most From Exercise? A Gut Supplement to Help Exercise Non-Responders,2026,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT03418857,clinical_trial,ClinicalTrials.gov,NCT03418857,https://clinicaltrials.gov/study/NCT03418857,,,Probiotics and Gut Health,2018,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT07073781,clinical_trial,ClinicalTrials.gov,NCT07073781,https://clinicaltrials.gov/study/NCT07073781,,,"Probiotic Impact on Cognitive Performance, and Metabolic Outcomes in Overweight Young Adults With Impaired Glucose Regulation",2025,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT06722443,clinical_trial,ClinicalTrials.gov,NCT06722443,https://clinicaltrials.gov/study/NCT06722443,,,Impact of Nutritional Intervention With Probiotics and Prebiotics on Obesity.,2024,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT05949255,clinical_trial,ClinicalTrials.gov,NCT05949255,https://clinicaltrials.gov/study/NCT05949255,,,Probiotics and Insulin Resistance in Obese Asthmatics,2024,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT05162209,clinical_trial,ClinicalTrials.gov,NCT05162209,https://clinicaltrials.gov/study/NCT05162209,,,PROBESITY-2: Synbiotics in Pediatric Obesity,2019,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
NCT:NCT01433120,clinical_trial,ClinicalTrials.gov,NCT01433120,https://clinicaltrials.gov/study/NCT01433120,,,Targeting the Gut Microbiome to Investigate the Pathways of Progression From Obesity to Metabolic Diseases in an At-risk Population.,2011,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion2,2026-06-08
