evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
NCT:NCT04042181,clinical_trial,ClinicalTrials.gov,NCT04042181,https://clinicaltrials.gov/study/NCT04042181,,,"The Effects of Supplementation of a Probiotic, B. Longum, on BMI and Anthropometric Outcomes in Overweight/Obese Adults.",2018,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT06313580,clinical_trial,ClinicalTrials.gov,NCT06313580,https://clinicaltrials.gov/study/NCT06313580,,,Spices for Cultivating a Healthy Gut Microbiome and Cardiometabolic Profile,2023,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT03100162,clinical_trial,ClinicalTrials.gov,NCT03100162,https://clinicaltrials.gov/study/NCT03100162,,,Effect of Oral Supplementation With Probiotics,2016,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT05374980,clinical_trial,ClinicalTrials.gov,NCT05374980,https://clinicaltrials.gov/study/NCT05374980,,,The Effects of Yogurt on Gut Microbiome and Metabolism in H. Pylori.,2022,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT03843736,clinical_trial,ClinicalTrials.gov,NCT03843736,https://clinicaltrials.gov/study/NCT03843736,,,The Role of Dysbiosis of Gut Microbiota in the Pathogenesis of PCOS.,2019,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT03902301,clinical_trial,ClinicalTrials.gov,NCT03902301,https://clinicaltrials.gov/study/NCT03902301,,,Lactobacillus Rhamnosus and PCOS Treatment,2018,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT03201068,clinical_trial,ClinicalTrials.gov,NCT03201068,https://clinicaltrials.gov/study/NCT03201068,,,"Probiotic Supplement and Microbiome, Immune System and Metabolic Syndrome",2017,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT03548480,clinical_trial,ClinicalTrials.gov,NCT03548480,https://clinicaltrials.gov/study/NCT03548480,,,Targeting the Gut Microbiome for Prader-Willi Syndrome Treatment,2018,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT03418857,clinical_trial,ClinicalTrials.gov,NCT03418857,https://clinicaltrials.gov/study/NCT03418857,,,Probiotics and Gut Health,2018,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT06794723,clinical_trial,ClinicalTrials.gov,NCT06794723,https://clinicaltrials.gov/study/NCT06794723,,,A Probiotic Based Intervention in Pregnancies Complicated by GDM,2025,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT04677738,clinical_trial,ClinicalTrials.gov,NCT04677738,https://clinicaltrials.gov/study/NCT04677738,,,Investigation of the Effects of a Bifidobacterium Breve Strain on Fat Loss in Healthy Adults,2020,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT04593459,clinical_trial,ClinicalTrials.gov,NCT04593459,https://clinicaltrials.gov/study/NCT04593459,,,Probiotic Intervention in PCOS,2020,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT07306988,clinical_trial,ClinicalTrials.gov,NCT07306988,https://clinicaltrials.gov/study/NCT07306988,,,Eradication of Helicobacter Pylori Improves Metabolic Syndrome Through Modulation of Gut Microbiota.,2025,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT06452199,clinical_trial,ClinicalTrials.gov,NCT06452199,https://clinicaltrials.gov/study/NCT06452199,,,"The BEGIN Study Bifidobacterium Infantis to Newborns: Effects of Modulating the Gut Microbial Composition on Growth, Immune Function and Inflammatory Conditions - a Randomized Placebo-controlled Double-blinded Intervention Trial",2024,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT06722443,clinical_trial,ClinicalTrials.gov,NCT06722443,https://clinicaltrials.gov/study/NCT06722443,,,Impact of Nutritional Intervention With Probiotics and Prebiotics on Obesity.,2024,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT07606872,clinical_trial,ClinicalTrials.gov,NCT07606872,https://clinicaltrials.gov/study/NCT07606872,,,Validation of the Snouda Metabolic Score for Phenotyping and Guiding Reversal in Type 2 Diabetes,2026,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT05162209,clinical_trial,ClinicalTrials.gov,NCT05162209,https://clinicaltrials.gov/study/NCT05162209,,,PROBESITY-2: Synbiotics in Pediatric Obesity,2019,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT06959043,clinical_trial,ClinicalTrials.gov,NCT06959043,https://clinicaltrials.gov/study/NCT06959043,,,Therapeutic Strategies for Type 2 Diabetes Based on Lifestyle Changes: Plant-based Diet and Physical Exercise,2022,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
