evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
NCT:NCT06722443,clinical_trial,ClinicalTrials.gov,NCT06722443,https://clinicaltrials.gov/study/NCT06722443,,,Impact of Nutritional Intervention With Probiotics and Prebiotics on Obesity.,2024,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT03312660,clinical_trial,ClinicalTrials.gov,NCT03312660,https://clinicaltrials.gov/study/NCT03312660,,,Effect of a Kefir Beverage on Immunity and Lipid Profile,2017,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT05832190,clinical_trial,ClinicalTrials.gov,NCT05832190,https://clinicaltrials.gov/study/NCT05832190,,,Correcting GUT MicrobioTa by Combined Supplementation of FibERs and BIotiN to Improve Microbiome and Optimize Bariatric Surgery Outcomes,2023,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT06963840,clinical_trial,ClinicalTrials.gov,NCT06963840,https://clinicaltrials.gov/study/NCT06963840,,,Effect of Theronomic Ova-All Care on Biomarkers of Ovarian Health in Adult Female With Polycystic Ovarian Syndrome,2025,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT04555447,clinical_trial,ClinicalTrials.gov,NCT04555447,https://clinicaltrials.gov/study/NCT04555447,,,Gastrointestinal Tolerability to Agavins and Impact on Host-gut Microbiota-metabolism Interactions Modulation,2019,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT03727321,clinical_trial,ClinicalTrials.gov,NCT03727321,https://clinicaltrials.gov/study/NCT03727321,,,FMT and Fiber in Patients With Metabolic Syndrome,2018,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT02127125,clinical_trial,ClinicalTrials.gov,NCT02127125,https://clinicaltrials.gov/study/NCT02127125,,,Mechanism of Microbiome-induced Insulin Resistance in Humans (Aim2),2014,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT07593170,clinical_trial,ClinicalTrials.gov,NCT07593170,https://clinicaltrials.gov/study/NCT07593170,,,AKK Study in Improving Obesity and Metabolic Status in Children and Adolescents,2026,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT06030999,clinical_trial,ClinicalTrials.gov,NCT06030999,https://clinicaltrials.gov/study/NCT06030999,,,The Prevention And Treatment On Obesity And Weight Management By Oral Supplementation Of Probiotics And Prebiotics,2023,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT07097974,clinical_trial,ClinicalTrials.gov,NCT07097974,https://clinicaltrials.gov/study/NCT07097974,,,Evaluation of the Efficacy of the Composite WM Formula in Body Weight Change,2025,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT01235026,clinical_trial,ClinicalTrials.gov,NCT01235026,https://clinicaltrials.gov/study/NCT01235026,,,Synbiotics and Low Grade Inflammation in Obese Subjects,2010,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT05664321,clinical_trial,ClinicalTrials.gov,NCT05664321,https://clinicaltrials.gov/study/NCT05664321,,,Influence of Adiposity and Other Factors on the Gut Microbiota Composition,2019,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT02041975,clinical_trial,ClinicalTrials.gov,NCT02041975,https://clinicaltrials.gov/study/NCT02041975,,,Effects of Prebiotic-based Snacks on the Gut Microbiota and Perceived 'Satisfaction',2013,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT07565675,clinical_trial,ClinicalTrials.gov,NCT07565675,https://clinicaltrials.gov/study/NCT07565675,,,The BALANCE Study - Improving Glucose Control Through Prebiotic Gut Health Drink in Postmenopausal Women,2026,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT02125955,clinical_trial,ClinicalTrials.gov,NCT02125955,https://clinicaltrials.gov/study/NCT02125955,,,"Effect of Prebiotic Intake on Adiposity, Satiety and Gut Microbiota in Overweight and Obese Children",2014,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT05791604,clinical_trial,ClinicalTrials.gov,NCT05791604,https://clinicaltrials.gov/study/NCT05791604,,,The Intervention of Obesity in Children With Prader-Willi Syndrome Using Prebiotics and Probiotics,2023,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT03477916,clinical_trial,ClinicalTrials.gov,NCT03477916,https://clinicaltrials.gov/study/NCT03477916,,,Fecal Microbial Transplantation and Fiber Supplementation in Participants With Obesity and Metabolic Syndrome.,2018,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT02958644,clinical_trial,ClinicalTrials.gov,NCT02958644,https://clinicaltrials.gov/study/NCT02958644,,,Effect of Synbiotic Supplement on the Body Mass Index of Participants With Severe Obesity,2017,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT03123510,clinical_trial,ClinicalTrials.gov,NCT03123510,https://clinicaltrials.gov/study/NCT03123510,,,Effect of a Synbiotic Supplement on a High-protein Diet,2017,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT02773927,clinical_trial,ClinicalTrials.gov,NCT02773927,https://clinicaltrials.gov/study/NCT02773927,,,Combination of Metformin/Inulin vs Inulin on Adiponectin in Metabolic Syndrome,2013,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT00522353,clinical_trial,ClinicalTrials.gov,NCT00522353,https://clinicaltrials.gov/study/NCT00522353,,,Prebiotic Fiber as a Modifier of Satiety Hormones and Body Weight in Overweight and Obese Adults,2007,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT05000775,clinical_trial,ClinicalTrials.gov,NCT05000775,https://clinicaltrials.gov/study/NCT05000775,,,The Influence of GNiib® in Obesity Management in Obese Young Individuals in Hong Kong.,2021,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
