evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
NCT:NCT06722443,clinical_trial,ClinicalTrials.gov,NCT06722443,https://clinicaltrials.gov/study/NCT06722443,,,Impact of Nutritional Intervention With Probiotics and Prebiotics on Obesity.,2024,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT06795607,clinical_trial,ClinicalTrials.gov,NCT06795607,https://clinicaltrials.gov/study/NCT06795607,,,Effect of the Probiotic SF68® on Body Composition and Low-to-moderate Cardiovascular Risk,2024,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT01870544,clinical_trial,ClinicalTrials.gov,NCT01870544,https://clinicaltrials.gov/study/NCT01870544,,,"Does Weight Loss Surgery and Probiotic Supplementation Lead to a ""Lean"" Gut Microbiota?",2013,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT01620125,clinical_trial,ClinicalTrials.gov,NCT01620125,https://clinicaltrials.gov/study/NCT01620125,,,Metabolic Control Before and After Supplementation With Lactobacillus Reuteri DSM 17938 in Type 2 Diabetes Patients,2012,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT06305650,clinical_trial,ClinicalTrials.gov,NCT06305650,https://clinicaltrials.gov/study/NCT06305650,,,Probiotic Influence on Obesity-Related Lipidemia,2024,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT05002153,clinical_trial,ClinicalTrials.gov,NCT05002153,https://clinicaltrials.gov/study/NCT05002153,,,The Role of Microbiome in Recurrent Obesity,2022,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT02893943,clinical_trial,ClinicalTrials.gov,NCT02893943,https://clinicaltrials.gov/study/NCT02893943,,,Impact of Probiotics on Weight Control and Body Composition in Overweight and Obese Individuals,2017,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT04962633,clinical_trial,ClinicalTrials.gov,NCT04962633,https://clinicaltrials.gov/study/NCT04962633,,,Dietary Intervention With Probiotic Pasta and Evaluation of the Effects on Metabolic and Inflammatory Status,2022,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT02768818,clinical_trial,ClinicalTrials.gov,NCT02768818,https://clinicaltrials.gov/study/NCT02768818,,,Modulation of the Intestinal Flora With the Probiotic VIVOMIXX™ in Pregnant Women at Risk of Metabolic Complications,2016,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT06963840,clinical_trial,ClinicalTrials.gov,NCT06963840,https://clinicaltrials.gov/study/NCT06963840,,,Effect of Theronomic Ova-All Care on Biomarkers of Ovarian Health in Adult Female With Polycystic Ovarian Syndrome,2025,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
