evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
NCT:NCT05405205,clinical_trial,ClinicalTrials.gov,NCT05405205,https://clinicaltrials.gov/study/NCT05405205,,,Effect of Synbiotic L. Fermentum Strains on Body Fat Mass,2021,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT01922791,clinical_trial,ClinicalTrials.gov,NCT01922791,https://clinicaltrials.gov/study/NCT01922791,,,Nutrition and Pregnancy Intervention Study,2013,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT03994055,clinical_trial,ClinicalTrials.gov,NCT03994055,https://clinicaltrials.gov/study/NCT03994055,,,Effect of an Anti-inflammatory Diet on Patients With Cervical Cancer,2018,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT06815926,clinical_trial,ClinicalTrials.gov,NCT06815926,https://clinicaltrials.gov/study/NCT06815926,,,Clinical Trial to Evaluate the Effect of a Probiotic Product on Weight,2025,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT04863313,clinical_trial,ClinicalTrials.gov,NCT04863313,https://clinicaltrials.gov/study/NCT04863313,,,Effect of a Probiotic on the Glycemic Profile and the Fecal Microbiota of Prediabetic Subjects (PREDIABETCARE),2021,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT05882149,clinical_trial,ClinicalTrials.gov,NCT05882149,https://clinicaltrials.gov/study/NCT05882149,,,Single Strain Probiotic,2023,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT03924089,clinical_trial,ClinicalTrials.gov,NCT03924089,https://clinicaltrials.gov/study/NCT03924089,,,"Oral Nutritional Supplement on Nutritional and Functional Status, and Biomarkers in Malnourished Hemodialysis Patients.",2019,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT04201938,clinical_trial,ClinicalTrials.gov,NCT04201938,https://clinicaltrials.gov/study/NCT04201938,,,Effect of Probiotic Co-administration With Omega-3 Fatty Acids on Obesity Parameters and Insulin Resistance,2018,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT03377946,clinical_trial,ClinicalTrials.gov,NCT03377946,https://clinicaltrials.gov/study/NCT03377946,,,Effect of Probiotics on Pre-diabetes and Diabetes in China,2017,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
NCT:NCT06891105,clinical_trial,ClinicalTrials.gov,NCT06891105,https://clinicaltrials.gov/study/NCT06891105,,,Effect of Probiotic and Synbiotic Administration on Nutritional Status in Hemodialysis Patients,2025,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_supplement,2026-06-06
