evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
NCT:NCT06722443,clinical_trial,ClinicalTrials.gov,NCT06722443,https://clinicaltrials.gov/study/NCT06722443,,,Impact of Nutritional Intervention With Probiotics and Prebiotics on Obesity.,2024,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT02127125,clinical_trial,ClinicalTrials.gov,NCT02127125,https://clinicaltrials.gov/study/NCT02127125,,,Mechanism of Microbiome-induced Insulin Resistance in Humans (Aim2),2014,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT00164099,clinical_trial,ClinicalTrials.gov,NCT00164099,https://clinicaltrials.gov/study/NCT00164099,,,The Role of Synbiotics in Reducing Post-Operative Infections in Patients Undergoing Cardiac Surgery: A Pilot Study,2005,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT01235026,clinical_trial,ClinicalTrials.gov,NCT01235026,https://clinicaltrials.gov/study/NCT01235026,,,Synbiotics and Low Grade Inflammation in Obese Subjects,2010,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT07342946,clinical_trial,ClinicalTrials.gov,NCT07342946,https://clinicaltrials.gov/study/NCT07342946,,,The Effects of the Mediterranean Diet and Synbiotics in Polycystic Ovary Syndrome,2025,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT02958644,clinical_trial,ClinicalTrials.gov,NCT02958644,https://clinicaltrials.gov/study/NCT02958644,,,Effect of Synbiotic Supplement on the Body Mass Index of Participants With Severe Obesity,2017,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT03123510,clinical_trial,ClinicalTrials.gov,NCT03123510,https://clinicaltrials.gov/study/NCT03123510,,,Effect of a Synbiotic Supplement on a High-protein Diet,2017,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT02151825,clinical_trial,ClinicalTrials.gov,NCT02151825,https://clinicaltrials.gov/study/NCT02151825,,,Effect of a Synbiotic on the Gut Microbiota and Adiposity-related Markers in Healthy Overweight Subjects,2011,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT02158676,clinical_trial,ClinicalTrials.gov,NCT02158676,https://clinicaltrials.gov/study/NCT02158676,,,Effect of Prebiotic and Synbiotic Supplementation in Individuals Undergoing Roux-en-y Gastric Bypass.,2013,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT03530501,clinical_trial,ClinicalTrials.gov,NCT03530501,https://clinicaltrials.gov/study/NCT03530501,,,Effect of Very-low Calorie Diet and Synbiotic Supplementation in Gut Microbiota (Pronokal Method),2016,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT05459909,clinical_trial,ClinicalTrials.gov,NCT05459909,https://clinicaltrials.gov/study/NCT05459909,,,The Effect of Synbiotic and Diet Modification Among Overweight or Obese Hong Kong Chinese,2020,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT05405205,clinical_trial,ClinicalTrials.gov,NCT05405205,https://clinicaltrials.gov/study/NCT05405205,,,Effect of Synbiotic L. Fermentum Strains on Body Fat Mass,2021,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT02355210,clinical_trial,ClinicalTrials.gov,NCT02355210,https://clinicaltrials.gov/study/NCT02355210,,,Use of a Novel Synbiotic to Change Human Gut Bacteria and Improve Health in Obese Adults,2013,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT01718418,clinical_trial,ClinicalTrials.gov,NCT01718418,https://clinicaltrials.gov/study/NCT01718418,,,Role of Colonic Events on Metabolism and Appetite Control: A Synbiotic Approach,2012,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT05073029,clinical_trial,ClinicalTrials.gov,NCT05073029,https://clinicaltrials.gov/study/NCT05073029,,,Open Label Randomized Clinical Study to Promote a Healthy Lifestyle in Medical Students,2019,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT06974994,clinical_trial,ClinicalTrials.gov,NCT06974994,https://clinicaltrials.gov/study/NCT06974994,,,Resilience to Antibiotic-induced Obesogenic Microbiota: Discovering Mechanism of Microbiota Modulation,2024,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT04754464,clinical_trial,ClinicalTrials.gov,NCT04754464,https://clinicaltrials.gov/study/NCT04754464,,,Clinical Study on the Effect of a Synbiotic on Body Fat Mass,2020,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT04611477,clinical_trial,ClinicalTrials.gov,NCT04611477,https://clinicaltrials.gov/study/NCT04611477,,,Effect of Synbiotic 365 on Body Composition in Overweight and Obese Individuals,2020,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT05423015,clinical_trial,ClinicalTrials.gov,NCT05423015,https://clinicaltrials.gov/study/NCT05423015,,,Assessment of the Effects of Synbiotic on Gut Microbiota Composition in Scholars With Overweight,2017,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT05942586,clinical_trial,ClinicalTrials.gov,NCT05942586,https://clinicaltrials.gov/study/NCT05942586,,,The Symbiont-Restore Study,2023,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT06578143,clinical_trial,ClinicalTrials.gov,NCT06578143,https://clinicaltrials.gov/study/NCT06578143,,,Effects of Synbiotics on Obesity,2024,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT06891105,clinical_trial,ClinicalTrials.gov,NCT06891105,https://clinicaltrials.gov/study/NCT06891105,,,Effect of Probiotic and Synbiotic Administration on Nutritional Status in Hemodialysis Patients,2025,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT01680640,clinical_trial,ClinicalTrials.gov,NCT01680640,https://clinicaltrials.gov/study/NCT01680640,,,Investigation of Synbiotic Treatment in NAFLD,2013,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT07400367,clinical_trial,ClinicalTrials.gov,NCT07400367,https://clinicaltrials.gov/study/NCT07400367,,,"Impact of a Probiotic Supplementation With Lifestyle Modification on Liver Steatosis, Fibrosis, and Metabolic Health in Patients With Metabolic Dysfunction-Associated Steatotic Liver Disease (MASLD)",2026,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
NCT:NCT04097106,clinical_trial,ClinicalTrials.gov,NCT04097106,https://clinicaltrials.gov/study/NCT04097106,,,Synbiotic Dietary Supplement and Gut Microbiota,2020,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search,2026-05-26
