evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
NCT:NCT03883191,clinical_trial,ClinicalTrials.gov,NCT03883191,https://clinicaltrials.gov/study/NCT03883191,,,Effect of a Three Combined Probiotics Supplementation on Weight Loss in Obese/Overweight Children,2017,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT05476289,clinical_trial,ClinicalTrials.gov,NCT05476289,https://clinicaltrials.gov/study/NCT05476289,,,A Follow-up Study of Dragon Study (NCT03520764): to Assess the Growth and Immune-related Outcomes,2018,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT05397015,clinical_trial,ClinicalTrials.gov,NCT05397015,https://clinicaltrials.gov/study/NCT05397015,,,Metabotyping in the Postmenopausal Stage,2021,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT03924089,clinical_trial,ClinicalTrials.gov,NCT03924089,https://clinicaltrials.gov/study/NCT03924089,,,"Oral Nutritional Supplement on Nutritional and Functional Status, and Biomarkers in Malnourished Hemodialysis Patients.",2019,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT07076329,clinical_trial,ClinicalTrials.gov,NCT07076329,https://clinicaltrials.gov/study/NCT07076329,,,Microbiota-Inflammation-Brain Axis in Heart Failure: New Functional Food for the Prevention of undeRnutrition in Older,2022,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT06901440,clinical_trial,ClinicalTrials.gov,NCT06901440,https://clinicaltrials.gov/study/NCT06901440,,,Bariatric Surgery for Obesity,2025,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT07180446,clinical_trial,ClinicalTrials.gov,NCT07180446,https://clinicaltrials.gov/study/NCT07180446,,,Can Gut Bacteria Predict Who Benefits Most From Exercise? A Gut Supplement to Help Exercise Non-Responders,2026,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT04653714,clinical_trial,ClinicalTrials.gov,NCT04653714,https://clinicaltrials.gov/study/NCT04653714,,,The Effects of Non-surgical Periodontal Therapy in Patients Indicated for Bariatric Surgery,2020,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT06423287,clinical_trial,ClinicalTrials.gov,NCT06423287,https://clinicaltrials.gov/study/NCT06423287,,,Effects of TRE With Lactobacillus Plantarum LP-KFY04 Supplementation on Overweight / Obese Individuals,2024,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
NCT:NCT02539836,clinical_trial,ClinicalTrials.gov,NCT02539836,https://clinicaltrials.gov/study/NCT02539836,,,Study on Dietary Nutrition Intervention Techniques for Children Obesity,2015,,clinical_trial_registry,intervention_metadata;clinical_outcome,Auto-collected from ClinicalTrials.gov API v2; requires manual review.,auto_search_expansion,2026-06-06
