evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
EUROPEPMC:42075007,literature,PubMed,42075007,https://europepmc.org/article/MED/42075007,10.3390/nu18081195,42075007,<i>Bifidobacterium animalis</i> ssp. <i>lactis</i> 420 and <i>Cordyceps militaris</i> Synergistically Modulate the Gut Microbiota by Increasing Mucin 2 Production.,2026,Nutrients,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_supplement,2026-06-06
EUROPEPMC:42197026,literature,PubMed,42197026,https://europepmc.org/article/MED/42197026,10.3390/nu18101565,42197026,Exercise and the Gut Microbiome: From Mechanisms to Clinical Applications.,2026,Nutrients,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_supplement,2026-06-06
EUROPEPMC:10.20944/preprints202509.2367.v1,literature,publisher supplementary data,10.20944/preprints202509.2367.v1,,10.20944/preprints202509.2367.v1,,The Role of <em>Akkermansia muciniphila</em> in Human Health: A Clinical Review,2025,,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_supplement,2026-06-06
EUROPEPMC:42131482,literature,PubMed,42131482,https://europepmc.org/article/MED/42131482,10.3389/fphys.2026.1766078,42131482,Bioactive compounds as therapeutic modulators of metabolic syndrome: targeting inflammation and gut microbiota regulation.,2026,Front Physiol,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_supplement,2026-06-06
EUROPEPMC:42042904,literature,PubMed,42042904,https://europepmc.org/article/MED/42042904,10.3390/metabo16040259,42042904,A Dual-Target Microbial Therapeutic Strategy for Treating Metabolic Diseases: Complementary Mechanisms and Clinical Prospects of <i>Lactiplantibacillus plantarum</i> and <i>Akkermansia muciniphila</i>.,2026,Metabolites,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_supplement,2026-06-06
EUROPEPMC:42075218,literature,PubMed,42075218,https://europepmc.org/article/MED/42075218,10.3390/microorganisms14040820,42075218,"Insights into the Functions, Characteristics, and Mechanisms of Disease-Related Proteins from <i>Akkermansia muciniphila</i>: A Review.",2026,Microorganisms,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_supplement,2026-06-06
EUROPEPMC:41515236,literature,PubMed,41515236,https://europepmc.org/article/MED/41515236,10.3390/nu18010119,41515236,Intermittent Fasting and Probiotics for Gut Microbiota Modulation in Type 2 Diabetes Mellitus: A Narrative Review.,2025,Nutrients,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_supplement,2026-06-06
EUROPEPMC:42194074,literature,PubMed,42194074,https://europepmc.org/article/MED/42194074,10.3390/biom16050726,42194074,"<i>Akkermansia muciniphila</i> and Alzheimer's Disease: Mechanisms, Evidence and Translational Potential.",2026,Biomolecules,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_supplement,2026-06-06
EUROPEPMC:41163054,literature,PubMed,41163054,https://europepmc.org/article/MED/41163054,10.1186/s13063-025-09180-3,41163054,"The effects of a newly developed beverage powder supplement on anthropometric measures, body composition, metabolic syndrome components, and appetite in obese or overweight adults: a protocol for a randomized clinical trial study.",2025,Trials,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_supplement,2026-06-06
EUROPEPMC:41568048,literature,PubMed,41568048,https://europepmc.org/article/MED/41568048,10.3389/fmicb.2025.1627870,41568048,Probiotic attributes and safety profile of AKM Lab-01: a novel <i>Akkermansia muciniphila</i> strain combating obesity and metabolic disorders in diet-induced obese mice.,2025,Front Microbiol,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_supplement,2026-06-06
