evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
EUROPEPMC:41097469,literature,PubMed,41097469,https://europepmc.org/article/MED/41097469,10.3390/foods14193300,41097469,"Effect of Probiotics Containing <i>Lactobacillus plantarum</i> on Blood Lipids: Systematic Review, Meta-Analysis, and Network Pharmacological Analysis.",2025,Foods,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,codex,2026-05-29
EUROPEPMC:40951500,literature,PubMed,40951500,https://europepmc.org/article/MED/40951500,10.52225/narra.v5i2.1562,40951500,Probiotic <i>Lactobacillus</i> sp. as a strategy for modulation of non-comorbid obesity: A systematic meta-analysis and GRADE assessment of randomized controlled trials.,2025,Narra J,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,codex,2026-05-29
EUROPEPMC:41220421,literature,PubMed,41220421,https://europepmc.org/article/MED/41220421,10.1155/sci5/3367875,41220421,Therapeutic Potential Targeting Gut Microbiota Modulation With Emphasis on <i>Lactobacillus</i> spp. in Common Metabolic Disorders: A Systematic Review.,2025,Scientifica (Cairo),needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,codex,2026-05-29
EUROPEPMC:PMC12985339,literature,publisher supplementary data,PMC12985339,,,,From Probiotics to Postbiotics—An Update on Their Biotherapeutic Potential and the Emerging Strategies in Human Health,2026,Int J Mol Sci,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,codex,2026-05-29
EUROPEPMC:40218922,literature,PubMed,40218922,https://europepmc.org/article/MED/40218922,10.3390/nu17071165,40218922,Strain-Specific Therapeutic Potential of <i>Lactiplantibacillus plantarum</i>: A Systematic Scoping Review.,2025,Nutrients,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,codex,2026-05-29
EUROPEPMC:41426235,literature,PubMed,41426235,https://europepmc.org/article/MED/41426235,10.2147/tcrm.s540144,41426235,Modulating Metabolic Health and Physiological Functions: Advances in Dietary Interventions Targeting Gut Microbiota.,2025,Ther Clin Risk Manag,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,codex,2026-05-29
EUROPEPMC:40295195,literature,PubMed,40295195,https://europepmc.org/article/MED/40295195,10.4014/jmb.2501.01024,40295195,"Microbiome, Potential Therapeutic Agents: New Players of Obesity Treatment.",2025,J Microbiol Biotechnol,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,codex,2026-05-29
EUROPEPMC:39062848,literature,PubMed,39062848,https://europepmc.org/article/MED/39062848,10.3390/ijms25147608,39062848,The Role of <i>Lactobacillus plantarum</i> in Reducing Obesity and Inflammation: A Meta-Analysis.,2024,Int J Mol Sci,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,codex,2026-05-29
EUROPEPMC:38732619,literature,PubMed,38732619,https://europepmc.org/article/MED/38732619,10.3390/nu16091373,38732619,Insights into the Anti-Adipogenic and Anti-Inflammatory Potentialities of Probiotics against Obesity.,2024,Nutrients,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,codex,2026-05-29
EUROPEPMC:39599742,literature,PubMed,39599742,https://europepmc.org/article/MED/39599742,10.3390/nu16223955,39599742,"Health Benefits of Prebiotics, Probiotics, Synbiotics, and Postbiotics.",2024,Nutrients,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,codex,2026-05-29
