evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
EUROPEPMC:41507594,literature,PubMed,41507594,https://europepmc.org/article/MED/41507594,10.1007/s00198-025-07801-w,41507594,"Impact of probiotic, prebiotic, and synbiotic supplementation on the gut microbiome in older adults with sarcopenia, obesity, and sarcopenic obesity.",2026,Osteoporos Int,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:42196590,literature,PubMed,42196590,https://europepmc.org/article/MED/42196590,10.3390/ijms27104613,42196590,Bioactive-Supplemented Infant Formulas and Early Gut-Immune-Endocrine Development: A Narrative Review.,2026,Int J Mol Sci,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:42212103,literature,PubMed,42212103,https://europepmc.org/article/MED/42212103,10.3389/fped.2026.1773294,42212103,Gut microbiota and pediatric metabolic dysfunction-associated steatotic liver disease: clinical evidence and therapeutic implications.,2026,Front Pediatr,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:42197000,literature,PubMed,42197000,https://europepmc.org/article/MED/42197000,10.3390/nu18101540,42197000,Gut Microbiome Dysbiosis in Metabolic Syndrome: Current Evidence and Emerging Perspectives.,2026,Nutrients,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:41774188,literature,PubMed,41774188,https://europepmc.org/article/MED/41774188,10.1007/s00018-025-06022-y,41774188,"Microbes, mood, and metabolism/obesity: Pharmacological insights into the gut-obesity-depression triad.",2026,Cell Mol Life Sci,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:41444876,literature,PubMed,41444876,https://europepmc.org/article/MED/41444876,10.1186/s12887-025-06319-8,41444876,The role of microbiome-modulating supplements in managing metabolic syndrome risk factors among overweight and obese youth: a GRADE-assessed meta-analysis.,2025,BMC Pediatr,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:41133047,literature,PubMed,41133047,https://europepmc.org/article/MED/41133047,10.7759/cureus.92881,41133047,Efficacy of Gut Microbiome-Targeted Therapies in Modulating Systemic Inflammation and Low-Grade Chronic Inflammatory States in Adults With Metabolic Disorders: A Systematic Review.,2025,Cureus,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:40987620,literature,PubMed,40987620,https://europepmc.org/article/MED/40987620,10.1016/j.orcp.2025.08.010,40987620,Can pre-/pro and synbiotics affect cardiovascular risk factors in children and adolescence with overweight and obesity? A grade-assessed systematic review and meta-analysis of randomized controlled trials.,2025,Obes Res Clin Pract,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:PMC12937403,literature,publisher supplementary data,PMC12937403,,,,"Multi-Species Synbiotic Supplementation After Antibiotics Promotes Recovery of Microbial Diversity and Function, and Increases Gut Barrier Integrity: A Randomized, Placebo-Controlled Trial",2026,Antibiotics (Basel),needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:41901543,literature,PubMed,41901543,https://europepmc.org/article/MED/41901543,10.3390/medicina62030458,41901543,"Nutritional Status in Obesity: A Comprehensive Narrative Review of Dysbiosis, Micronutrient Deficiencies and the Effects of Probiotics/Synbiotics.",2026,Medicina (Kaunas),needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:42039766,literature,PubMed,42039766,https://europepmc.org/article/MED/42039766,10.1002/fsn3.71801,42039766,The Role of Gut Microbiome in Obesity and Weight Management: A Review of Current Evidence and Future Directions.,2026,Food Sci Nutr,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:42180565,literature,PubMed,42180565,https://europepmc.org/article/MED/42180565,10.3389/fnut.2026.1819825,42180565,"Gestational constipation and the gut microbiota: mechanisms, interventions, and implications for maternal and offspring health.",2026,Front Nutr,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:42221399,literature,PubMed,42221399,https://europepmc.org/article/MED/42221399,10.1016/j.aed.2025.11.015,42221399,Harnessing Microbiome Therapy to Treat Metabolic Syndrome.,2026,AACE Endocrinol Diabetes,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:42079325,literature,PubMed,42079325,https://europepmc.org/article/MED/42079325,10.1002/fsn3.71856,42079325,"Dietary Polyphenols in Non-Communicable Chronic Diseases: Neuro-Enteric Mechanisms, Multi-Omics Biomarkers and Translational Opportunities.",2026,Food Sci Nutr,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:41814326,literature,PubMed,41814326,https://europepmc.org/article/MED/41814326,10.1186/s12986-026-01101-8,41814326,Effects of synbiotic supplementation on metabolic profiles in children with obesity: a randomized double-blinded placebo-controlled trial.,2026,Nutr Metab (Lond),needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:42131482,literature,PubMed,42131482,https://europepmc.org/article/MED/42131482,10.3389/fphys.2026.1766078,42131482,Bioactive compounds as therapeutic modulators of metabolic syndrome: targeting inflammation and gut microbiota regulation.,2026,Front Physiol,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:41745391,literature,PubMed,41745391,https://europepmc.org/article/MED/41745391,10.3390/jpm16020099,41745391,Probiotics as Microbiome Modulators in Male Infertility: Rethinking Dysbiosis Across the Gut-Testis Axis.,2026,J Pers Med,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:41228562,literature,PubMed,41228562,https://europepmc.org/article/MED/41228562,10.3390/nu17213491,41228562,"Dietary Interventions in Metabolic Dysfunction-Associated Steatotic Liver Disease: A Narrative Review of Evidence, Mechanisms, and Translational Challenges.",2025,Nutrients,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:41978103,literature,PubMed,41978103,https://europepmc.org/article/MED/41978103,10.3390/nu18071052,41978103,"Diet, the Gut Microbiome, and Estrogen Physiology: A Review in Menopausal Health and Interventions.",2026,Nutrients,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:41683196,literature,PubMed,41683196,https://europepmc.org/article/MED/41683196,10.3390/nu18030372,41683196,"Prebiotics and Gut Health: Mechanisms, Clinical Evidence, and Future Directions.",2026,Nutrients,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:42015346,literature,PubMed,42015346,https://europepmc.org/article/MED/42015346,10.1080/19490976.2026.2644677,42015346,Gut microbiome and metabolic health: mechanisms and precision interventions.,2026,Gut Microbes,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
