evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
EUROPEPMC:42116047,literature,PubMed,42116047,https://europepmc.org/article/MED/42116047,10.1186/s12986-026-01124-1,42116047,"Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNFα, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial.",2026,Nutr Metab (Lond),needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:42212103,literature,PubMed,42212103,https://europepmc.org/article/MED/42212103,10.3389/fped.2026.1773294,42212103,Gut microbiota and pediatric metabolic dysfunction-associated steatotic liver disease: clinical evidence and therapeutic implications.,2026,Front Pediatr,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:41938967,literature,PubMed,41938967,https://europepmc.org/article/MED/41938967,10.3389/fpubh.2026.1767108,41938967,Efficacy of probiotic supplementation for body weight management in overweight and obese adults: a meta-analysis of randomized controlled trials predominantly from East Asia.,2026,Front Public Health,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:41901543,literature,PubMed,41901543,https://europepmc.org/article/MED/41901543,10.3390/medicina62030458,41901543,"Nutritional Status in Obesity: A Comprehensive Narrative Review of Dysbiosis, Micronutrient Deficiencies and the Effects of Probiotics/Synbiotics.",2026,Medicina (Kaunas),needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:42197000,literature,PubMed,42197000,https://europepmc.org/article/MED/42197000,10.3390/nu18101540,42197000,Gut Microbiome Dysbiosis in Metabolic Syndrome: Current Evidence and Emerging Perspectives.,2026,Nutrients,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:42039766,literature,PubMed,42039766,https://europepmc.org/article/MED/42039766,10.1002/fsn3.71801,42039766,The Role of Gut Microbiome in Obesity and Weight Management: A Review of Current Evidence and Future Directions.,2026,Food Sci Nutr,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:41599863,literature,PubMed,41599863,https://europepmc.org/article/MED/41599863,10.3390/nu18020250,41599863,"Efficacy and Safety of CKDB-322, a Combination of <i>Lactiplantibacillus plantarum</i> Q180 and <i>Phaeodactylum tricornutum</i>, for Reducing Body Fat and Abdominal Adiposity in Overweight Adults.",2026,Nutrients,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:42193472,literature,PubMed,42193472,https://europepmc.org/article/MED/42193472,10.3390/biomedicines14051147,42193472,Metabolic Dysfunction-Associated Steatotic Liver Disease: An Update Narrative Review of the Therapeutic Potential of Combining Probiotics and Metformin.,2026,Biomedicines,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:41774188,literature,PubMed,41774188,https://europepmc.org/article/MED/41774188,10.1007/s00018-025-06022-y,41774188,"Microbes, mood, and metabolism/obesity: Pharmacological insights into the gut-obesity-depression triad.",2026,Cell Mol Life Sci,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:41372103,literature,PubMed,41372103,https://europepmc.org/article/MED/41372103,10.1111/obr.70037,41372103,Impacts of Lifestyle and Microbiota-Targeted Interventions for Overweight and Obesity on the Human Gut Microbiome: A Systematic Review.,2026,Obes Rev,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:41133047,literature,PubMed,41133047,https://europepmc.org/article/MED/41133047,10.7759/cureus.92881,41133047,Efficacy of Gut Microbiome-Targeted Therapies in Modulating Systemic Inflammation and Low-Grade Chronic Inflammatory States in Adults With Metabolic Disorders: A Systematic Review.,2025,Cureus,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:42130740,literature,PubMed,42130740,https://europepmc.org/article/MED/42130740,10.3389/fendo.2026.1774824,42130740,Roles of gut metabolites on bone mineralization and remodeling: impact of metabolic dysregulation on the gut-immune-bone axis.,2026,Front Endocrinol (Lausanne),needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:41512635,literature,PubMed,41512635,https://europepmc.org/article/MED/41512635,10.1016/j.clnu.2025.106560,41512635,"Effects of a novel synbiotic intervention on abdominal visceral fat reductions and gut microbiota in overweight and obese adults: A randomized, double-blind, placebo-controlled trial.",2026,Clin Nutr,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:42123927,literature,PubMed,42123927,https://europepmc.org/article/MED/42123927,10.3390/nu18091325,42123927,The Role of Microbiome and Diet on Disease Activity and Immune-Inflammatory Status in Rheumatoid Arthritis.,2026,Nutrients,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:41444876,literature,PubMed,41444876,https://europepmc.org/article/MED/41444876,10.1186/s12887-025-06319-8,41444876,The role of microbiome-modulating supplements in managing metabolic syndrome risk factors among overweight and obese youth: a GRADE-assessed meta-analysis.,2025,BMC Pediatr,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:PMC12938260,literature,publisher supplementary data,PMC12938260,,,,"Lactobacillus helveticus UA881 Improves Body Composition, Lipid Profiles, and Gut Microbiota in Overweight Adults: A Randomized Double-Blind Placebo-Controlled Trial",2026,Biomedicines,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:41852479,literature,PubMed,41852479,https://europepmc.org/article/MED/41852479,10.3389/fendo.2026.1765741,41852479,Multi-strain probiotic reduces gastrointestinal side effects in women with elevated HOMA-IR index treated with metformin: a 12-week randomised controlled trial.,2026,Front Endocrinol (Lausanne),needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:41901128,literature,PubMed,41901128,https://europepmc.org/article/MED/41901128,10.3390/nu18060952,41901128,The Gut Microbiota: An Essential Component in Understanding Pediatric Obesity: A Narrative Review.,2026,Nutrients,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:41717546,literature,PubMed,41717546,https://europepmc.org/article/MED/41717546,10.3389/fendo.2026.1680182,41717546,The effect of combining surgical or endoscopic bariatric interventions with anti-obesity medication or probiotics on weight loss: a narrative review.,2026,Front Endocrinol (Lausanne),needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:41507594,literature,PubMed,41507594,https://europepmc.org/article/MED/41507594,10.1007/s00198-025-07801-w,41507594,"Impact of probiotic, prebiotic, and synbiotic supplementation on the gut microbiome in older adults with sarcopenia, obesity, and sarcopenic obesity.",2026,Osteoporos Int,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:41010468,literature,PubMed,41010468,https://europepmc.org/article/MED/41010468,10.3390/nu17182942,41010468,Targeting the Gut Microbiota in Pediatric Obesity: A Paradigm Shift in Prevention and Treatment? A Comprehensive Review.,2025,Nutrients,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:41814326,literature,PubMed,41814326,https://europepmc.org/article/MED/41814326,10.1186/s12986-026-01101-8,41814326,Effects of synbiotic supplementation on metabolic profiles in children with obesity: a randomized double-blinded placebo-controlled trial.,2026,Nutr Metab (Lond),needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:41295220,literature,PubMed,41295220,https://europepmc.org/article/MED/41295220,10.3390/jpm15110518,41295220,Impact of Reducing Obesity in PCOS: Methods and Treatment Outcomes.,2025,J Pers Med,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:41080326,literature,PubMed,41080326,https://europepmc.org/article/MED/41080326,10.7759/cureus.92020,41080326,Gut Microbiota Modulation in Type 2 Diabetes and Cardiometabolic Risk: A Systematic Review.,2025,Cureus,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:42051455,literature,PubMed,42051455,https://europepmc.org/article/MED/42051455,10.3389/fendo.2026.1747766,42051455,Gut microbiome dysbiosis in PCOS: from pathogenesis to microbiome-targeted therapies.,2026,Front Endocrinol (Lausanne),needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:42077461,literature,PubMed,42077461,https://europepmc.org/article/MED/42077461,10.3389/fendo.2026.1806638,42077461,Faecal microbiota transplantation and glucolipid metabolic disorders: the interventional role of gut microbiota.,2026,Front Endocrinol (Lausanne),needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:41692128,literature,PubMed,41692128,https://europepmc.org/article/MED/41692128,10.1016/j.advnut.2026.100605,41692128,Diet and Exercise Interventions in Pediatric Cancer Survivors and Effects on Cardiometabolic Disease Risk and Inflammaging Biomarkers: A Systematic Review.,2026,Adv Nutr,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:41906418,literature,PubMed,41906418,https://europepmc.org/article/MED/41906418,10.1080/19490976.2026.2647535,41906418,Dysregulated eating behaviour and microbiota-based interventions targeting eating disorders and food addiction.,2026,Gut Microbes,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
EUROPEPMC:42052391,literature,PubMed,42052391,https://europepmc.org/article/MED/42052391,10.3389/fmicb.2026.1791192,42052391,Distinct effects of a dairy probiotic drink and physical exercise on gut microbiota in pediatric acute lymphoblastic leukemia patients in remission: a randomized clinical trial.,2026,Front Microbiol,needs_manual_review,evidence_registry,Auto-collected from Europe PMC; requires manual review.,auto_search_expansion,2026-06-06
