evidence_id,source_database,source_accession,source_url,title,abstract,publication_types,clinical_interventions,enrollment,phase,primary_outcomes,secondary_outcomes,arms,detail_status
PMID:41830022,PubMed,41830022,https://pubmed.ncbi.nlm.nih.gov/41830022/,Green Tea Catechin Plus Inulin Improves Insulin Resistance Without Reducing Visceral Fat and Shows Exploratory Gut Microbiota Signals in Adults with Visceral Obesity: A Double-Blind Randomized Controlled Trial.,"Background: Green tea catechins and inulin may improve metabolic health and modulate the gut microbiota; however, double-blind trials evaluating visceral fat, insulin resistance, and microbiota concurrently are limited. Methods: We conducted a double-blind, parallel-group, randomized, placebo-controlled trial in Japanese adults aged 20-75 years with visceral fat area (VFA) ≥ 80 cm2 and BMI ≥ 23 kg/m2 (trial registration: Japan Registry of Clinical Trials (jRCT), jRCTs021230004 (registered 16 May 2023)). Participants were randomized to a catechin + inulin beverage (catechins 400 mg/day; inulin 2.3 g/day) or placebo for 12 weeks. The primary outcome was the change in VFA (bioelectrical impedance). Secondary outcomes included HOMA-IR, metabolic markers, liver fat assessed by the controlled attenuation parameter (CAP), and genus-level gut microbiota. Results: Ninety-six participants were randomized (catechin + inulin, n = 49; placebo, n = 47); 47 and 44, respectively, were included in the full analysis set for the primary outcome. The 12-week change in VFA did not differ between groups (mean change: +0.91 vs. +4.61 cm2; p = 0.243). HOMA-IR decreased in the catechin + inulin group and increased in the placebo group, yielding a significant between-group difference (mean change: -0.32 vs. +0.18; p = 0.020). No other secondary outcomes showed significant between-group differences. In exploratory microbiota analyses, no genus remained significant after false discovery rate correction; however, Coprococcus and Bifidobacterium showed nominal between-group differences (unadjusted p < 0.05). Changes in Coprococcus were inversely correlated with changes in HOMA-IR (r = -0.28; p = 0.010). Conclusions: Catechin plus inulin for 12 weeks did not reduce visceral fat but was associated with improved insulin resistance. Exploratory analyses suggest a potential association between increased Coprococcus and improved HOMA-IR, warranting further investigation.",Journal Article; Randomized Controlled Trial,,,,,,,ok
EUROPEPMC:41126806,PubMed,41126806,https://europepmc.org/article/MED/41126806,Probiotic pasta consumption improves lipid metabolism and reduces gut permeability in overweight and obese adults: a randomized controlled trial.,"This study investigates the effects of a Shouchella clausii UBBC-07 spore-enriched pasta (ProbP) compared to a conventional pasta (ConP) on metabolic health and gut microbiome composition in overweight and obese individuals. A 4-weeks randomized controlled trial was conducted with 40 participants (17 females and 23 males, aged 35.4 ± 2.0 years, body mass index 27.6 ± 0.4 kg/m2), all habitual pasta consumers. Participants were randomly assigned to replace their habitual pasta with 80 g/day of either ProbP (n = 20) or ConP (n = 20) while maintaining their regular diet. Blood, urine, and fecal samples were collected at baseline and after 4 weeks to assess changes in clinical variables and gut microbiome composition. Consumption of ProbP led to an 11 % increase in serum high-density lipoprotein (HDL) cholesterol and improved gut permeability compared to baseline. Gut microbiome analysis revealed that 50 % of ProbP consumers had increased S. clausii abundance in feces. These ""responders"" (R) exhibited distinct baseline microbiome traits and experienced reductions in body weight (-1 %, p = 0.03) and diastolic blood pressure (-6 %, p = 0.049) compared to Non-responders (NR) to S. clausii colonization. Additionally, R showed a 17 % reduction in the low-density lipoprotein (LDL)-to-HDL ratio (p = 0.02) compared to baseline, correlated with increased fecal levels of Akkermansia muciniphila (p = 0.054) and Harryflintia acetispora, alongside reductions in Ruminococcus torques and Dorea longicatena. In conclusion, ProbP consumption improved blood lipid metabolism, likely through enhanced gut barrier function. The baseline gut microbiome influenced probiotic colonization ability, providing greater health benefits for a subset of participants.",Journal Article,,,,,,,ok
NCT:NCT07073781,ClinicalTrials.gov,NCT07073781,https://clinicaltrials.gov/study/NCT07073781,"Probiotic Impact on Cognitive Performance, and Metabolic Outcomes in Overweight Young Adults With Impaired Glucose Regulation",,,Lab4p Probiotic Consortium; Placebo,70,NA,Verbal Memory Performance,"Visual Episodic Memory; Number of Participants Reporting One or More Adverse Events (AEs) or Serious Adverse Events (SAEs); Visuospatial Working Memory; Executive function (Response Inhibition and Impulse Control); Executive function (Cognitive Flexibility and Attentional Set-Shifting); Processing speed, Psychomotor Response, and Attention; Cerebrovascular Reactivity (CVR); Flow-Mediated Dilation (FMD); Global Sleep Quality; Sleep Latency; Sleep Duration; Sleep Efficiency; Sleep Disturbances; Sleep Medication Use; Daytime dysfunction; Glycated Haemoglobin (HbA1C); Fasting Blood Glucose; Glucose Tolerance (AUC); Systolic blood pressure; Diastolic blood pressure; Total Cholesterol; Low-Density Lipoprotein Cholesterol (LDL-C); High-Density Lipoprotein Cholesterol (HDL-C); Triglycerides; Body Mass Index (BMI); Waist-to-Hip Ratio; Total Lean Mass; Total Fat Mass; Percent Body Fat; Interleukin-6 (IL-6); Tumor Necrosis Factor-Alpha (TNF-α); Gut Microbiota Diversity; Gut Microbiota Community Dispersion; Relative Abundance of Microbial Taxa; Adherence Rate; Physical Discomfort Symptoms; Circulating Markers of Platelet Activity","Group receiving the Lab4P probiotic capsules; Group receiving the identical, non-active placebo",ok
PMID:40375569,PubMed,40375569,https://pubmed.ncbi.nlm.nih.gov/40375569/,"Mental health and health-related quality of life response to curcumin-probiotic drink powder co-supplementation in adults with overweight/obesity and metabolic syndrome: a four-arm randomised, double-blind, placebo-controlled, clinical trial.","Metabolic syndrome (MetS) is associated with deteriorated mental health and health-related quality of life (HRQOL). Curcumin and probiotics improved MetS, mental health and HRQOL. The present study aimed to investigate the effect of curcumin-probiotic (CurPro) co-supplementation in the form of drink powder on mental health and HRQOL in adults with overweight/obesity and MetS. A four-arm, randomised, double-blinded, placebo-controlled clinical trial with factorial design was conducted for adults with overweight/obesity and MetS (n 128). Participants were randomly allocated into four groups to receive one drink powder sachet containing 1 g curcumin, 109 colony-forming unit (CFU) probiotic (Lactobacillus acidophilus and Lactobacillus rhamnosus strains), CurPro (1 g curcumin and 109 CFU probiotic) or placebo along with a low-calorie diet. Participants were assessed for dietary intake, physical activity, mental health and HRQOL before and after the study. After 8 weeks of intervention, 104 participants finished the study. The CurPro intervention reduced stress (P = 0·001) and anxiety (P = 0·019) and improved general health (P = 0·024) and overall HRQOL (P = 0·011) scores of participants in comparison with the Placebo group. Results were NS for depression and HRQOL subdomains such as physical functioning, role limitations due to physical problems, bodily pain, vitality, social functioning and role limitations due to emotional problems. Curcumin-probiotics co-supplementation could improve the mental health and HRQOL of adults with overweight/obesity and MetS. Further investigations in various populations or with different dosages or durations are recommended.",Journal Article; Randomized Controlled Trial,,,,,,,ok
EUROPEPMC:37836532,PubMed,37836532,https://europepmc.org/article/MED/37836532,Effects of Synbiotic Supplementation on Metabolic Syndrome Traits and Gut Microbial Profile among Overweight and Obese Hong Kong Chinese Individuals: A Randomized Trial.,"In view of the limited evidence showing anti-obesity effects of synbiotics via modulation of the gut microbiota in humans, a randomized clinical trial was performed. Assessment of the metabolic syndrome traits and profiling of the fecal gut microbiota using 16S rRNA gene sequencing in overweight and obese Hong Kong Chinese individuals before and after dietary intervention with an 8-week increased consumption of fruits and vegetables and/or synbiotic supplementation was conducted. The selected synbiotic contained two probiotics (Lactobacillus acidophilus NCFM and Bifidobacterium lactis HN019) and a prebiotic (polydextrose). Fifty-five overweight or obese individuals were randomized and divided into a synbiotic group (SG; n = 19), a dietary intervention group (DG; n = 18), and a group receiving combined interventions (DSG; n = 18). DSG showed the greatest weight loss effects and number of significant differences in clinical parameters compared to its baseline values-notably, decreases in fasting glucose, insulin, HOMA-IR, and triglycerides and an increase in HDL-cholesterol. DSG lowered Megamonas abundance, which was positively associated with BMI, body fat mass, and trunk fat mass. The results suggested that increasing dietary fiber consumption from fruits and vegetables combined with synbiotic supplementation is more effective than either approach alone in tackling obesity.",Randomized Controlled Trial; Journal Article,,,,,,,ok
PMID:36634870,PubMed,36634870,https://pubmed.ncbi.nlm.nih.gov/36634870/,"The Effect of Microbiome Therapies on Waist Circumference, a Measure of Central Obesity, in Patients with Type 2 Diabetes: A Systematic Review and Meta-analysis of Randomized Controlled Trials.","Microbiome therapies (probiotic, prebiotic, and synbiotics) have been proposed as adjuvants in the control of central obesity; however, their results for patients with type 2 diabetes (T2D) remain inconclusive.; The aim of this systematic review and meta-analysis was to evaluate the effect of microbiome therapies on central obesity as measured by waist circumference (WC), and to evaluate the effect of microbiome therapies for glycemic parameters (fasting glucose [FPG], fasting insulin [FPI], hemoglobin A1c [HbA1c], and insulin resistance [HOMA1-IR]) in patients with T2D.; SCOPUS, Pubmed, EBSCO, and LILACS databases were searched for studies that investigated the effect of microbiome therapies on WC up to June 1, 2022. Heterogeneity was determined using Cochran's Q test and quantified using the inconsistency index. The random effects model was used to calculate the pooled difference in means (DM) and 95% confidence intervals (95%CI). Egger's test and Beggs-Muzamar's test were used to assess publication bias.; Fifteen reports were included (443 treated and 387 controls). Overall, a significant decrease in WC was found (DM = -0.97 cm; 95% confidence interval [95%CI] = -1.74 to -0.20; P = 0.014); however, when stratified by type of microbiome therapy, only probiotics significantly decreased WC (DM = -0.62 cm; 95%CI = -1.00 to -0.24; P = 0.002). No effect was observed for prebiotics and synbiotics. With respect to glycemic parameters, HbA1c, FPG, and HOMA1-IR significantly decrease with microbiome therapies (P ≤ 0.001). When stratified by the type of therapy, for probiotic treatments, HbA1c, FPG, and HOMA1-IR scores decrease (P < 0.001). For prebiotic treatments, HbA1c and FPG (P ≤ 0.001) levels decrease, whereas FPI increased (P = 0.012). Synbiotic treatments were only associated with an increase in FPI (P = 0.031).; Findings indicate that using probiotics alone improved WC in patients with T2D. Both probiotics and prebiotics decreased HbA1c and FPG; however, prebiotics and synbiotics resulted in an increase in FPI. The formulation of the therapy (single vs multi) had no difference on the effect.","Meta-Analysis; Systematic Review; Journal Article; Research Support, Non-U.S. Gov't",,,,,,,ok
NCT:NCT05623007,ClinicalTrials.gov,NCT05623007,https://clinicaltrials.gov/study/NCT05623007,Dietary Modulation of Gut Microbiota in Overweight/Obese Adolescents and COVID-19 Infection,,,"Probiotics; Counselling on healthy eating, physical activity, and psychosocial stimulation; Placebo probiotics",440,NA,BMI-for-age z-scores (BAZ); Immunoglobulin G (IgG) specific to SARS-COV-2 titer concentrations,α-gut microbiota diversity; β-gut microbiota diversity; Monoclonal antibody affinity against SARS-COV-2; Secretory Immunoglobulin A (sIgA) specific to SARS-COV-2 titer concentrations; Dietary quality,Intervention; Control,ok
PMID:34358838,PubMed,34358838,https://pubmed.ncbi.nlm.nih.gov/34358838/,Effects of probiotics on body adiposity and cardiovascular risk markers in individuals with overweight and obesity: A systematic review and meta-analysis of randomized controlled trials.,"Evidence suggests that gut microbiota is a potential factor in the pathophysiology of both obesity and related metabolic disorders. While individual randomized controlled trials (RCTs) have evaluated the effects of probiotics on adiposity and cardiovascular disease (CVD) risk factors in subjects with overweight and obesity, the results are inconsistent. Thus, this systematic review and meta-analysis aimed to evaluate the effects of probiotic supplementation on body weight, body adiposity and CVD risk markers in overweight and obese subjects.; A systematic search for RCTs published up to December 2020 was conducted in MEDLINE (via PubMed), EMBASE, Scopus and LILACS. Meta-analysis using a random-effects model was chosen to analyze the impact of combined trials.; Twenty-six RCTs (n = 1720) were included. Data pooling showed a significant effect of probiotics in reducing body weight (MD:-0.70 kg; 95%CI:-1.04,-0.35 kg; P < 0.0001), body mass index (BMI) (MD:-0.24 kg/m2; 95%CI:-0.35,-0.12 kg/m2; P = 0.0001), waist circumference (WC) (MD:-1.13 cm; 95%CI:-1.54,-0.73 cm; P < 0.0001), fat mass (MD:-0.71 kg; 95%CI:-1.10,-0.32 kg; P = 0.0004), tumor necrosis factor-α (MD:-0.16 pg/ml; 95%CI:-0.24,-0.08 pg/ml; P = 0.0001), insulin (MD:-0.85mcU/ml; 95%CI:-1.50,-0.21mcU/ml; P = 0.010), total cholesterol (MD:-0.16 mmol/l; 95%CI:-0.26,-0.05 mmol/l; P = 0.003) and LDL (MD:-0.09 mmol/l; 95%CI:-0.16,-0.03 mmol/l; P = 0.006) compared with control groups. There was a significant decrease in body weight, BMI and WC in studies using both single and multi-bacterial species. Decreases in body adiposity parameters were only observed in studies using a probiotic dose of ≥ 1010 CFU and for ≥8 weeks duration.; The present meta-analysis suggests that probiotics consumption may be helpful for improving body weight, body adiposity and some CVD risk markers in individuals with overweight and obesity. The review was registered on PROSPERO (International prospective register of systematic reviews): CRD42020183136.","Journal Article; Meta-Analysis; Research Support, Non-U.S. Gov't; Systematic Review",,,,,,,ok
PMID:27221805,PubMed,27221805,https://pubmed.ncbi.nlm.nih.gov/27221805/,Effect of fragmented Lactobacillus amylovorus CP1563 on lipid metabolism in overweight and mildly obese individuals: a randomized controlled trial.,"Previously, we showed that fragmented Lactobacillus amylovorus CP1563 (CP1563) functions as a dual agonist of peroxisome proliferator-activated receptor α and γ in vitro and in vivo.; Here, we examined the safety and effect of CP1563 ingestion on body fat in obese class I participants in a double-blinded, placebo-controlled, randomized clinical trial (RCT).; In the RCT, 200 participants with a body mass index (BMI) of 25-30 kg/m(2) consumed test beverages with or without 200 mg of CP1563 daily for 12 weeks. In total, 197 subjects completed the study without any adverse effects.; Body fat percentage, whole body fat, and visceral fat were significantly decreased in the test group compared with the placebo group (p<0.001, p<0.001, and p<0.001, respectively). Triglycerides, total cholesterol, LDL-cholesterol, and diastolic blood pressure showed significant reductions in the test group compared with the placebo group (p<0.001, p<0.001, p<0.001, and p<0.001, respectively). Additionally, significant differences in the changes in blood glucose, insulin, homeostasis model assessment-insulin resistance (HOMA-IR), and uric acid were observed between the two groups (p<0.001, p=0.004, p<0.001, and p<0.001, respectively). Improvements in anthropometric measurements and markers were observed in obese class I subjects in the test group.; Daily consumption of beverages containing fragmented CP1563 for 12 weeks by obese class I subjects improved anthropometric measurements and markers related to lipid and glucose metabolism without any adverse effects. These results suggest that the consumption of foods containing fragmented CP1563 reduces body fat and prevents metabolic syndrome.",Journal Article,,,,,,,ok
EUROPEPMC:39792908,PubMed,39792908,https://europepmc.org/article/MED/39792908,"The efficacy of Lacticaseibacillus paracasei MSMC39-1 and Bifidobacterium animalis TA-1 probiotics in modulating gut microbiota and reducing the risk of the characteristics of metabolic syndrome: A randomized, double-blinded, placebo-controlled study.","Modern treatment, a healthy diet, and physical activity routines lower the risk factors for metabolic syndrome; however, this condition is associated with all-cause and cardiovascular mortality worldwide. This investigation involved a randomized controlled trial, double-blind, parallel study. Fifty-eight participants with risk factors of metabolic syndrome according to the inclusion criteria were randomized into two groups and given probiotics (Lacticaseibacillus paracasei MSMC39-1 and Bifidobacterium animalis TA-1) (n = 31) or a placebo (n = 27). The participants had a mean age of 42.29 ± 7.39 and 43.89 ± 7.54 years in the probiotics and placebo groups, respectively. Stool samples, anthropometric data, and blood chemistries were taken at baseline and at 12 weeks. The primary outcome was achieved by the probiotics group as their low-density lipoprotein-cholesterol level dramatically lowered compared to the placebo group (the difference was 39.97 ± 26.83 mg/dl, p-value <0.001). Moreover, significant reductions in body weight, body mass index, waist circumference, systolic blood pressure, and total cholesterol were observed in the volunteers treated with probiotics compared to the placebo. In the gut microbiome analysis, the results showed statistically significant differences in the beta diversity in the post-intervention probiotics group. Blautia, Roseburia, Collinsella, and Ruminococcus were among the gut microbiomes that were more prevalent in the post-intervention probiotics group. In addition, this group exhibited increases in the predicted functional changes in ATP-binding cassette (ABC) transporters, as well as ribonucleic acid transport, the biosynthesis of unsaturated fatty acids, glycerophospholipid metabolism, and pyruvate metabolism. In conclusion, this research demonstrated that the probiotics L. paracasei MSMC39-1 and B. animalis TA-1 have the efficacy to lower risk factors associated with metabolic syndrome.",Journal Article; Randomized Controlled Trial,,,,,,,ok
