evidence_id,source_database,source_accession,doi,pmid,title,year,evidence_type,priority,relevance_score,study_tag,intervention_type_hint,taxa_hint,outcome_hint,needs_manual_review,source_url,queue_rank,queue_reason
PMID:41830022,PubMed,41830022,10.3390/nu18050851,41830022,Green Tea Catechin Plus Inulin Improves Insulin Resistance Without Reducing Visceral Fat and Shows Exploratory Gut Microbiota Signals in Adults with Visceral Obesity: A Double-Blind Randomized Controlled Trial.,2026,literature,high,3,randomized_controlled_trial,,,glucose;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/41830022/,1,priority=high; relevance=3; study_tag=randomized_controlled_trial; outcomes=glucose;microbiome
EUROPEPMC:41126806,PubMed,41126806,10.1016/j.crfs.2025.101215,41126806,Probiotic pasta consumption improves lipid metabolism and reduces gut permeability in overweight and obese adults: a randomized controlled trial.,2025,literature,high,3,randomized_controlled_trial,probiotic,,weight;lipid,true,https://europepmc.org/article/MED/41126806,2,priority=high; relevance=3; study_tag=randomized_controlled_trial; outcomes=weight;lipid
NCT:NCT07073781,ClinicalTrials.gov,NCT07073781,,,"Probiotic Impact on Cognitive Performance, and Metabolic Outcomes in Overweight Young Adults With Impaired Glucose Regulation",2025,clinical_trial,high,3,clinical_trial_registry,probiotic,,weight;glucose,true,https://clinicaltrials.gov/study/NCT07073781,3,priority=high; relevance=3; study_tag=clinical_trial_registry; outcomes=weight;glucose
PMID:40375569,PubMed,40375569,10.1017/S0007114525000923,40375569,"Mental health and health-related quality of life response to curcumin-probiotic drink powder co-supplementation in adults with overweight/obesity and metabolic syndrome: a four-arm randomised, double-blind, placebo-controlled, clinical trial.",2025,literature,high,3,randomized_controlled_trial,probiotic,,weight;glucose,true,https://pubmed.ncbi.nlm.nih.gov/40375569/,4,priority=high; relevance=3; study_tag=randomized_controlled_trial; outcomes=weight;glucose
EUROPEPMC:37836532,PubMed,37836532,10.3390/nu15194248,37836532,Effects of Synbiotic Supplementation on Metabolic Syndrome Traits and Gut Microbial Profile among Overweight and Obese Hong Kong Chinese Individuals: A Randomized Trial.,2023,literature,high,3,randomized_controlled_trial,synbiotic,,weight;glucose,true,https://europepmc.org/article/MED/37836532,5,priority=high; relevance=3; study_tag=randomized_controlled_trial; outcomes=weight;glucose
PMID:36634870,PubMed,36634870,10.1016/j.jand.2023.01.006,36634870,"The Effect of Microbiome Therapies on Waist Circumference, a Measure of Central Obesity, in Patients with Type 2 Diabetes: A Systematic Review and Meta-analysis of Randomized Controlled Trials.",2023,literature,high,3,meta_analysis_or_systematic_review,,,waist;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/36634870/,6,priority=high; relevance=3; study_tag=meta_analysis_or_systematic_review; outcomes=waist;microbiome
NCT:NCT05623007,ClinicalTrials.gov,NCT05623007,,,Dietary Modulation of Gut Microbiota in Overweight/Obese Adolescents and COVID-19 Infection,2022,clinical_trial,high,3,clinical_trial_registry,,,weight;microbiome,true,https://clinicaltrials.gov/study/NCT05623007,7,priority=high; relevance=3; study_tag=clinical_trial_registry; outcomes=weight;microbiome
PMID:34358838,PubMed,34358838,10.1016/j.clnu.2021.06.023,34358838,Effects of probiotics on body adiposity and cardiovascular risk markers in individuals with overweight and obesity: A systematic review and meta-analysis of randomized controlled trials.,2021,literature,high,3,meta_analysis_or_systematic_review,probiotic,,weight,true,https://pubmed.ncbi.nlm.nih.gov/34358838/,8,priority=high; relevance=3; study_tag=meta_analysis_or_systematic_review; outcomes=weight
PMID:27221805,PubMed,27221805,10.3402/mehd.v27.30312,27221805,Effect of fragmented Lactobacillus amylovorus CP1563 on lipid metabolism in overweight and mildly obese individuals: a randomized controlled trial.,2016,literature,high,3,randomized_controlled_trial,,Lactobacillus,weight;lipid,true,https://pubmed.ncbi.nlm.nih.gov/27221805/,9,priority=high; relevance=3; study_tag=randomized_controlled_trial; taxa=Lactobacillus; outcomes=weight;lipid
EUROPEPMC:39792908,PubMed,39792908,10.1371/journal.pone.0317202,39792908,"The efficacy of Lacticaseibacillus paracasei MSMC39-1 and Bifidobacterium animalis TA-1 probiotics in modulating gut microbiota and reducing the risk of the characteristics of metabolic syndrome: A randomized, double-blinded, placebo-controlled study.",2025,literature,high,2,randomized_controlled_trial,probiotic,Lacticaseibacillus;Bifidobacterium,glucose;microbiome,true,https://europepmc.org/article/MED/39792908,10,priority=high; relevance=2; study_tag=randomized_controlled_trial; taxa=Lacticaseibacillus;Bifidobacterium; outcomes=glucose;microbiome
