evidence_id,source_database,source_accession,doi,pmid,title,year,evidence_type,priority,relevance_score,study_tag,intervention_type_hint,taxa_hint,outcome_hint,needs_manual_review,source_url,queue_rank,queue_reason
EUROPEPMC:PMC12938260,publisher supplementary data,PMC12938260,,,"Lactobacillus helveticus UA881 Improves Body Composition, Lipid Profiles, and Gut Microbiota in Overweight Adults: A Randomized Double-Blind Placebo-Controlled Trial",2026,literature,high,5,randomized_controlled_trial,,Lactobacillus,weight;body_composition;lipid;microbiome,true,,1,priority=high; relevance=5; study_tag=randomized_controlled_trial; taxa=Lactobacillus; outcomes=weight;body_composition;lipid;microbiome
EUROPEPMC:41163054,PubMed,41163054,10.1186/s13063-025-09180-3,41163054,"The effects of a newly developed beverage powder supplement on anthropometric measures, body composition, metabolic syndrome components, and appetite in obese or overweight adults: a protocol for a randomized clinical trial study.",2025,literature,high,4,randomized_controlled_trial,,,weight;body_composition;glucose,true,https://europepmc.org/article/MED/41163054,2,priority=high; relevance=4; study_tag=randomized_controlled_trial; outcomes=weight;body_composition;glucose
NCT:NCT02125955,ClinicalTrials.gov,NCT02125955,,,"Effect of Prebiotic Intake on Adiposity, Satiety and Gut Microbiota in Overweight and Obese Children",2014,clinical_trial,high,4,clinical_trial_registry,prebiotic,,weight;microbiome,true,https://clinicaltrials.gov/study/NCT02125955,3,priority=high; relevance=4; study_tag=clinical_trial_registry; outcomes=weight;microbiome
NCT:NCT02151825,ClinicalTrials.gov,NCT02151825,,,Effect of a Synbiotic on the Gut Microbiota and Adiposity-related Markers in Healthy Overweight Subjects,2011,clinical_trial,high,4,clinical_trial_registry,synbiotic,,weight;microbiome,true,https://clinicaltrials.gov/study/NCT02151825,4,priority=high; relevance=4; study_tag=clinical_trial_registry; outcomes=weight;microbiome
EUROPEPMC:41512635,PubMed,41512635,10.1016/j.clnu.2025.106560,41512635,"Effects of a novel synbiotic intervention on abdominal visceral fat reductions and gut microbiota in overweight and obese adults: A randomized, double-blind, placebo-controlled trial.",2026,literature,high,3,randomized_controlled_trial,synbiotic,,weight;microbiome,true,https://europepmc.org/article/MED/41512635,5,priority=high; relevance=3; study_tag=randomized_controlled_trial; outcomes=weight;microbiome
EUROPEPMC:42116047,PubMed,42116047,10.1186/s12986-026-01124-1,42116047,"Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNFα, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial.",2026,literature,high,3,randomized_controlled_trial,probiotic,Bifidobacterium,glucose;microbiome,true,https://europepmc.org/article/MED/42116047,6,priority=high; relevance=3; study_tag=randomized_controlled_trial; taxa=Bifidobacterium; outcomes=glucose;microbiome
PMID:40598275,PubMed,40598275,10.1186/s12916-025-04189-6,40598275,"Differential effects of inulin and fructooligosaccharides on gut microbiota composition and glycemic metabolism in overweight/obese and healthy individuals: a randomized, double-blind clinical trial.",2025,literature,high,3,randomized_controlled_trial,,,weight;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/40598275/,7,priority=high; relevance=3; study_tag=randomized_controlled_trial; outcomes=weight;microbiome
PMID:41321998,PubMed,41321998,10.1016/j.csbj.2025.11.021,41321998,Gut microbiome enterotypes and temporal variations during a six-month inulin-supplemented weight loss randomized controlled trial in Thai children with obesity.,2025,literature,high,3,randomized_controlled_trial,,,weight;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/41321998/,8,priority=high; relevance=3; study_tag=randomized_controlled_trial; outcomes=weight;microbiome
PMID:37580231,PubMed,37580231,10.1016/j.numecd.2023.07.030,37580231,"No effect of multi-strain probiotic supplementation on metabolic and inflammatory markers and newborn body composition in pregnant women with obesity: Results from a randomized, double-blind placebo-controlled study.",2023,literature,high,3,randomized_controlled_trial,probiotic,,body_composition;glucose,true,https://pubmed.ncbi.nlm.nih.gov/37580231/,9,priority=high; relevance=3; study_tag=randomized_controlled_trial; outcomes=body_composition;glucose
NCT:NCT04642482,ClinicalTrials.gov,NCT04642482,,,Synbiotic Therapy on Intestinal Microbiota and Insulin Resistance in Obesity,2019,clinical_trial,high,3,clinical_trial_registry,synbiotic,,glucose;microbiome,true,https://clinicaltrials.gov/study/NCT04642482,10,priority=high; relevance=3; study_tag=clinical_trial_registry; outcomes=glucose;microbiome
PMID:30525950,PubMed,30525950,10.3920/BM2018.0028,30525950,Probiotic or synbiotic alters the gut microbiota and metabolism in a randomised controlled trial of weight management in overweight adults.,2019,literature,high,3,randomized_controlled_trial,probiotic;synbiotic,,weight;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/30525950/,11,priority=high; relevance=3; study_tag=randomized_controlled_trial; outcomes=weight;microbiome
NCT:NCT05423015,ClinicalTrials.gov,NCT05423015,,,Assessment of the Effects of Synbiotic on Gut Microbiota Composition in Scholars With Overweight,2017,clinical_trial,high,3,clinical_trial_registry,synbiotic,,weight;microbiome,true,https://clinicaltrials.gov/study/NCT05423015,12,priority=high; relevance=3; study_tag=clinical_trial_registry; outcomes=weight;microbiome
NCT:NCT02217579,ClinicalTrials.gov,NCT02217579,,,Effect of Protein and Prebiotic Fiber Intake on Adiposity in Overweight and Obese Adults,2013,clinical_trial,high,3,clinical_trial_registry,prebiotic,,weight,true,https://clinicaltrials.gov/study/NCT02217579,13,priority=high; relevance=3; study_tag=clinical_trial_registry; outcomes=weight
NCT:NCT01433120,ClinicalTrials.gov,NCT01433120,,,Targeting the Gut Microbiome to Investigate the Pathways of Progression From Obesity to Metabolic Diseases in an At-risk Population.,2011,clinical_trial,high,3,clinical_trial_registry,,,glucose;microbiome,true,https://clinicaltrials.gov/study/NCT01433120,14,priority=high; relevance=3; study_tag=clinical_trial_registry; outcomes=glucose;microbiome
EUROPEPMC:41494682,PubMed,41494682,10.7570/jomes25045,41494682,The Effects of Probiotic Yogurt and Resistance Training on Body Composition and Metabolic Parameters in Post-bariatric Surgery Patients: A Randomized Controlled Trial.,2026,literature,high,2,randomized_controlled_trial,probiotic,,body_composition;glucose,true,https://europepmc.org/article/MED/41494682,15,priority=high; relevance=2; study_tag=randomized_controlled_trial; outcomes=body_composition;glucose
