evidence_id,source_database,source_accession,doi,pmid,title,year,evidence_type,priority,relevance_score,study_tag,intervention_type_hint,taxa_hint,outcome_hint,needs_manual_review,source_url,queue_rank,queue_reason
EUROPEPMC:PMC12938260,publisher supplementary data,PMC12938260,,,"Lactobacillus helveticus UA881 Improves Body Composition, Lipid Profiles, and Gut Microbiota in Overweight Adults: A Randomized Double-Blind Placebo-Controlled Trial",2026,literature,high,5,randomized_controlled_trial,,Lactobacillus,weight;body_composition;lipid;microbiome,true,,1,priority=high; relevance=5; study_tag=randomized_controlled_trial; taxa=Lactobacillus; outcomes=weight;body_composition;lipid;microbiome
EUROPEPMC:41163054,PubMed,41163054,10.1186/s13063-025-09180-3,41163054,"The effects of a newly developed beverage powder supplement on anthropometric measures, body composition, metabolic syndrome components, and appetite in obese or overweight adults: a protocol for a randomized clinical trial study.",2025,literature,high,4,randomized_controlled_trial,,,weight;body_composition;glucose,true,https://europepmc.org/article/MED/41163054,2,priority=high; relevance=4; study_tag=randomized_controlled_trial; outcomes=weight;body_composition;glucose
PMID:40409234,PubMed,40409234,10.1016/j.clnu.2025.05.005,40409234,Effects of multi-strain probiotics supplementation on body adiposity and metabolic profile in individuals with hypertension and overweight following an energy-restricted diet: A randomized clinical trial.,2025,literature,high,4,randomized_controlled_trial,probiotic,,weight;glucose,true,https://pubmed.ncbi.nlm.nih.gov/40409234/,3,priority=high; relevance=4; study_tag=randomized_controlled_trial; outcomes=weight;glucose
PMID:37111082,PubMed,37111082,10.3390/nu15081863,37111082,"Effect of a Multispecies Synbiotic Supplementation on Body Composition, Antioxidant Status, and Gut Microbiomes in Overweight and Obese Subjects: A Randomized, Double-Blind, Placebo-Controlled Study.",2023,literature,high,4,randomized_controlled_trial,synbiotic,,weight;body_composition;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/37111082/,4,priority=high; relevance=4; study_tag=randomized_controlled_trial; outcomes=weight;body_composition;microbiome
PMID:37447365,PubMed,37447365,10.3390/nu15133039,37447365,"Effect of a Probiotic and a Synbiotic on Body Fat Mass, Body Weight and Traits of Metabolic Syndrome in Individuals with Abdominal Overweight: A Human, Double-Blind, Randomised, Controlled Clinical Study.",2023,literature,high,4,randomized_controlled_trial,probiotic;synbiotic,,weight;body_composition;glucose,true,https://pubmed.ncbi.nlm.nih.gov/37447365/,5,priority=high; relevance=4; study_tag=randomized_controlled_trial; outcomes=weight;body_composition;glucose
NCT:NCT02125955,ClinicalTrials.gov,NCT02125955,,,"Effect of Prebiotic Intake on Adiposity, Satiety and Gut Microbiota in Overweight and Obese Children",2014,clinical_trial,high,4,clinical_trial_registry,prebiotic,,weight;microbiome,true,https://clinicaltrials.gov/study/NCT02125955,6,priority=high; relevance=4; study_tag=clinical_trial_registry; outcomes=weight;microbiome
NCT:NCT02151825,ClinicalTrials.gov,NCT02151825,,,Effect of a Synbiotic on the Gut Microbiota and Adiposity-related Markers in Healthy Overweight Subjects,2011,clinical_trial,high,4,clinical_trial_registry,synbiotic,,weight;microbiome,true,https://clinicaltrials.gov/study/NCT02151825,7,priority=high; relevance=4; study_tag=clinical_trial_registry; outcomes=weight;microbiome
EUROPEPMC:41512635,PubMed,41512635,10.1016/j.clnu.2025.106560,41512635,"Effects of a novel synbiotic intervention on abdominal visceral fat reductions and gut microbiota in overweight and obese adults: A randomized, double-blind, placebo-controlled trial.",2026,literature,high,3,randomized_controlled_trial,synbiotic,,weight;microbiome,true,https://europepmc.org/article/MED/41512635,8,priority=high; relevance=3; study_tag=randomized_controlled_trial; outcomes=weight;microbiome
EUROPEPMC:42116047,PubMed,42116047,10.1186/s12986-026-01124-1,42116047,"Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNFα, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial.",2026,literature,high,3,randomized_controlled_trial,probiotic,Bifidobacterium,glucose;microbiome,true,https://europepmc.org/article/MED/42116047,9,priority=high; relevance=3; study_tag=randomized_controlled_trial; taxa=Bifidobacterium; outcomes=glucose;microbiome
PMID:40385498,PubMed,40385498,10.1007/s40200-025-01632-6,40385498,"Effects of multi-strain synbiotic supplementation on liver enzymes, insulin resistance, anthropometric, and inflammatory indices in overweight and obese adults with fatty liver and diabetes: a randomized controlled trial.",2025,literature,high,3,randomized_controlled_trial,synbiotic,,weight;glucose,true,https://pubmed.ncbi.nlm.nih.gov/40385498/,10,priority=high; relevance=3; study_tag=randomized_controlled_trial; outcomes=weight;glucose
PMID:40416368,PubMed,40416368,10.3389/fnut.2025.1542145,40416368,"Effect of Bacillus coagulans BC99 supplementation on body weight and gut microbiota in overweight and obese individual: a randomized, double-blind, placebo-controlled study.",2025,literature,high,3,randomized_controlled_trial,,Bacillus,weight;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/40416368/,11,priority=high; relevance=3; study_tag=randomized_controlled_trial; taxa=Bacillus; outcomes=weight;microbiome
PMID:40598275,PubMed,40598275,10.1186/s12916-025-04189-6,40598275,"Differential effects of inulin and fructooligosaccharides on gut microbiota composition and glycemic metabolism in overweight/obese and healthy individuals: a randomized, double-blind clinical trial.",2025,literature,high,3,randomized_controlled_trial,,,weight;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/40598275/,12,priority=high; relevance=3; study_tag=randomized_controlled_trial; outcomes=weight;microbiome
PMID:41321998,PubMed,41321998,10.1016/j.csbj.2025.11.021,41321998,Gut microbiome enterotypes and temporal variations during a six-month inulin-supplemented weight loss randomized controlled trial in Thai children with obesity.,2025,literature,high,3,randomized_controlled_trial,,,weight;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/41321998/,13,priority=high; relevance=3; study_tag=randomized_controlled_trial; outcomes=weight;microbiome
PMID:38542727,PubMed,38542727,10.3390/nu16060815,38542727,Effects of Bifidobacterium longum BB536 and Bifidobacterium breve MCC1274 on Body Composition in Normal and Overweight Adults in Randomized Placebo-Controlled Study.,2024,literature,high,3,randomized_controlled_trial,,Bifidobacterium,weight;body_composition,true,https://pubmed.ncbi.nlm.nih.gov/38542727/,14,priority=high; relevance=3; study_tag=randomized_controlled_trial; taxa=Bifidobacterium; outcomes=weight;body_composition
