evidence_id,source_database,source_accession,doi,pmid,title,year,evidence_type,priority,relevance_score,study_tag,intervention_type_hint,taxa_hint,outcome_hint,needs_manual_review,source_url
PMID:37111082,PubMed,37111082,10.3390/nu15081863,37111082.0,"Effect of a Multispecies Synbiotic Supplementation on Body Composition, Antioxidant Status, and Gut Microbiomes in Overweight and Obese Subjects: A Randomized, Double-Blind, Placebo-Controlled Study.",2023,literature,high,4,randomized_controlled_trial,synbiotic,,weight;body_composition;microbiome,True,https://pubmed.ncbi.nlm.nih.gov/37111082/
PMID:41163054,PubMed,41163054,10.1186/s13063-025-09180-3,41163054.0,"The effects of a newly developed beverage powder supplement on anthropometric measures, body composition, metabolic syndrome components, and appetite in obese or overweight adults: a protocol for a randomized clinical trial study.",2025,literature,high,4,randomized_controlled_trial,,,weight;body_composition;glucose,True,https://pubmed.ncbi.nlm.nih.gov/41163054/
NCT:NCT02151825,ClinicalTrials.gov,NCT02151825,,,Effect of a Synbiotic on the Gut Microbiota and Adiposity-related Markers in Healthy Overweight Subjects,2011,clinical_trial,high,4,clinical_trial_registry,synbiotic,,weight;microbiome,True,https://clinicaltrials.gov/study/NCT02151825
NCT:NCT02125955,ClinicalTrials.gov,NCT02125955,,,"Effect of Prebiotic Intake on Adiposity, Satiety and Gut Microbiota in Overweight and Obese Children",2014,clinical_trial,high,4,clinical_trial_registry,prebiotic,,weight;microbiome,True,https://clinicaltrials.gov/study/NCT02125955
PMID:40409234,PubMed,40409234,10.1016/j.clnu.2025.05.005,40409234.0,Effects of multi-strain probiotics supplementation on body adiposity and metabolic profile in individuals with hypertension and overweight following an energy-restricted diet: A randomized clinical trial.,2025,literature,high,4,randomized_controlled_trial,probiotic,,weight;glucose,True,https://pubmed.ncbi.nlm.nih.gov/40409234/
EUROPEPMC:42065141,PubMed,42065141,10.1177/1096620x261448041,42065141.0,"Effects of <i>Lactiplantibacillus Plantarum</i> KABP051 Probiotic on Body Composition, Microbiome and Mood in Healthy Overweight Adults.",2026,literature,medium,4,needs_manual_classification,probiotic,Lactiplantibacillus,weight;body_composition;microbiome,True,https://europepmc.org/article/MED/42065141
PMID:33763720,PubMed,33763720,10.1007/s00394-021-02538-8,33763720.0,"Mediterranean diet consumption affects the endocannabinoid system in overweight and obese subjects: possible links with gut microbiome, insulin resistance and inflammation.",2021,literature,medium,4,needs_manual_classification,,,weight;glucose;microbiome,True,https://pubmed.ncbi.nlm.nih.gov/33763720/
PMID:36879442,PubMed,36879442,10.1093/jas/skad073,36879442.0,"Effects of weight loss and feeding specially formulated diets on the body composition, blood metabolite profiles, voluntary physical activity, and fecal metabolites and microbiota of obese dogs.",2023,literature,medium,4,needs_manual_classification,,,weight;body_composition;microbiome,True,https://pubmed.ncbi.nlm.nih.gov/36879442/
PMID:37181156,PubMed,37181156,10.3389/fnut.2023.1108088,37181156.0,Supplementation with inulin-type fructans affects gut microbiota and attenuates some of the cardiometabolic benefits of a plant-based diet in individuals with overweight or obesity.,2023,literature,medium,4,needs_manual_classification,,,weight;glucose;microbiome,True,https://pubmed.ncbi.nlm.nih.gov/37181156/
PMID:40827948,PubMed,40827948,10.1530/EC-25-0219,40827948.0,Long-term efficacy of dapagliflozin combined with Bifidobacterium triple viable tablets on metabolic syndrome and gut microbiota in overweight/obese patients with type 2 diabetes.,2025,literature,medium,4,needs_manual_classification,,Bifidobacterium,weight;glucose;microbiome,True,https://pubmed.ncbi.nlm.nih.gov/40827948/
PMID:41586244,PubMed,41586244,10.3389/fnut.2025.1714444,41586244.0,"The effects of a very low-energy ketogenic therapy on body composition, gut microbiota and metabolites in overweight subjects.",2025,literature,medium,4,needs_manual_classification,,,weight;body_composition;microbiome,True,https://pubmed.ncbi.nlm.nih.gov/41586244/
EUROPEPMC:41444876,PubMed,41444876,10.1186/s12887-025-06319-8,41444876.0,The role of microbiome-modulating supplements in managing metabolic syndrome risk factors among overweight and obese youth: a GRADE-assessed meta-analysis.,2025,literature,medium,4,meta_analysis_or_systematic_review,,,weight;glucose;microbiome,True,https://europepmc.org/article/MED/41444876
PMID:41930918,PubMed,41930918,10.2174/0115665240391524251201102455,41930918.0,Gut Microbiota and Metabolic Profiles Reveal the Mechanism of Weight Loss in Patients with Obesity Stimulated By Acupuncture.,2026,literature,medium,4,needs_manual_classification,,,weight;glucose;microbiome,True,https://pubmed.ncbi.nlm.nih.gov/41930918/
PMID:31952249,PubMed,31952249,10.3390/nu12010222,31952249.0,"Effects of Synbiotic Supplement on Human Gut Microbiota, Body Composition and Weight Loss in Obesity.",2020,literature,medium,4,needs_manual_classification,synbiotic,,weight;body_composition;microbiome,True,https://pubmed.ncbi.nlm.nih.gov/31952249/
PMID:37447365,PubMed,37447365,10.3390/nu15133039,37447365.0,"Effect of a Probiotic and a Synbiotic on Body Fat Mass, Body Weight and Traits of Metabolic Syndrome in Individuals with Abdominal Overweight: A Human, Double-Blind, Randomised, Controlled Clinical Study.",2023,literature,high,4,randomized_controlled_trial,probiotic;synbiotic,,weight;body_composition;glucose,True,https://pubmed.ncbi.nlm.nih.gov/37447365/
PMID:27810310,PubMed,27810310,10.1016/j.ebiom.2016.10.036,27810310.0,"Probiotic With or Without Fiber Controls Body Fat Mass, Associated With Serum Zonulin, in Overweight and Obese Adults-Randomized Controlled Trial.",2016,literature,high,3,randomized_controlled_trial,probiotic,,weight;body_composition,True,https://pubmed.ncbi.nlm.nih.gov/27810310/
