evidence_id,source_database,source_accession,doi,pmid,title,year,evidence_type,priority,relevance_score,study_tag,intervention_type_hint,taxa_hint,outcome_hint,needs_manual_review,source_url
EUROPEPMC:PMC12938260,publisher supplementary data,PMC12938260,,,"Lactobacillus helveticus UA881 Improves Body Composition, Lipid Profiles, and Gut Microbiota in Overweight Adults: A Randomized Double-Blind Placebo-Controlled Trial",2026,literature,high,5,randomized_controlled_trial,,Lactobacillus,weight;body_composition;lipid;microbiome,true,
PMID:40077569,PubMed,40077569,10.3390/foods14050866,40077569,"Effects of Liupao Tea with Different Years of Aging on Glycolipid Metabolism, Body Composition, and Gut Microbiota in Adults with Obesity or Overweight: A Randomized, Double-Blind Study.",2025,literature,high,5,randomized_controlled_trial,,,weight;body_composition;lipid;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/40077569/
EUROPEPMC:41163054,PubMed,41163054,10.1186/s13063-025-09180-3,41163054,"The effects of a newly developed beverage powder supplement on anthropometric measures, body composition, metabolic syndrome components, and appetite in obese or overweight adults: a protocol for a randomized clinical trial study.",2025,literature,high,4,randomized_controlled_trial,,,weight;body_composition;glucose,true,https://europepmc.org/article/MED/41163054
EUROPEPMC:40409234,PubMed,40409234,10.1016/j.clnu.2025.05.005,40409234,Effects of multi-strain probiotics supplementation on body adiposity and metabolic profile in individuals with hypertension and overweight following an energy-restricted diet: A randomized clinical trial.,2025,literature,high,4,randomized_controlled_trial,probiotic,,weight;glucose,true,https://europepmc.org/article/MED/40409234
PMID:41479657,PubMed,41479657,10.3389/fnut.2025.1718169,41479657,"Targeting gut microbiota with short-chain fructo-oligosaccharides prebiotic fibers to support metabolic health in overweight prediabetic adults: a randomized, double-blinded, placebo-controlled study.",2025,literature,high,4,randomized_controlled_trial,prebiotic,,weight;glucose;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/41479657/
PMID:39802638,PubMed,39802638,10.1002/mco2.70044,39802638,"Comparison of diet and exercise on cardiometabolic factors in young adults with overweight/obesity: multiomics analysis and gut microbiota prediction, a randomized controlled trial.",2025,literature,high,4,randomized_controlled_trial,,,weight;glucose;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/39802638/
PMID:39410163,PubMed,39410163,10.3390/foods13193128,39410163,"Effects of a Sorghum Beverage with Lacticaseibacillus paracasei on Body Composition, Lipid Profiles, and Intestinal Health in Overweight and Obese Adults: A Randomized Single-Blind Pilot Study.",2024,literature,high,4,randomized_controlled_trial,,Lacticaseibacillus,weight;body_composition;lipid,true,https://pubmed.ncbi.nlm.nih.gov/39410163/
PMID:37252684,PubMed,37252684,10.1017/jns.2023.41,37252684,"Effect of green-lipped mussel (Perna canaliculus) supplementation on faecal microbiota, body composition and iron status markers in overweight and obese postmenopausal women: a randomised, double-blind, placebo-controlled trial.",2023,literature,high,4,randomized_controlled_trial,,,weight;body_composition;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/37252684/
PMID:37111082,PubMed,37111082,10.3390/nu15081863,37111082,"Effect of a Multispecies Synbiotic Supplementation on Body Composition, Antioxidant Status, and Gut Microbiomes in Overweight and Obese Subjects: A Randomized, Double-Blind, Placebo-Controlled Study.",2023,literature,high,4,randomized_controlled_trial,synbiotic,,weight;body_composition;microbiome,true,https://pubmed.ncbi.nlm.nih.gov/37111082/
PMID:37447365,PubMed,37447365,10.3390/nu15133039,37447365,"Effect of a Probiotic and a Synbiotic on Body Fat Mass, Body Weight and Traits of Metabolic Syndrome in Individuals with Abdominal Overweight: A Human, Double-Blind, Randomised, Controlled Clinical Study.",2023,literature,high,4,randomized_controlled_trial,probiotic;synbiotic,,weight;body_composition;glucose,true,https://pubmed.ncbi.nlm.nih.gov/37447365/
NCT:NCT02125955,ClinicalTrials.gov,NCT02125955,,,"Effect of Prebiotic Intake on Adiposity, Satiety and Gut Microbiota in Overweight and Obese Children",2014,clinical_trial,high,4,clinical_trial_registry,prebiotic,,weight;microbiome,true,https://clinicaltrials.gov/study/NCT02125955
NCT:NCT02151825,ClinicalTrials.gov,NCT02151825,,,Effect of a Synbiotic on the Gut Microbiota and Adiposity-related Markers in Healthy Overweight Subjects,2011,clinical_trial,high,4,clinical_trial_registry,synbiotic,,weight;microbiome,true,https://clinicaltrials.gov/study/NCT02151825
EUROPEPMC:41512635,PubMed,41512635,10.1016/j.clnu.2025.106560,41512635,"Effects of a novel synbiotic intervention on abdominal visceral fat reductions and gut microbiota in overweight and obese adults: A randomized, double-blind, placebo-controlled trial.",2026,literature,high,3,randomized_controlled_trial,synbiotic,,weight;microbiome,true,https://europepmc.org/article/MED/41512635
