evidence_id,source_database,source_accession,title,sample_size_hint,duration_hint,cfu_hint,dose_hint,bmi_hint,p_value_hint,intervention_hint,primary_outcome_hint,body_weight_effect_hint,bmi_effect_hint,waist_effect_hint,body_fat_effect_hint,glucose_effect_hint,lipid_effect_hint,microbiome_effect_hint,manual_extraction_note
EUROPEPMC:PMC12938260,publisher supplementary data,PMC12938260,"Lactobacillus helveticus UA881 Improves Body Composition, Lipid Profiles, and Gut Microbiota in Overweight Adults: A Randomized Double-Blind Placebo-Controlled Trial",,,,,,,,,"Lactobacillus helveticus UA881 Improves Body Composition, Lipid Profiles, and Gut Microbiota in Overweight Adults: A Randomized Double-Blind Placebo-Controlled Trial     ",,,,,"Lactobacillus helveticus UA881 Improves Body Composition, Lipid Profiles, and Gut Microbiota in Overweight Adults: A Randomized Double-Blind Placebo-Controlled Trial     ","Lactobacillus helveticus UA881 Improves Body Composition, Lipid Profiles, and Gut Microbiota in Overweight Adults: A Randomized Double-Blind Placebo-Controlled Trial     ",Review source text before entering numeric values into final tables.
EUROPEPMC:41163054,PubMed,41163054,"The effects of a newly developed beverage powder supplement on anthropometric measures, body composition, metabolic syndrome components, and appetite in obese or overweight adults: a protocol for a randomized clinical trial study.",,8 weeks,,2 g,,,,,Overweight and obesity result from excessive fat accumulation and pose significant global health challenges linked to various diseases.,"Evaluations of anthropometry (body mass index, waist and hip circumference), body composition (fat mass, fat-free mass, total body water, etc.), appetite using a visual analogue scale, blood pressure, and biochemical parameters including fasting blood glucose (FBS), total cholesterol (TC), triglycerides (TG), low- and high-density lipoprotein (LDL and HDL) will be conducted.; The results of this study will provide evidence for the synergistic effects of Akkermansia muciniphila combined with preb","Evaluations of anthropometry (body mass index, waist and hip circumference), body composition (fat mass, fat-free mass, total body water, etc.), appetite using a visual analogue scale, blood pressure, and biochemical parameters including fasting blood glucose (FBS), total cholesterol (TC), triglycerides (TG), low- and high-density lipoprotein (LDL and HDL) will be conducted.; The results of this study will provide evidence for the synergistic effects of Akkermansia muciniphila combined with preb","Evaluations of anthropometry (body mass index, waist and hip circumference), body composition (fat mass, fat-free mass, total body water, etc.), appetite using a visual analogue scale, blood pressure, and biochemical parameters including fasting blood glucose (FBS), total cholesterol (TC), triglycerides (TG), low- and high-density lipoprotein (LDL and HDL) will be conducted.; The results of this study will provide evidence for the synergistic effects of Akkermansia muciniphila combined with preb","Evaluations of anthropometry (body mass index, waist and hip circumference), body composition (fat mass, fat-free mass, total body water, etc.), appetite using a visual analogue scale, blood pressure, and biochemical parameters including fasting blood glucose (FBS), total cholesterol (TC), triglycerides (TG), low- and high-density lipoprotein (LDL and HDL) will be conducted.; The results of this study will provide evidence for the synergistic effects of Akkermansia muciniphila combined with preb","Evaluations of anthropometry (body mass index, waist and hip circumference), body composition (fat mass, fat-free mass, total body water, etc.), appetite using a visual analogue scale, blood pressure, and biochemical parameters including fasting blood glucose (FBS), total cholesterol (TC), triglycerides (TG), low- and high-density lipoprotein (LDL and HDL) will be conducted.; The results of this study will provide evidence for the synergistic effects of Akkermansia muciniphila combined with preb",,Review source text before entering numeric values into final tables.
NCT:NCT02125955,ClinicalTrials.gov,NCT02125955,"Effect of Prebiotic Intake on Adiposity, Satiety and Gut Microbiota in Overweight and Obese Children",42,,,,,,Prebiotic fiber; Placebo,Body fat,,,,,,,,Review source text before entering numeric values into final tables.
NCT:NCT02151825,ClinicalTrials.gov,NCT02151825,Effect of a Synbiotic on the Gut Microbiota and Adiposity-related Markers in Healthy Overweight Subjects,54,,,,,,Synbiotic; Placebo,Changes to the gut microbiota,,,,,,,,Review source text before entering numeric values into final tables.
EUROPEPMC:41512635,PubMed,41512635,"Effects of a novel synbiotic intervention on abdominal visceral fat reductions and gut microbiota in overweight and obese adults: A randomized, double-blind, placebo-controlled trial.",112 participants,12-week; 6-week,,,BMI: 24.0-34.9; BMI <28,p = 0.048; p = 0.051; p = 0.003; p = 0.027; p = 0.077,,,"Effects of a novel synbiotic intervention on abdominal visceral fat reductions and gut microbiota in overweight and obese adults: A randomized, double-blind, placebo-controlled trial.","We hypothesized that this intervention would improve metabolic health parameters, particularly visceral adiposity.; In a 12-week, double-blind, randomized, placebo-controlled, parallel-group trial with a 6-week post-intervention follow-up, 112 participants (BMI: 24.0-34.9 kg/m2) received daily synbiotic or a matched placebo.","Although no significant changes occurred in blood biochemistry, BMI, or waist circumference, the synbiotic group showed a trend toward greater total body fat reduction between weeks 12-18 (p = 0.077).","Effects of a novel synbiotic intervention on abdominal visceral fat reductions and gut microbiota in overweight and obese adults: A randomized, double-blind, placebo-controlled trial.",,,"Effects of a novel synbiotic intervention on abdominal visceral fat reductions and gut microbiota in overweight and obese adults: A randomized, double-blind, placebo-controlled trial.",Review source text before entering numeric values into final tables.
EUROPEPMC:42116047,PubMed,42116047,"Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNFα, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial.",60 adults; 30 participants; 58 participants; 29 individuals,8 weeks; 8-week,,,,,,,,"bifidum BGN4 did not result in significant changes in BMI, body fat percentage, or the primary outcome, hs-CRP.",,"bifidum BGN4 did not result in significant changes in BMI, body fat percentage, or the primary outcome, hs-CRP.","Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNFα, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial.",,"Probiotic Bifidobacterium bifidum BGN4 supplementation modulates gut microbiome composition and reduces circulating zonulin, TNFα, and insulin in adults with excess adiposity: a randomized, double-blind, placebo-controlled trial.",Review source text before entering numeric values into final tables.
PMID:40598275,PubMed,40598275,"Differential effects of inulin and fructooligosaccharides on gut microbiota composition and glycemic metabolism in overweight/obese and healthy individuals: a randomized, double-blind clinical trial.",131 adults,4 weeks,,,,p = 0.041; p = 0.028; p = 0.008; p = 0.014; p = 0.023; p = 0.020,,,"Inulin significantly reduced glucose levels at 1 h (Cohen's d = 0.71, p = 0.041) and 2 h (Cohen's d = 0.73, p = 0.028) during oral glucose tolerance test (OGTT), increased fasting insulin (Cohen's d = 0.70, p = 0.008), and lowered homocysteine (HCY) levels (Cohen's d = 0.76, p = 0.014) in overweight/obese individuals.",,,,"Inulin significantly reduced glucose levels at 1 h (Cohen's d = 0.71, p = 0.041) and 2 h (Cohen's d = 0.73, p = 0.028) during oral glucose tolerance test (OGTT), increased fasting insulin (Cohen's d = 0.70, p = 0.008), and lowered homocysteine (HCY) levels (Cohen's d = 0.76, p = 0.014) in overweight/obese individuals.",,"Functional prediction of gut microbiota revealed upregulation of microbial folate and glutathione metabolism with inulin, and purine metabolism with FOS.; Practically, inulin may be more suitable for managing glycemic dysregulation in overweight or obese individuals, while FOS may be considered for HCY reduction in individuals with normal glycemic status.",Review source text before entering numeric values into final tables.
PMID:41321998,PubMed,41321998,Gut microbiome enterotypes and temporal variations during a six-month inulin-supplemented weight loss randomized controlled trial in Thai children with obesity.,,,,,,,,,,,,,,,,Review source text before entering numeric values into final tables.
PMID:37580231,PubMed,37580231,"No effect of multi-strain probiotic supplementation on metabolic and inflammatory markers and newborn body composition in pregnant women with obesity: Results from a randomized, double-blind placebo-controlled study.",50 participants,20 weeks,,,BMI ≥30,,,,,,,,,,,Review source text before entering numeric values into final tables.
NCT:NCT04642482,ClinicalTrials.gov,NCT04642482,Synbiotic Therapy on Intestinal Microbiota and Insulin Resistance in Obesity,16,,,,,,Synbiotic (Rillus); Placebo,Homeostatic Model Assessment for Insulin Resistance (HOMA-IR),,,,,,,,Review source text before entering numeric values into final tables.
PMID:30525950,PubMed,30525950,Probiotic or synbiotic alters the gut microbiota and metabolism in a randomised controlled trial of weight management in overweight adults.,n=134,6 months; 1 month,,12 g; 12 g/day,,,,,,,"Christensenellaceae was consistently increased in the LU and LU+B420 groups across the intervention time points, and correlated negatively to waist-hip ratio and energy intake at baseline, and waist-area body fat mass after 6 months treatment with LU+B420.","Christensenellaceae was consistently increased in the LU and LU+B420 groups across the intervention time points, and correlated negatively to waist-hip ratio and energy intake at baseline, and waist-area body fat mass after 6 months treatment with LU+B420.",,,"Consumption of B420 and its combination with LU resulted in alterations of the gut microbiota and its metabolism, and may support improved gut barrier function and obesity-related markers.",Review source text before entering numeric values into final tables.
NCT:NCT05423015,ClinicalTrials.gov,NCT05423015,Assessment of the Effects of Synbiotic on Gut Microbiota Composition in Scholars With Overweight,37,,,,,,Lactobacillus casei strain Shirota; Lactobacillus casei strain Shirota plus inulin; Lactobacillus casei strain Shirota plus fructans from A. salmiana,"Gut bacteria associated with changes of the intervention group; Effect of probiotic and synbiotic products intervention on the BMI z-score; Effect of probiotic and synbiotic products intervention on the fat percentage; Effect of probiotic and synbiotic products intervention on waist and neck circunference; Effect of probiotic and synbiotic products intervention on glucose, triglycerides and cholesterol serum levels",,,,,,,,Review source text before entering numeric values into final tables.
NCT:NCT02217579,ClinicalTrials.gov,NCT02217579,Effect of Protein and Prebiotic Fiber Intake on Adiposity in Overweight and Obese Adults,132,12 weeks,,,,,Protein; Prebiotic fiber; Protein plus prebiotic fiber; Control,Change in baseline fat mass at 12 weeks,,,,,,,,Review source text before entering numeric values into final tables.
NCT:NCT01433120,ClinicalTrials.gov,NCT01433120,Targeting the Gut Microbiome to Investigate the Pathways of Progression From Obesity to Metabolic Diseases in an At-risk Population.,58,,,,,,Lactobacillus paracasei ssp paracasei F19; Flax seed fibres; Maltodextrin (Placebo),Insulin resistance; Changes in the gut microbiota,,,,Lactobacillus paracasei ssp paracasei F19; Flax seed fibres; Maltodextrin (Placebo) Insulin resistance; Changes in the gut microbiota Inflammatory markers; Lipid metabolism; Total fat mass and abdominal fat Probiotic L.,Lactobacillus paracasei ssp paracasei F19; Flax seed fibres; Maltodextrin (Placebo) Insulin resistance; Changes in the gut microbiota Inflammatory markers; Lipid metabolism; Total fat mass and abdominal fat Probiotic L.,Lactobacillus paracasei ssp paracasei F19; Flax seed fibres; Maltodextrin (Placebo) Insulin resistance; Changes in the gut microbiota Inflammatory markers; Lipid metabolism; Total fat mass and abdominal fat Probiotic L.,Lactobacillus paracasei ssp paracasei F19; Flax seed fibres; Maltodextrin (Placebo) Insulin resistance; Changes in the gut microbiota Inflammatory markers; Lipid metabolism; Total fat mass and abdominal fat Probiotic L.,Review source text before entering numeric values into final tables.
EUROPEPMC:41494682,PubMed,41494682,The Effects of Probiotic Yogurt and Resistance Training on Body Composition and Metabolic Parameters in Post-bariatric Surgery Patients: A Randomized Controlled Trial.,52 participants; 13 participants,12-week,,,,P=0.001; P<0.001; P=0.038,,,,,,,,,,Review source text before entering numeric values into final tables.
EUROPEPMC:42120725,PubMed,42120725,Pasteurized Akkermansia muciniphila Muc,n = 90,8-week; 24-week,,,,P = 0.012; P = 0.009,,,"Here we show that MucT led to lower body weight regain versus placebo at the end of the weight maintenance period (MucT: 1.2 ± 0.7 kg, placebo: 3.2 ± 0.4 kg, P = 0.012).",,,,,,,Review source text before entering numeric values into final tables.
NCT:NCT07507929,ClinicalTrials.gov,NCT07507929,Probiotic for Weight Management in Overweight and Obese Adults,76,,,,,,Probiotic; Placebo,Change from baseline in body weight following the intervention,,,,,,,,Review source text before entering numeric values into final tables.
NCT:NCT07517757,ClinicalTrials.gov,NCT07517757,Dietary Strategies for the Treatment of Fibromyalgia in Overweight and Obese Patients,18 patients,,,,,,Very Low-Calorie Ketogenic Diet; Mediterranean diet; Mediterranean diet enriched by GABA-producing probiotic,"Assessing the impact of dietary approach on the severity of fibromyalgia, particularly on pain through the Widespread Pain Index (WPI); Assessing the impact of dietary approach on the severity of fibromyalgia, particularly on pain through the Symptom Severity Scale (SSS).; Assessing the impact of dietary approach on the severity of fibromyalgia, particularly on pain through the Fibromyalgia Impact Questionnaire (FIQR).; Assessing the impact of dietary approach on the severity of fibromyalgia, particularly on pain through the PainDETECT (PD-Q).; Assessing the impact of dietary approach on the severity of fibromyalgia, particularly on anxiety and depression through The Hospital Anxiety and Depression Scale (HADS).; Assessing the impact of dietary approach on the severity of fibromyalgia, particularly on sleep quality through the Pittsburgh Sleep Quality Index (PSQI).; Assess the presence of functional gastrointestinal disorders, in particular Irritable Bowel Syndrome (IBS) through the Rome IV criteria and the Bristol Stool Scale.","Dietary Strategies for the Treatment of Fibromyalgia in Overweight and Obese Patients  Very Low-Calorie Ketogenic Diet; Mediterranean diet; Mediterranean diet enriched by GABA-producing probiotic Assessing the impact of dietary approach on the severity of fibromyalgia, particularly on pain through the Widespread Pain Index (WPI); Assessing the impact of dietary approach on the severity of fibromyalgia, particularly on pain through the Symptom Severity Scale (SSS).; Assessing the impact of dietar",,,,,,,Review source text before entering numeric values into final tables.
NCT:NCT07559227,ClinicalTrials.gov,NCT07559227,"Gut, Immune, and Vascular Health in Metabolically Healthy Obesity",70,,,,,,Inulin Supplementation; Maltodextrin (Placebo); High-fat meal,Serum lipopolysaccharide binding protein; Serum interleukin-6; Flow-mediated dilation; Serum C reactive protein; Serum lipopolysaccharide; Serum TNF-alpha; Serum zonulin,,,,,,,,Review source text before entering numeric values into final tables.
NCT:NCT07593170,ClinicalTrials.gov,NCT07593170,AKK Study in Improving Obesity and Metabolic Status in Children and Adolescents,100,,,,,,AKK; Placebo (maltodextrin),Z - score,,,,,,,,Review source text before entering numeric values into final tables.
EUROPEPMC:41455007,PubMed,41455007,"Bifidobacterium Breve BBr60 Improves Obesity Via the Gut Microbiota-Short-Chain Fatty Acid-IL-27/GLP-1 Axis: Evidence from a Randomized, Double-Blind, Placebo-Controlled Trial.",75 individuals; 65 participants; n = 33; n = 32,12-week,,25 g,BMI ≥ 28,p < 0.001; p < 0.05; p < 0.01,,,,A total of 75 individuals with obesity subjects (BMI ≥ 28) were enrolled and randomly assigned to either the BBr60 intervention group (10 billion CFU daily) and the placebo group.,,,"In terms of metabolic hormones, leptin (LEP), adiponectin (ADPN), connecting peptide (C-P), pancreatic polypeptide (PP), peptide YY (PYY), Glucose-dependent insulinotropic polypeptide (GIP), and Glucagon-Like Peptide-1 (GLP-1) were all significantly elevated (p < 0.05), while Homeostasis Model Assessment for Insulin Resistance(HOMA-IR) was significantly reduced in the BBr60 group (p < 0.05).",,"Bifidobacterium Breve BBr60 Improves Obesity Via the Gut Microbiota-Short-Chain Fatty Acid-IL-27/GLP-1 Axis: Evidence from a Randomized, Double-Blind, Placebo-Controlled Trial.",Review source text before entering numeric values into final tables.
NCT:NCT06780007,ClinicalTrials.gov,NCT06780007,Weight Loss Effect of Akkermansia Muciniphila in Obese Patients,106,,,,,,Probiotic; Placebo,Change in Body Mass Index(BMI),,,,,,,,Review source text before entering numeric values into final tables.
NCT:NCT07515443,ClinicalTrials.gov,NCT07515443,The Effects of a Commercially Available Synbiotic on the Gut Microbiome and Cardiometabolic Health: A Randomized Double-Blind Placebo-Controlled Trial,47,,,,,,Synbiotic; Placebo,Gut microbiome diversity and total bacteria; Blood biomarkers,,,,,,,,Review source text before entering numeric values into final tables.
