evidence_id,source_database,source_accession,title,sample_size_hint,duration_hint,cfu_hint,dose_hint,bmi_hint,p_value_hint,intervention_hint,primary_outcome_hint,body_weight_effect_hint,bmi_effect_hint,waist_effect_hint,body_fat_effect_hint,glucose_effect_hint,lipid_effect_hint,microbiome_effect_hint,manual_extraction_note
PMID:40409234,PubMed,40409234,Effects of multi-strain probiotics supplementation on body adiposity and metabolic profile in individuals with hypertension and overweight following an energy-restricted diet: A randomized clinical trial.,66 individuals,12 weeks; 3 months,3 x 10^10 CFU/day,,,p < 0.05,,,"Participants underwent anthropometric, body composition (dual-energy radiological absorptiometry) and biochemical (glucose metabolism, lipid profile, adiponectin, and leptin) evaluation at baseline and at the end of the study.; After 12 weeks of intervention, the probiotics group presented: a) reduction of body weight, BMI, circumferences of waist, hip and neck and waist-to-height ratio; b) decrease in total fat mass (kg); and c) reduction of glycated hemoglobin (HbA1c).","Participants underwent anthropometric, body composition (dual-energy radiological absorptiometry) and biochemical (glucose metabolism, lipid profile, adiponectin, and leptin) evaluation at baseline and at the end of the study.; After 12 weeks of intervention, the probiotics group presented: a) reduction of body weight, BMI, circumferences of waist, hip and neck and waist-to-height ratio; b) decrease in total fat mass (kg); and c) reduction of glycated hemoglobin (HbA1c).","Participants underwent anthropometric, body composition (dual-energy radiological absorptiometry) and biochemical (glucose metabolism, lipid profile, adiponectin, and leptin) evaluation at baseline and at the end of the study.; After 12 weeks of intervention, the probiotics group presented: a) reduction of body weight, BMI, circumferences of waist, hip and neck and waist-to-height ratio; b) decrease in total fat mass (kg); and c) reduction of glycated hemoglobin (HbA1c).","Participants underwent anthropometric, body composition (dual-energy radiological absorptiometry) and biochemical (glucose metabolism, lipid profile, adiponectin, and leptin) evaluation at baseline and at the end of the study.; After 12 weeks of intervention, the probiotics group presented: a) reduction of body weight, BMI, circumferences of waist, hip and neck and waist-to-height ratio; b) decrease in total fat mass (kg); and c) reduction of glycated hemoglobin (HbA1c).","Participants underwent anthropometric, body composition (dual-energy radiological absorptiometry) and biochemical (glucose metabolism, lipid profile, adiponectin, and leptin) evaluation at baseline and at the end of the study.; After 12 weeks of intervention, the probiotics group presented: a) reduction of body weight, BMI, circumferences of waist, hip and neck and waist-to-height ratio; b) decrease in total fat mass (kg); and c) reduction of glycated hemoglobin (HbA1c).","Participants underwent anthropometric, body composition (dual-energy radiological absorptiometry) and biochemical (glucose metabolism, lipid profile, adiponectin, and leptin) evaluation at baseline and at the end of the study.; After 12 weeks of intervention, the probiotics group presented: a) reduction of body weight, BMI, circumferences of waist, hip and neck and waist-to-height ratio; b) decrease in total fat mass (kg); and c) reduction of glycated hemoglobin (HbA1c).",,Review source text before entering numeric values into final tables.
PMID:37447365,PubMed,37447365,"Effect of a Probiotic and a Synbiotic on Body Fat Mass, Body Weight and Traits of Metabolic Syndrome in Individuals with Abdominal Overweight: A Human, Double-Blind, Randomised, Controlled Clinical Study.",180 individuals,3 months,,10 g daily,,p = 0.039; p = 0.012; p = 0.011; p = 0.03; p = 0.033; p < 0.001; p = 0.002; p = 0.009,,,"Accordingly, differences were found in &#8710; body weight (p = 0.012), BMI (p = 0.011), waist circumference (p = 0.03), waist-to-height ratio (p = 0.033), visceral adipose tissue (SAD) (p < 0.001) and liver steatosis grade (LSG) (p < 0.001), as assessed using sonography.","Accordingly, differences were found in &#8710; body weight (p = 0.012), BMI (p = 0.011), waist circumference (p = 0.03), waist-to-height ratio (p = 0.033), visceral adipose tissue (SAD) (p < 0.001) and liver steatosis grade (LSG) (p < 0.001), as assessed using sonography.","Accordingly, differences were found in &#8710; body weight (p = 0.012), BMI (p = 0.011), waist circumference (p = 0.03), waist-to-height ratio (p = 0.033), visceral adipose tissue (SAD) (p < 0.001) and liver steatosis grade (LSG) (p < 0.001), as assessed using sonography.",The alteration (&#8710;) in body fat mass (kg) (primary parameter) during intervention was significantly (p = 0.039) more pronounced in the Probiotic group (-0.61 &#177; 1.94; mean &#177; SD) compared with the Placebo group (+0.13 &#177; 1.64).,,,,Review source text before entering numeric values into final tables.
PMID:37111082,PubMed,37111082,"Effect of a Multispecies Synbiotic Supplementation on Body Composition, Antioxidant Status, and Gut Microbiomes in Overweight and Obese Subjects: A Randomized, Double-Blind, Placebo-Controlled Study.",63 individuals,12 weeks,,2 g,,,,,"At the end of the study, there were no significant differences observed in body weight, BMI, waist circumference, or percentage of body fat between the synbiotic group and the placebo group.","At the end of the study, there were no significant differences observed in body weight, BMI, waist circumference, or percentage of body fat between the synbiotic group and the placebo group.","The results of the study indicated that synbiotic supplementation resulted in a significant reduction in waist circumference and body fat percentage compared to the baseline measurements, as observed at 12 weeks.","The results of the study indicated that synbiotic supplementation resulted in a significant reduction in waist circumference and body fat percentage compared to the baseline measurements, as observed at 12 weeks.",,,"For the gut microbiota analysis, synbiotic supplementation significantly decreased Firmicutes abundance and the Firmicutes/Bacteroidetes (F/B) ratio at week 12 as compared to the placebo group.",Review source text before entering numeric values into final tables.
NCT:NCT02125955,ClinicalTrials.gov,NCT02125955,"Effect of Prebiotic Intake on Adiposity, Satiety and Gut Microbiota in Overweight and Obese Children",42,,,,,,Prebiotic fiber; Placebo,Body fat,,,,,,,,Review source text before entering numeric values into final tables.
NCT:NCT02151825,ClinicalTrials.gov,NCT02151825,Effect of a Synbiotic on the Gut Microbiota and Adiposity-related Markers in Healthy Overweight Subjects,54,,,,,,Synbiotic; Placebo,Changes to the gut microbiota,,,,,,,,Review source text before entering numeric values into final tables.
PMID:41512635,PubMed,41512635,"Effects of a novel synbiotic intervention on abdominal visceral fat reductions and gut microbiota in overweight and obese adults: A randomized, double-blind, placebo-controlled trial.",112 participants,12-week; 6-week,,,BMI: 24.0-34.9; BMI <28,p = 0.048; p = 0.051; p = 0.003; p = 0.027; p = 0.077,,,"Effects of a novel synbiotic intervention on abdominal visceral fat reductions and gut microbiota in overweight and obese adults: A randomized, double-blind, placebo-controlled trial.","We hypothesized that this intervention would improve metabolic health parameters, particularly visceral adiposity.; In a 12-week, double-blind, randomized, placebo-controlled, parallel-group trial with a 6-week post-intervention follow-up, 112 participants (BMI: 24.0-34.9 kg/m2) received daily synbiotic or a matched placebo.","Although no significant changes occurred in blood biochemistry, BMI, or waist circumference, the synbiotic group showed a trend toward greater total body fat reduction between weeks 12-18 (p = 0.077).","Effects of a novel synbiotic intervention on abdominal visceral fat reductions and gut microbiota in overweight and obese adults: A randomized, double-blind, placebo-controlled trial.",,,"Effects of a novel synbiotic intervention on abdominal visceral fat reductions and gut microbiota in overweight and obese adults: A randomized, double-blind, placebo-controlled trial.",Review source text before entering numeric values into final tables.
PMID:41321998,PubMed,41321998,Gut microbiome enterotypes and temporal variations during a six-month inulin-supplemented weight loss randomized controlled trial in Thai children with obesity.,,,,,,,,,,,,,,,,Review source text before entering numeric values into final tables.
PMID:40416368,PubMed,40416368,Effect of,,8 weeks,,3 g,,P < 0.01; P < 0.05,,,Effect of Probiotic supplementation is a safe and effective way to reduce overweight and obesity by regulating the gut microbiota.,,,,,"This study aimed to assess the effects of BC99 on the gut microbiota, body weight and lipid profiles of overweight and obese individuals.; A total of 66 adult individuals were randomly assigned to a probiotic group (supplemented with 5 &#215; 109 colony-forming units of BC99 per day along with 3 g of maltodextrin) and placebo group (supplemented with 3 g of maltodextrin daily) in a 1:1 ratio.; After 8 weeks of oral administration, BC99 intervention significantly decreased the body weight of overweigh",Effect of Probiotic supplementation is a safe and effective way to reduce overweight and obesity by regulating the gut microbiota.,Review source text before entering numeric values into final tables.
PMID:40385498,PubMed,40385498,"Effects of multi-strain synbiotic supplementation on liver enzymes, insulin resistance, anthropometric, and inflammatory indices in overweight and obese adults with fatty liver and diabetes: a randomized controlled trial.",20 individuals,12-week,,,,P < 0.05,,,"The intervention group showed significant reductions in within group analysis for insulin levels, weight, and BMI (P < 0.05).","The intervention group showed significant reductions in within group analysis for insulin levels, weight, and BMI (P < 0.05).",,,"The intervention group showed significant reductions in within group analysis for insulin levels, weight, and BMI (P < 0.05).","Additionally, changes in inflammatory markers, lipid profiles, and insulin resistance indices were not statistically significant.; In the present study, synbiotic supplements showed improvements in insulin levels, weight, BMI, and AST.",,Review source text before entering numeric values into final tables.
PMID:39456659,PubMed,39456659,Gut Microbiome and Metabolome Alterations in Overweight or Obese Adult Population after Weight-Loss,,12 weeks,1 x 10^10 CFU/day,,,p < 0.05,,,"This study involved 75 overweight or obese young adults, randomly assigned to either a Bifidobacterium breve BBr60 (BBr60) group or a placebo group.","After 12 weeks, BBr60 significantly reduced weight and BMI compared to pretreatment levels and outperformed the placebo.",,,"The BBr60 group also showed improved blood biochemistry, with notably lower fasting blood glucose (FBG) levels than the placebo group (p < 0.05).",,,Review source text before entering numeric values into final tables.
