evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
PMID:41163054,literature,PubMed,41163054,https://pubmed.ncbi.nlm.nih.gov/41163054/,10.1186/s13063-025-09180-3,41163054,"The effects of a newly developed beverage powder supplement on anthropometric measures, body composition, metabolic syndrome components, and appetite in obese or overweight adults: a protocol for a randomized clinical trial study.",2025,Trials,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_supplement,2026-06-06
PMID:39520336,literature,PubMed,39520336,https://pubmed.ncbi.nlm.nih.gov/39520336/,10.1002/mnfr.202400451,39520336,Intermittent Fasting Improves Insulin Resistance by Modulating the Gut Microbiota and Bile Acid Metabolism in Diet-Induced Obesity.,2024,Molecular nutrition & food research,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_supplement,2026-06-06
PMID:36435795,literature,PubMed,36435795,https://pubmed.ncbi.nlm.nih.gov/36435795/,10.1186/s13063-022-06922-5,36435795,"The effect of ""moderately restricted carbohydrate"" diet on gut microbiota composition and metabolic parameters in women with metabolic syndrome: a study protocol for a randomized controlled trial.",2022,Trials,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_supplement,2026-06-06
PMID:35103461,literature,PubMed,35103461,https://pubmed.ncbi.nlm.nih.gov/35103461/,10.23736/S2724-6507.22.03752-6,35103461,Akkermansia muciniphila as a novel powerful bacterial player in the treatment of metabolic disorders.,2022,Minerva endocrinology,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_supplement,2026-06-06
PMID:33763720,literature,PubMed,33763720,https://pubmed.ncbi.nlm.nih.gov/33763720/,10.1007/s00394-021-02538-8,33763720,"Mediterranean diet consumption affects the endocannabinoid system in overweight and obese subjects: possible links with gut microbiome, insulin resistance and inflammation.",2021,European journal of nutrition,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_supplement,2026-06-06
PMID:33477821,literature,PubMed,33477821,https://pubmed.ncbi.nlm.nih.gov/33477821/,10.3390/cells10010185,33477821,Beneficial Effects of Akkermansia muciniphila Are Not Associated with Major Changes in the Circulating Endocannabinoidome but Linked to Higher Mono-Palmitoyl-Glycerol Levels as New PPARα Agonists.,2021,Cells,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_supplement,2026-06-06
PMID:32698959,literature,PubMed,32698959,https://pubmed.ncbi.nlm.nih.gov/32698959/,10.1016/j.clnu.2020.05.025,32698959,Acute and chronic improvement in postprandial glucose metabolism by a diet resembling the traditional Mediterranean dietary pattern: Can SCFAs play a role?,2021,"Clinical nutrition (Edinburgh, Scotland)",needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_supplement,2026-06-06
PMID:32152146,literature,PubMed,32152146,https://pubmed.ncbi.nlm.nih.gov/32152146/,10.1136/bmjdrc-2019-000948,32152146,Genistein stimulates insulin sensitivity through gut microbiota reshaping and skeletal muscle AMPK activation in obese subjects.,2020,BMJ open diabetes research & care,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_supplement,2026-06-06
PMID:31263284,literature,PubMed,31263284,https://pubmed.ncbi.nlm.nih.gov/31263284/,10.1038/s41591-019-0495-2,31263284,Supplementation with Akkermansia muciniphila in overweight and obese human volunteers: a proof-of-concept exploratory study.,2019,Nature medicine,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_supplement,2026-06-06
PMID:27892954,literature,PubMed,27892954,https://pubmed.ncbi.nlm.nih.gov/27892954/,10.1038/nm.4236,27892954,A purified membrane protein from Akkermansia muciniphila or the pasteurized bacterium improves metabolism in obese and diabetic mice.,2017,Nature medicine,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_supplement,2026-06-06
