evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
PMID:42169316,literature,PubMed,42169316,https://pubmed.ncbi.nlm.nih.gov/42169316/,10.1016/j.foodres.2026.119354,42169316,Resveratrol and tomato pectin synergistically ameliorated metabolic disorder in high-fat-diet mice through the microbiota-gut-liver axis.,2026,"Food research international (Ottawa, Ont.)",needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:42157654,literature,PubMed,42157654,https://pubmed.ncbi.nlm.nih.gov/42157654/,10.1002/mnfr.70495,42157654,"Gut Microbiota as a Mediator of Sarcopenic Obesity: Mechanisms, Modifiable Factors, and Healthcare Burden.",2026,Molecular nutrition & food research,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:42139619,literature,PubMed,42139619,https://pubmed.ncbi.nlm.nih.gov/42139619/,10.36740/WLek/220666,42139619,"Clinical, endoscopic, morphological and microbiological characteristics of diverticular disease in patients with metabolic disorders.",2026,"Wiadomosci lekarskie (Warsaw, Poland : 1960)",needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:42130741,literature,PubMed,42130741,https://pubmed.ncbi.nlm.nih.gov/42130741/,10.3389/fendo.2026.1829579,42130741,"Post-transplant diabetes mellitus after kidney transplantation: pathogenesis, risk factors, and management strategies.",2026,Frontiers in endocrinology,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:42120725,literature,PubMed,42120725,https://pubmed.ncbi.nlm.nih.gov/42120725/,10.1038/s41591-026-04394-7,42120725,Pasteurized Akkermansia muciniphila Muc(T) for weight loss maintenance in people with overweight and obesity: a controlled randomized trial.,2026,Nature medicine,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:42116498,literature,PubMed,42116498,https://pubmed.ncbi.nlm.nih.gov/42116498/,10.1016/j.foodres.2026.119257,42116498,Timing matters in type 2 diabetes: Early high-Fiber nutrition enhances glycemic control and reshapes gut microbiota.,2026,"Food research international (Ottawa, Ont.)",needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:42105359,literature,PubMed,42105359,https://pubmed.ncbi.nlm.nih.gov/42105359/,10.1093/nutrit/nuag049,42105359,Monounsaturated Fatty Acid-Rich Foods and Gut Microbiota Composition: A Systematic Review of In Vivo Studies and Randomized Clinical Trials.,2026,Nutrition reviews,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:42075780,literature,PubMed,42075780,https://pubmed.ncbi.nlm.nih.gov/42075780/,10.3390/ph19040523,42075780,Lingguizhugan Decoction Ameliorates MASLD by Modulating the Gut Microbiota and Enriching Non-12-OH Bile Acids to Activate TGR5-Mediated Thermogenesis.,2026,"Pharmaceuticals (Basel, Switzerland)",needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:42075007,literature,PubMed,42075007,https://pubmed.ncbi.nlm.nih.gov/42075007/,10.3390/nu18081195,42075007,Bifidobacterium animalis ssp. lactis 420 and Cordyceps militaris Synergistically Modulate the Gut Microbiota by Increasing Mucin 2 Production.,2026,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:42067693,literature,PubMed,42067693,https://pubmed.ncbi.nlm.nih.gov/42067693/,10.1007/s13659-026-00612-4,42067693,Diversity of oligosaccharides in lipooligosaccharides of Akkermansia muciniphila and its anti-atherosclerotic activity.,2026,Natural products and bioprospecting,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:42061563,literature,PubMed,42061563,https://pubmed.ncbi.nlm.nih.gov/42061563/,10.1016/j.jep.2026.121684,42061563,Oroxin A in Linggui Zhugan Decoction in the treatment of MASH by regulating cholesterol-bile acid metabolism.,2026,Journal of ethnopharmacology,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
