evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
PMID:42108208,literature,PubMed,42108208,https://pubmed.ncbi.nlm.nih.gov/42108208/,10.1093/nutrit/nuag048,42108208,Comparative Efficacy of Probiotics for the Treatment of Obesity: A Systematic Review and Network Meta-analysis.,2026,Nutrition reviews,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:42060057,literature,PubMed,42060057,https://pubmed.ncbi.nlm.nih.gov/42060057/,10.1007/s12602-026-11035-5,42060057,Enzyme-Triggered Microcapsules for Colon-Targeted Delivery of Lacticaseibacillus rhamnosus Improve Metabolic Parameters in an Obese Mouse Model.,2026,Probiotics and antimicrobial proteins,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41930918,literature,PubMed,41930918,https://pubmed.ncbi.nlm.nih.gov/41930918/,10.2174/0115665240391524251201102455,41930918,Gut Microbiota and Metabolic Profiles Reveal the Mechanism of Weight Loss in Patients with Obesity Stimulated By Acupuncture.,2026,Current molecular medicine,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41921070,literature,PubMed,41921070,https://pubmed.ncbi.nlm.nih.gov/41921070/,10.1093/lambio/ovag041,41921070,Anti-obesity effects of probiotics beyond BMI: a critical review of human clinical trials.,2026,Letters in applied microbiology,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41673409,literature,PubMed,41673409,https://pubmed.ncbi.nlm.nih.gov/41673409/,10.1038/s41598-026-35214-0,41673409,Sibutramine high-doses effects in cafeteria diet-induced obese rats.,2026,Scientific reports,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41598253,literature,PubMed,41598253,https://pubmed.ncbi.nlm.nih.gov/41598253/,10.3390/life16010098,41598253,"Diet, Physical Exercise, and Gut Microbiota Modulation in Metabolic Syndrome: A Narrative Review.",2026,"Life (Basel, Switzerland)",needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41594449,literature,PubMed,41594449,https://pubmed.ncbi.nlm.nih.gov/41594449/,10.3390/ani16020259,41594449,Bifidobacterium animalis Subspecies lactis CECT 8145 Affects Markers of Metabolic Health in Dogs During Weight Gain and Weight Loss.,2026,Animals : an open access journal from MDPI,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41586244,literature,PubMed,41586244,https://pubmed.ncbi.nlm.nih.gov/41586244/,10.3389/fnut.2025.1714444,41586244,"The effects of a very low-energy ketogenic therapy on body composition, gut microbiota and metabolites in overweight subjects.",2025,Frontiers in nutrition,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41377121,literature,PubMed,41377121,https://pubmed.ncbi.nlm.nih.gov/41377121/,10.1016/j.csbj.2025.11.043,41377121,Low-calorie diet intervention ameliorates gut microbiota dysbiosis and metabolic changes in obese patients with type 2 diabetes under standard care.,2025,Computational and structural biotechnology journal,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41372103,literature,PubMed,41372103,https://pubmed.ncbi.nlm.nih.gov/41372103/,10.1111/obr.70037,41372103,Impacts of Lifestyle and Microbiota-Targeted Interventions for Overweight and Obesity on the Human Gut Microbiome: A Systematic Review.,2026,Obesity reviews : an official journal of the International Association for the Study of Obesity,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:40907063,literature,PubMed,40907063,https://pubmed.ncbi.nlm.nih.gov/40907063/,10.1016/j.clnu.2025.08.018,40907063,The ecology of the microbiota in children with obesity is associated with the intake of carbohydrates and insulin resistance.,2025,"Clinical nutrition (Edinburgh, Scotland)",needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:40892275,literature,PubMed,40892275,https://pubmed.ncbi.nlm.nih.gov/40892275/,10.1007/s40519-025-01784-7,40892275,Post-bariatric surgery quality-of-life decline: analysis of the gut-brain axis.,2025,Eating and weight disorders : EWD,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:40606560,literature,PubMed,40606560,https://pubmed.ncbi.nlm.nih.gov/40606560/,10.1007/s43657-024-00165-x,40606560,Multi-Omics Exploration of Obesity Biomarkers in Sedentary and Weight Loss Cohorts.,2025,"Phenomics (Cham, Switzerland)",needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:40587116,literature,PubMed,40587116,https://pubmed.ncbi.nlm.nih.gov/40587116/,10.2337/dc25-0728,40587116,Prediction of Weight Loss and Regain Based on Multiomic and Phenotypic Features: Results From a Calorie-Restricted Feeding Trial.,2026,Diabetes care,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:40434504,literature,PubMed,40434504,https://pubmed.ncbi.nlm.nih.gov/40434504/,10.1007/s12602-025-10605-3,40434504,Harnessing Probiotics: Exploring the Role of the Gut Microbiome in Combating Obesity.,2025,Probiotics and antimicrobial proteins,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:40066582,literature,PubMed,40066582,https://pubmed.ncbi.nlm.nih.gov/40066582/,10.20960/nh.05563,40066582,"Effects of probiotic supplementation on blood lipids ın hypercholesterolemic obese patients: a randomized, double-blind, placebo-controlled pilot trial.",2025,Nutricion hospitalaria,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:40046174,literature,PubMed,40046174,https://pubmed.ncbi.nlm.nih.gov/40046174/,10.2147/JAA.S478329,40046174,Glucagon-Like Peptide 1 Receptor (Glp1r) Deficiency Does Not Appreciably Alter Airway Inflammation or Gut-Lung Microbiome Axis in a Mouse Model of Obese Allergic Airways Disease and Bariatric Surgery.,2025,Journal of asthma and allergy,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:39842252,literature,PubMed,39842252,https://pubmed.ncbi.nlm.nih.gov/39842252/,10.1016/j.clnu.2024.12.031,39842252,"Effect of caloric restriction with probiotic supplementation on body composition, quality of life, and psychobiological factors of obese men: A randomized, double-blinded placebo-controlled clinical trial.",2025,"Clinical nutrition (Edinburgh, Scotland)",needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:39778852,literature,PubMed,39778852,https://pubmed.ncbi.nlm.nih.gov/39778852/,10.1016/j.ijbiomac.2025.139577,39778852,Characterization of a novel type 4 resistant starch from tapioca and its obesity-preventive effects through gut microbiota modulation in high-fat diet-treated mice.,2025,International journal of biological macromolecules,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:39539712,literature,PubMed,39539712,https://pubmed.ncbi.nlm.nih.gov/39539712/,10.3389/fmicb.2024.1381423,39539712,Stress-induced obesity in mice causes cognitive decline associated with inhibition of hippocampal neurogenesis and dysfunctional gut microbiota.,2024,Frontiers in microbiology,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:39481656,literature,PubMed,39481656,https://pubmed.ncbi.nlm.nih.gov/39481656/,10.1016/j.bcp.2024.116596,39481656,Insights into the modulatory effects of host-gut microbial xanthine co-metabolism on high-fat diet-fed mice.,2024,Biochemical pharmacology,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:39456659,literature,PubMed,39456659,https://pubmed.ncbi.nlm.nih.gov/39456659/,10.3390/ijms252010871,39456659,Gut Microbiome and Metabolome Alterations in Overweight or Obese Adult Population after Weight-Loss Bifidobacterium breve BBr60 Intervention: A Randomized Controlled Trial.,2024,International journal of molecular sciences,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:39455650,literature,PubMed,39455650,https://pubmed.ncbi.nlm.nih.gov/39455650/,10.1038/s41598-024-75594-9,39455650,Effects of Lactiplantibacillus plantarum CBT LP3 and Bifidobacterium breve CBT BR3 supplementation on weight loss and gut microbiota of overweight dogs.,2024,Scientific reports,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:38999802,literature,PubMed,38999802,https://pubmed.ncbi.nlm.nih.gov/38999802/,10.3390/nu16132055,38999802,"Preoperative Multistrain Probiotic Supplementation Does Not Affect Body Weight Changes or Cardiometabolic Risk Factors in Bariatrics: Randomized, Double-Blind, Placebo-Controlled Clinical Trial.",2024,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:38409604,literature,PubMed,38409604,https://pubmed.ncbi.nlm.nih.gov/38409604/,10.1038/s42255-024-00988-y,38409604,Resistant starch intake facilitates weight loss in humans by reshaping the gut microbiota.,2024,Nature metabolism,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
