evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
PMID:42158917,literature,PubMed,42158917,https://pubmed.ncbi.nlm.nih.gov/42158917/,10.3389/fendo.2026.1802045,42158917,Effect of probiotics derivatives (postbiotics and metabiotics) on glycemic control in individuals with type 2 diabetes: a randomized clinical trial (DELI_Diab study).,2026,Frontiers in endocrinology,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:42151830,literature,PubMed,42151830,https://pubmed.ncbi.nlm.nih.gov/42151830/,10.1186/s12876-026-04934-y,42151830,Short-term synbiotic supplementation and intrahepatic triglyceride content assessed by proton MR spectroscopy: a pilot study.,2026,BMC gastroenterology,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:30000958,literature,PubMed,30000958,https://pubmed.ncbi.nlm.nih.gov/30000958/,,30000958,Marine Oils.,2006,,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:40813684,literature,PubMed,40813684,https://pubmed.ncbi.nlm.nih.gov/40813684/,10.1186/s13098-025-01869-4,40813684,Carotenoid and peptide supplementation from Caulerpa sp. (sea grapes) extract mitigate metabolic syndrome in cholesterol-enriched diet rats via modulation of gut microbiota.,2025,Diabetology & metabolic syndrome,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:40375569,literature,PubMed,40375569,https://pubmed.ncbi.nlm.nih.gov/40375569/,10.1017/S0007114525000923,40375569,"Mental health and health-related quality of life response to curcumin-probiotic drink powder co-supplementation in adults with overweight/obesity and metabolic syndrome: a four-arm randomised, double-blind, placebo-controlled, clinical trial.",2025,The British journal of nutrition,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:40331097,literature,PubMed,40331097,https://pubmed.ncbi.nlm.nih.gov/40331097/,10.3389/fnut.2025.1571473,40331097,Delites™ supplementation prevents metabolic syndrome onset and modulates gut microbiome in male Sprague Dawley rats fed on cholesterol- and fat-enriched diet: a randomized preclinical trial study.,2025,Frontiers in nutrition,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:39458486,literature,PubMed,39458486,https://pubmed.ncbi.nlm.nih.gov/39458486/,10.3390/nu16203491,39458486,Microbiota Transplantation in Individuals with Type 2 Diabetes and a High Degree of Insulin Resistance.,2024,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:38292634,literature,PubMed,38292634,https://pubmed.ncbi.nlm.nih.gov/38292634/,10.12998/wjcc.v12.i1.1,38292634,Gut-targeted therapies for type 2 diabetes mellitus: A review.,2024,World journal of clinical cases,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:37836532,literature,PubMed,37836532,https://pubmed.ncbi.nlm.nih.gov/37836532/,10.3390/nu15194248,37836532,Effects of Synbiotic Supplementation on Metabolic Syndrome Traits and Gut Microbial Profile among Overweight and Obese Hong Kong Chinese Individuals: A Randomized Trial.,2023,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:36435795,literature,PubMed,36435795,https://pubmed.ncbi.nlm.nih.gov/36435795/,10.1186/s13063-022-06922-5,36435795,"The effect of ""moderately restricted carbohydrate"" diet on gut microbiota composition and metabolic parameters in women with metabolic syndrome: a study protocol for a randomized controlled trial.",2022,Trials,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:35487505,literature,PubMed,35487505,https://pubmed.ncbi.nlm.nih.gov/35487505/,10.4093/dmj.2021.0370,35487505,"Effect of Lactobacillus plantarum LMT1-48 on Body Fat in Overweight Subjects: A Randomized, Double-Blind, Placebo-Controlled Trial.",2023,Diabetes & metabolism journal,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:35332040,literature,PubMed,35332040,https://pubmed.ncbi.nlm.nih.gov/35332040/,10.1136/bmjopen-2021-055214,35332040,A randomised controlled trial of a probiotic and a prebiotic examining metabolic and mental health outcomes in adults with pre-diabetes.,2022,BMJ open,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:35255811,literature,PubMed,35255811,https://pubmed.ncbi.nlm.nih.gov/35255811/,10.1186/s12876-022-02176-2,35255811,"The effect of daily consumption of probiotic yogurt on liver enzymes, steatosis and fibrosis in patients with nonalcoholic fatty liver disease (NAFLD): study protocol for a randomized clinical trial.",2022,BMC gastroenterology,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:33718754,literature,PubMed,33718754,https://pubmed.ncbi.nlm.nih.gov/33718754/,10.1093/cdn/nzab006,33718754,Ingesting Yogurt Containing Lactobacillus plantarum OLL2712 Reduces Abdominal Fat Accumulation and Chronic Inflammation in Overweight Adults in a Randomized Placebo-Controlled Trial.,2021,Current developments in nutrition,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:33292434,literature,PubMed,33292434,https://pubmed.ncbi.nlm.nih.gov/33292434/,10.1186/s13098-020-00603-6,33292434,Probiotics supplementation and insulin resistance: a systematic review.,2020,Diabetology & metabolic syndrome,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:32985001,literature,PubMed,32985001,https://pubmed.ncbi.nlm.nih.gov/32985001/,10.1111/jfbc.13471,32985001,Effect of Lactobacillus plantarum fermented barley on plasma glycolipids and insulin sensitivity in subjects with metabolic syndrome.,2020,Journal of food biochemistry,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
PMID:32234652,literature,PubMed,32234652,https://pubmed.ncbi.nlm.nih.gov/32234652/,10.1016/j.nut.2020.110749,32234652,Gut microbiota composition after diet and probiotics in overweight breast cancer survivors: a randomized open-label pilot intervention trial.,2020,"Nutrition (Burbank, Los Angeles County, Calif.)",needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion2,2026-06-08
