evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
PMID:41444876,literature,PubMed,41444876,https://pubmed.ncbi.nlm.nih.gov/41444876/,10.1186/s12887-025-06319-8,41444876,The role of microbiome-modulating supplements in managing metabolic syndrome risk factors among overweight and obese youth: a GRADE-assessed meta-analysis.,2025,BMC pediatrics,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:40987620,literature,PubMed,40987620,https://pubmed.ncbi.nlm.nih.gov/40987620/,10.1016/j.orcp.2025.08.010,40987620,Can pre-/pro and synbiotics affect cardiovascular risk factors in children and adolescence with overweight and obesity? A grade-assessed systematic review and meta-analysis of randomized controlled trials.,2025,Obesity research & clinical practice,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:40735396,literature,PubMed,40735396,https://pubmed.ncbi.nlm.nih.gov/40735396/,10.1002/fsn3.70434,40735396,"The Effects of Probiotics Consumption on Blood Pressure, Lipid Profile, Glycemic Indices, and Inflammatory Parameters in Overweight and Obese Adults: A Systematic Review and Meta-Analysis of Randomized Controlled Trials.",2025,Food science & nutrition,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:38953736,literature,PubMed,38953736,https://pubmed.ncbi.nlm.nih.gov/38953736/,10.1039/d4fo01269k,38953736,"Beneficial effects of a new probiotic formulation on adipocytokines, appetite-regulating hormones, and metabolic parameters in obese women.",2024,Food & function,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:37836532,literature,PubMed,37836532,https://pubmed.ncbi.nlm.nih.gov/37836532/,10.3390/nu15194248,37836532,Effects of Synbiotic Supplementation on Metabolic Syndrome Traits and Gut Microbial Profile among Overweight and Obese Hong Kong Chinese Individuals: A Randomized Trial.,2023,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:35714163,literature,PubMed,35714163,https://pubmed.ncbi.nlm.nih.gov/35714163/,10.1080/1028415X.2022.2081288,35714163,Lacticaseibacillus rhamnosus HA-114 improves eating behaviors and mood-related factors in adults with overweight during weight loss: a randomized controlled trial.,2023,Nutritional neuroscience,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:32521799,literature,PubMed,32521799,https://pubmed.ncbi.nlm.nih.gov/32521799/,10.3390/jcm9061788,32521799,The Effect of Probiotics and Synbiotics on Risk Factors Associated with Cardiometabolic Diseases in Healthy People-A Systematic Review and Meta-Analysis with Meta-Regression of Randomized Controlled Trials.,2020,Journal of clinical medicine,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:31780038,literature,PubMed,31780038,https://pubmed.ncbi.nlm.nih.gov/31780038/,10.1016/j.ctim.2019.102216,31780038,Clinical and psychological responses to synbiotic supplementation in obese or overweight adults: A randomized clinical trial.,2019,Complementary therapies in medicine,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:24795503,literature,PubMed,24795503,https://pubmed.ncbi.nlm.nih.gov/24795503/,10.1155/2014/348959,24795503,"Effect of probiotic (VSL#3) and omega-3 on lipid profile, insulin sensitivity, inflammatory markers, and gut colonization in overweight adults: a randomized, controlled trial.",2014,Mediators of inflammation,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:22695039,literature,PubMed,22695039,https://pubmed.ncbi.nlm.nih.gov/22695039/,10.1097/MPG.0b013e318263066c,22695039,Probiotics to adolescents with obesity: effects on inflammation and metabolic syndrome.,2012,Journal of pediatric gastroenterology and nutrition,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
