evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
PMID:42142662,literature,PubMed,42142662,https://pubmed.ncbi.nlm.nih.gov/42142662/,10.1016/j.tjnut.2026.101595,42142662,"The Effects of a Powdered Meal Replacement on Inflammation, Gut Microbiota, and Metabolism in People With Excess Body Weight-A Randomized Controlled Trial.",2026,The Journal of nutrition,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:41479657,literature,PubMed,41479657,https://pubmed.ncbi.nlm.nih.gov/41479657/,10.3389/fnut.2025.1718169,41479657,"Targeting gut microbiota with short-chain fructo-oligosaccharides prebiotic fibers to support metabolic health in overweight prediabetic adults: a randomized, double-blinded, placebo-controlled study.",2025,Frontiers in nutrition,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:40796902,literature,PubMed,40796902,https://pubmed.ncbi.nlm.nih.gov/40796902/,10.1186/s12986-025-00995-0,40796902,The effects of inulin supplementation on eating behaviours in children and adolescents with obesity: a randomized double-blinded placebo-controlled study.,2025,Nutrition & metabolism,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:40573158,literature,PubMed,40573158,https://pubmed.ncbi.nlm.nih.gov/40573158/,10.3390/nu17122047,40573158,Modulation of Gut Microbiota by Whole Encapsulated Brown Seaweed (Himanthalia elongata) in Overweight Subjects: A Randomized Double-Blind Placebo-Controlled Trial.,2025,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:40106235,literature,PubMed,40106235,https://pubmed.ncbi.nlm.nih.gov/40106235/,10.1089/chi.2024.0344,40106235,Childhood Obesity Body Mass Index and Gut Microbiome: A Cluster Randomized Controlled Pilot Feasibility Study.,2025,Childhood obesity (Print),needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:39033197,literature,PubMed,39033197,https://pubmed.ncbi.nlm.nih.gov/39033197/,10.1038/s41366-024-01590-8,39033197,Enhancing gut microbiota and microbial function with inulin supplementation in children with obesity.,2024,International journal of obesity (2005),needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:38713231,literature,PubMed,38713231,https://pubmed.ncbi.nlm.nih.gov/38713231/,10.1007/s00394-024-03415-w,38713231,"Effect of prebiotic fiber on physical function and gut microbiota in adults, mostly women, with knee osteoarthritis and obesity: a randomized controlled trial.",2024,European journal of nutrition,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:38612951,literature,PubMed,38612951,https://pubmed.ncbi.nlm.nih.gov/38612951/,10.3390/nu16070917,38612951,Effects of Soluble Dextrin Fiber from Potato Starch on Body Weight and Associated Gut Dysbiosis Are Evident in Western Diet-Fed Mice but Not in Overweight/Obese Children.,2024,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:37836532,literature,PubMed,37836532,https://pubmed.ncbi.nlm.nih.gov/37836532/,10.3390/nu15194248,37836532,Effects of Synbiotic Supplementation on Metabolic Syndrome Traits and Gut Microbial Profile among Overweight and Obese Hong Kong Chinese Individuals: A Randomized Trial.,2023,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:37793780,literature,PubMed,37793780,https://pubmed.ncbi.nlm.nih.gov/37793780/,10.1136/gutjnl-2023-330365,37793780,Prebiotic diet changes neural correlates of food decision-making in overweight adults: a randomised controlled within-subject cross-over trial.,2024,Gut,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:37709337,literature,PubMed,37709337,https://pubmed.ncbi.nlm.nih.gov/37709337/,10.1136/bmjopen-2022-070027,37709337,Impact of a Powdered Meal Replacement on Metabolism and Gut Microbiota (PREMIUM) in individuals with excessive body weight: a study protocol for a randomised controlled trial.,2023,BMJ open,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:37181156,literature,PubMed,37181156,https://pubmed.ncbi.nlm.nih.gov/37181156/,10.3389/fnut.2023.1108088,37181156,Supplementation with inulin-type fructans affects gut microbiota and attenuates some of the cardiometabolic benefits of a plant-based diet in individuals with overweight or obesity.,2023,Frontiers in nutrition,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:35807808,literature,PubMed,35807808,https://pubmed.ncbi.nlm.nih.gov/35807808/,10.3390/nu14132627,35807808,Prolonged Isolated Soluble Dietary Fibre Supplementation in Overweight and Obese Patients: A Systematic Review with Meta-Analysis of Randomised Controlled Trials.,2022,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:35267303,literature,PubMed,35267303,https://pubmed.ncbi.nlm.nih.gov/35267303/,10.3390/foods11050670,35267303,Agavins Impact on Gastrointestinal Tolerability-Related Symptoms during a Five-Week Dose-Escalation Intervention in Lean and Obese Mexican Adults: Exploratory Randomized Clinical Trial.,2022,"Foods (Basel, Switzerland)",needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:34959933,literature,PubMed,34959933,https://pubmed.ncbi.nlm.nih.gov/34959933/,10.3390/nu13124376,34959933,"A Comprehensive Review of Hass Avocado Clinical Trials, Observational Studies, and Biological Mechanisms.",2021,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:33827639,literature,PubMed,33827639,https://pubmed.ncbi.nlm.nih.gov/33827639/,10.1186/s13063-021-05212-w,33827639,"Effect of a prebiotic supplement on knee joint function, gut microbiota, and inflammation in adults with co-morbid obesity and knee osteoarthritis: study protocol for a randomized controlled trial.",2021,Trials,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:33544206,literature,PubMed,33544206,https://pubmed.ncbi.nlm.nih.gov/33544206/,10.1007/s00394-021-02484-5,33544206,Prebiotic dietary fibre intervention improves fecal markers related to inflammation in obese patients: results from the Food4Gut randomized placebo-controlled trial.,2021,European journal of nutrition,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:31298466,literature,PubMed,31298466,https://pubmed.ncbi.nlm.nih.gov/31298466/,10.1002/mnfr.201900167,31298466,Effect of Synbiotic Supplementation in a Very-Low-Calorie Ketogenic Diet on Weight Loss Achievement and Gut Microbiota: A Randomized Controlled Pilot Study.,2019,Molecular nutrition & food research,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:30846801,literature,PubMed,30846801,https://pubmed.ncbi.nlm.nih.gov/30846801/,10.1038/s41598-019-40601-x,30846801,Protective effect of prebiotic and exercise intervention on knee health in a rat model of diet-induced obesity.,2019,Scientific reports,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:30400274,literature,PubMed,30400274,https://pubmed.ncbi.nlm.nih.gov/30400274/,10.3390/nu10111645,30400274,Potential Prebiotic Properties of Nuts and Edible Seeds and Their Relationship to Obesity.,2018,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:29954454,literature,PubMed,29954454,https://pubmed.ncbi.nlm.nih.gov/29954454/,10.1186/s40168-018-0494-4,29954454,Probiotic Bifidobacterium strains and galactooligosaccharides improve intestinal barrier function in obese adults but show no synergism when used together as synbiotics.,2018,Microbiome,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:29953876,literature,PubMed,29953876,https://pubmed.ncbi.nlm.nih.gov/29953876/,10.1016/j.metabol.2018.06.009,29953876,The prebiotic inulin improves substrate metabolism and promotes short-chain fatty acid production in overweight to obese men.,2018,Metabolism: clinical and experimental,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:28396144,literature,PubMed,28396144,https://pubmed.ncbi.nlm.nih.gov/28396144/,10.1053/j.gastro.2017.03.051,28396144,"Supplementation of Diet With Galacto-oligosaccharides Increases Bifidobacteria, but Not Insulin Sensitivity, in Obese Prediabetic Individuals.",2017,Gastroenterology,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:27966574,literature,PubMed,27966574,https://pubmed.ncbi.nlm.nih.gov/27966574/,10.1038/ejcn.2016.249,27966574,Acute increases in serum colonic short-chain fatty acids elicited by inulin do not increase GLP-1 or PYY responses but may reduce ghrelin in lean and overweight humans.,2017,European journal of clinical nutrition,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:27810310,literature,PubMed,27810310,https://pubmed.ncbi.nlm.nih.gov/27810310/,10.1016/j.ebiom.2016.10.036,27810310,"Probiotic With or Without Fiber Controls Body Fat Mass, Associated With Serum Zonulin, in Overweight and Obese Adults-Randomized Controlled Trial.",2016,EBioMedicine,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:27409822,literature,PubMed,27409822,https://pubmed.ncbi.nlm.nih.gov/27409822/,10.4158/EP151157.RA,27409822,"GUT MICROBIOTA, PREBIOTICS, PROBIOTICS, AND SYNBIOTICS IN MANAGEMENT OF OBESITY AND PREDIABETES: REVIEW OF RANDOMIZED CONTROLLED TRIALS.",2016,Endocrine practice : official journal of the American College of Endocrinology and the American Association of Clinical Endocrinologists,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:26407845,literature,PubMed,26407845,https://pubmed.ncbi.nlm.nih.gov/26407845/,10.1007/s00394-015-1047-2,26407845,Postnatal prebiotic fibre intake mitigates some detrimental metabolic outcomes of early overnutrition in rats.,2016,European journal of nutrition,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:24532292,literature,PubMed,24532292,https://pubmed.ncbi.nlm.nih.gov/24532292/,10.1002/dmrr.2518,24532292,"Influence of diet on gut microbiota, inflammation and type 2 diabetes mellitus. First experience with macrobiotic Ma-Pi 2 diet.",2014,Diabetes/metabolism research and reviews,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
