evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
PMID:42169267,literature,PubMed,42169267,https://pubmed.ncbi.nlm.nih.gov/42169267/,10.1016/j.foodres.2026.119290,42169267,"Type I corn resistant starch attenuates obesity in high-fat diet-induced mice by modulating the gut microbiota, appetite and lipid metabolism genes.",2026,"Food research international (Ottawa, Ont.)",needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41743894,literature,PubMed,41743894,https://pubmed.ncbi.nlm.nih.gov/41743894/,10.1007/s40200-026-01887-7,41743894,Enteroendocrine hormones and gut microbiota in obesity: a systematic review from mechanistic insight to precision metabolic care.,2026,Journal of diabetes and metabolic disorders,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41717546,literature,PubMed,41717546,https://pubmed.ncbi.nlm.nih.gov/41717546/,10.3389/fendo.2026.1680182,41717546,The effect of combining surgical or endoscopic bariatric interventions with anti-obesity medication or probiotics on weight loss: a narrative review.,2026,Frontiers in endocrinology,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41469282,literature,PubMed,41469282,https://pubmed.ncbi.nlm.nih.gov/41469282/,10.1016/j.soard.2025.11.021,41469282,"American Society of Metabolic and Bariatric Surgery review of gut microbiome and alterations related to weight loss treatment, by the Clinical Issues Committee.",2026,Surgery for obesity and related diseases : official journal of the American Society for Bariatric Surgery,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41393538,literature,PubMed,41393538,https://pubmed.ncbi.nlm.nih.gov/41393538/,10.7759/cureus.96713,41393538,The Obesity Drug Revolution: New Frontiers in Pharmacotherapy.,2025,Cureus,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41372103,literature,PubMed,41372103,https://pubmed.ncbi.nlm.nih.gov/41372103/,10.1111/obr.70037,41372103,Impacts of Lifestyle and Microbiota-Targeted Interventions for Overweight and Obesity on the Human Gut Microbiome: A Systematic Review.,2026,Obesity reviews : an official journal of the International Association for the Study of Obesity,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41321998,literature,PubMed,41321998,https://pubmed.ncbi.nlm.nih.gov/41321998/,10.1016/j.csbj.2025.11.021,41321998,Gut microbiome enterotypes and temporal variations during a six-month inulin-supplemented weight loss randomized controlled trial in Thai children with obesity.,2025,Computational and structural biotechnology journal,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41313537,literature,PubMed,41313537,https://pubmed.ncbi.nlm.nih.gov/41313537/,10.1007/s12602-025-10855-1,41313537,"Gut Microbiome in Obesity: A Narrative Review of Mechanisms, Interventions, and Future Directions.",2025,Probiotics and antimicrobial proteins,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:41216275,literature,PubMed,41216275,https://pubmed.ncbi.nlm.nih.gov/41216275/,10.21037/tgh-24-161,41216275,Impact of Lactobacillus acidophilus and inulin on the liver disease of an obese murine model.,2025,Translational gastroenterology and hepatology,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:40732984,literature,PubMed,40732984,https://pubmed.ncbi.nlm.nih.gov/40732984/,10.3390/nu17142360,40732984,Gut Microbiota Shifts After a Weight Loss Program in Adults with Obesity: The WLM3P Study.,2025,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:40725626,literature,PubMed,40725626,https://pubmed.ncbi.nlm.nih.gov/40725626/,10.3390/jcm14144933,40725626,The Role of Gut Microbiota in the Development and Treatment of Obesity and Overweight: A Literature Review.,2025,Journal of clinical medicine,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:40573134,literature,PubMed,40573134,https://pubmed.ncbi.nlm.nih.gov/40573134/,10.3390/nu17122023,40573134,Combined Phytochemical Sulforaphane and Dietary Fiber Inulin Contribute to the Prevention of ER-Negative Breast Cancer via PI3K/AKT/MTOR Pathway and Modulating Gut Microbial Composition.,2025,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:40284712,literature,PubMed,40284712,https://pubmed.ncbi.nlm.nih.gov/40284712/,10.3390/microorganisms13040877,40284712,"Prebiotic Effects of Insoluble Konjac Glucomannan Derived from Edible ""Konnyaku"" on Weight Control.",2025,Microorganisms,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:40192559,literature,PubMed,40192559,https://pubmed.ncbi.nlm.nih.gov/40192559/,10.1089/jmf.2023.0233,40192559,The Effect of Prebiotics and Probiotics (Synbiotics) on Weight Loss and Biochemical Parameters in Obese Individuals.,2025,Journal of medicinal food,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:40025880,literature,PubMed,40025880,https://pubmed.ncbi.nlm.nih.gov/40025880/,10.1080/17501911.2025.2473309,40025880,Epigenomic mechanisms of dietary prescriptions for obesity therapy.,2025,Epigenomics,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:39981988,literature,PubMed,39981988,https://pubmed.ncbi.nlm.nih.gov/39981988/,10.1002/mnfr.202400806,39981988,"Nutraceutical Blends Promote Weight Loss, Inflammation Reduction, and Better Sleep: The Role of Faecalibacterium prausnitzii in Overweight Adults-A Double-Blind Trial.",2025,Molecular nutrition & food research,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:39914371,literature,PubMed,39914371,https://pubmed.ncbi.nlm.nih.gov/39914371/,10.1159/000541711,39914371,Breastfeeding and Health Benefits for the Mother-Infant Dyad: A Perspective on Human Milk Microbiota.,2025,Annals of nutrition & metabolism,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:39710683,literature,PubMed,39710683,https://pubmed.ncbi.nlm.nih.gov/39710683/,10.1186/s13098-024-01561-z,39710683,Understanding the complex function of gut microbiota: its impact on the pathogenesis of obesity and beyond: a comprehensive review.,2024,Diabetology & metabolic syndrome,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:39656675,literature,PubMed,39656675,https://pubmed.ncbi.nlm.nih.gov/39656675/,10.1111/1750-3841.17564,39656675,Polysaccharides from fermented garlic attenuate high-fat diet-induced obesity in mice through gut microbes.,2024,Journal of food science,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:39503979,literature,PubMed,39503979,https://pubmed.ncbi.nlm.nih.gov/39503979/,10.1007/s12602-024-10395-0,39503979,Synbiotic Effects of Lacticaseibacillus paracasei K56 and Prebiotics on the Intestinal Microecology of Children with Obesity.,2025,Probiotics and antimicrobial proteins,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:39400776,literature,PubMed,39400776,https://pubmed.ncbi.nlm.nih.gov/39400776/,10.1186/s13568-024-01769-2,39400776,Impact of bariatric surgery on gut microbiota composition in obese patients compared to healthy controls.,2024,AMB Express,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:39200335,literature,PubMed,39200335,https://pubmed.ncbi.nlm.nih.gov/39200335/,10.3390/biomedicines12081871,39200335,The Role of Fecal Microbiota Transplantation (FMT) in the Management of Metabolic Diseases in Humans: A Narrative Review.,2024,Biomedicines,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:39125666,literature,PubMed,39125666,https://pubmed.ncbi.nlm.nih.gov/39125666/,10.3390/ijms25158098,39125666,Metabolic Syndrome and Psoriasis: Pivotal Roles of Chronic Inflammation and Gut Microbiota.,2024,International journal of molecular sciences,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:39064763,literature,PubMed,39064763,https://pubmed.ncbi.nlm.nih.gov/39064763/,10.3390/nu16142321,39064763,Impact of a Fruit-Vegetable Preparation Fortified with Potato Starch Resistant Dextrin on Selected Health Indicators in Overweight Children.,2024,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:38946112,literature,PubMed,38946112,https://pubmed.ncbi.nlm.nih.gov/38946112/,10.1111/1751-7915.14520,38946112,Role of breastfeeding in disease prevention.,2024,Microbial biotechnology,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:38940505,literature,PubMed,38940505,https://pubmed.ncbi.nlm.nih.gov/38940505/,10.1128/cmr.00045-23,38940505,Role of the intestinal microbiota in contributing to weight disorders and associated comorbidities.,2024,Clinical microbiology reviews,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:38744950,literature,PubMed,38744950,https://pubmed.ncbi.nlm.nih.gov/38744950/,10.1038/s41598-024-61130-2,38744950,"Effect of weight loss program using prebiotics and probiotics on body composition, physique, and metabolic products: longitudinal intervention study.",2024,Scientific reports,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:38612951,literature,PubMed,38612951,https://pubmed.ncbi.nlm.nih.gov/38612951/,10.3390/nu16070917,38612951,Effects of Soluble Dextrin Fiber from Potato Starch on Body Weight and Associated Gut Dysbiosis Are Evident in Western Diet-Fed Mice but Not in Overweight/Obese Children.,2024,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:38068829,literature,PubMed,38068829,https://pubmed.ncbi.nlm.nih.gov/38068829/,10.3390/nu15234971,38068829,Combating Obesity: Harnessing the Synergy of Postbiotics and Prebiotics for Enhanced Lipid Excretion and Microbiota Regulation.,2023,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
PMID:37840104,literature,PubMed,37840104,https://pubmed.ncbi.nlm.nih.gov/37840104/,10.1007/s11154-023-09843-z,37840104,Non-alcoholic fatty liver disease and gut microbial dysbiosis- underlying mechanisms and gut microbiota mediated treatment strategies.,2023,Reviews in endocrine & metabolic disorders,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search,2026-05-26
