evidence_id,evidence_type,source_database,source_accession,source_url,doi,pmid,title,year,journal,study_design,data_field_supported,extraction_note,curator,extraction_date
PMID:41978077,literature,PubMed,41978077,https://pubmed.ncbi.nlm.nih.gov/41978077/,10.3390/nu18071025,41978077,"Modulation of Glucose Homeostasis, Metabolic Endotoxemia and Circulating Short-Chain Fatty Acids Following Multi-Species Probiotic Supplementation: Findings from a 12-Week Randomised Placebo-Controlled Trial.",2026,Nutrients,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:41783752,literature,PubMed,41783752,https://pubmed.ncbi.nlm.nih.gov/41783752/,10.2147/IJWH.S589117,41783752,Gut Microbiota Has the Potential to Improve Sarcopenic Obesity in Menopausal Women by Regulating Estrogen.,2026,International journal of women's health,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:41743894,literature,PubMed,41743894,https://pubmed.ncbi.nlm.nih.gov/41743894/,10.1007/s40200-026-01887-7,41743894,Enteroendocrine hormones and gut microbiota in obesity: a systematic review from mechanistic insight to precision metabolic care.,2026,Journal of diabetes and metabolic disorders,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:41520880,literature,PubMed,41520880,https://pubmed.ncbi.nlm.nih.gov/41520880/,10.1016/j.clnesp.2026.102911,41520880,The role of the gut microbiome in childhood obesity: Mechanistic insights and community-based interventions.,2026,Clinical nutrition ESPEN,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:41455007,literature,PubMed,41455007,https://pubmed.ncbi.nlm.nih.gov/41455007/,10.1007/s12602-025-10885-9,41455007,"Bifidobacterium Breve BBr60 Improves Obesity Via the Gut Microbiota-Short-Chain Fatty Acid-IL-27/GLP-1 Axis: Evidence from a Randomized, Double-Blind, Placebo-Controlled Trial.",2025,Probiotics and antimicrobial proteins,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:41017972,literature,PubMed,41017972,https://pubmed.ncbi.nlm.nih.gov/41017972/,10.3389/fnins.2025.1650807,41017972,Akkermansia muciniphila in neurological disorders: mechanisms and therapeutic potential via the gut-brain axis.,2025,Frontiers in neuroscience,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:40637175,literature,PubMed,40637175,https://pubmed.ncbi.nlm.nih.gov/40637175/,10.1002/14651858.CD015875,40637175,Gut microbiome-based interventions for the management of obesity in children and adolescents aged up to 19 years.,2025,The Cochrane database of systematic reviews,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:39568738,literature,PubMed,39568738,https://pubmed.ncbi.nlm.nih.gov/39568738/,10.3389/fmed.2024.1477882,39568738,Gut dysbiosis mediates the association between antibiotic exposure and chronic disease.,2024,Frontiers in medicine,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:39454570,literature,PubMed,39454570,https://pubmed.ncbi.nlm.nih.gov/39454570/,10.1016/j.xcrm.2024.101801,39454570,Effects of healthy low-carbohydrate diet and time-restricted eating on weight and gut microbiome in adults with overweight or obesity: Feeding RCT.,2024,Cell reports. Medicine,needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
PMID:39410163,literature,PubMed,39410163,https://pubmed.ncbi.nlm.nih.gov/39410163/,10.3390/foods13193128,39410163,"Effects of a Sorghum Beverage with Lacticaseibacillus paracasei on Body Composition, Lipid Profiles, and Intestinal Health in Overweight and Obese Adults: A Randomized Single-Blind Pilot Study.",2024,"Foods (Basel, Switzerland)",needs_manual_review,evidence_registry,Auto-collected from PubMed E-utilities; requires manual review.,auto_search_expansion,2026-06-06
