candidate_id,search_query,source_database,source_accession,source_url,organism_name,assembly_name,assembly_level,refseq_category,taxid,submitter,release_date,query_match_score,manual_review_flag,extraction_note,curator,extraction_date,file
ASSEMBLY:GCF_052377865.1,Akkermansia muciniphila,NCBI Genome,GCF_052377865.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_052377865.1/,Akkermansia muciniphila (verrucomicrobia),ASM5237786v1,Complete Genome,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_046529175.1,Akkermansia muciniphila,NCBI Genome,GCA_046529175.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_046529175.1/,Akkermansia muciniphila (verrucomicrobia),HMI_HM1-1,Complete Genome,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCF_045257715.1,Akkermansia muciniphila,NCBI Genome,GCF_045257715.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_045257715.1/,Akkermansia muciniphila (verrucomicrobia),ASM4525771v1,Chromosome,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCF_040616545.1,Akkermansia muciniphila,NCBI Genome,GCF_040616545.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_040616545.1/,Akkermansia muciniphila (verrucomicrobia),ASM4061654v1,Complete Genome,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCF_036796995.1,Akkermansia muciniphila,NCBI Genome,GCF_036796995.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_036796995.1/,Akkermansia muciniphila (verrucomicrobia),ASM3679699v1,Complete Genome,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_057611095.1,Akkermansia muciniphila,NCBI Genome,GCA_057611095.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_057611095.1/,Akkermansia muciniphila (verrucomicrobia),ASM5761109v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_057610655.1,Akkermansia muciniphila,NCBI Genome,GCA_057610655.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_057610655.1/,Akkermansia muciniphila (verrucomicrobia),ASM5761065v1,Contig,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_057608645.1,Akkermansia muciniphila,NCBI Genome,GCA_057608645.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_057608645.1/,Akkermansia muciniphila (verrucomicrobia),ASM5760864v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_057607145.1,Akkermansia muciniphila,NCBI Genome,GCA_057607145.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_057607145.1/,Akkermansia muciniphila (verrucomicrobia),ASM5760714v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_057598045.1,Akkermansia muciniphila,NCBI Genome,GCA_057598045.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_057598045.1/,Akkermansia muciniphila (verrucomicrobia),ASM5759804v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
ASSEMBLY:GCA_057597325.1,Akkermansia muciniphila,NCBI Genome,GCA_057597325.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_057597325.1/,Akkermansia muciniphila (verrucomicrobia),ASM5759732v1,Scaffold,na,239935,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26,data\strain_genome\ncbi_assembly_akkermansia_muciniphila_candidates.csv
