candidate_id,search_query,source_database,source_accession,source_url,organism_name,assembly_name,assembly_level,refseq_category,taxid,submitter,release_date,query_match_score,manual_review_flag,extraction_note,curator,extraction_date
ASSEMBLY:GCF_047716595.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_047716595.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_047716595.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4771659v1,Complete Genome,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_047716585.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_047716585.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_047716585.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4771658v1,Complete Genome,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_047716195.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_047716195.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_047716195.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4771619v1,Complete Genome,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_047716185.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_047716185.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_047716185.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4771618v1,Complete Genome,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_047716175.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_047716175.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_047716175.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4771617v1,Complete Genome,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_047716145.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_047716145.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_047716145.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4771614v1,Complete Genome,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_047716135.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_047716135.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_047716135.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4771613v1,Complete Genome,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_047716125.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_047716125.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_047716125.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4771612v1,Complete Genome,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_047716085.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_047716085.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_047716085.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4771608v1,Complete Genome,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_047716095.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_047716095.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_047716095.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4771609v1,Complete Genome,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_047716075.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_047716075.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_047716075.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4771607v1,Complete Genome,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_047716065.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_047716065.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_047716065.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4771606v1,Complete Genome,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_047716045.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_047716045.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_047716045.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4771604v1,Complete Genome,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_044866785.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_044866785.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_044866785.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4486678v1,Complete Genome,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_044502405.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_044502405.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_044502405.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4450240v1,Complete Genome,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_040084745.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_040084745.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_040084745.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),BGI-N3_B.animalis_subsp. lactis_v1,Chromosome,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_038086955.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_038086955.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_038086955.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM3808695v1,Complete Genome,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_036923305.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_036923305.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_036923305.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM3692330v1,Complete Genome,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_000172535.2,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_000172535.2,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000172535.2/,Bifidobacterium animalis subsp. lactis HN019 (high G+C Gram-positive bacteria),ASM17253v2,Complete Genome,na,486409,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_054604265.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_054604265.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_054604265.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM5460426v1,Complete Genome,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_054072915.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_054072915.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_054072915.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM5407291v1,Complete Genome,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_049204815.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_049204815.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_049204815.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4920481v1,Contig,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_049204795.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_049204795.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_049204795.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4920479v1,Contig,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_049192035.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_049192035.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_049192035.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4919203v1,Contig,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_049192025.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_049192025.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_049192025.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4919202v1,Contig,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_049192005.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_049192005.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_049192005.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4919200v1,Contig,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_049191975.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_049191975.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_049191975.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4919197v1,Contig,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_049191795.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_049191795.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_049191795.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4919179v1,Contig,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_049191485.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_049191485.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_049191485.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4919148v1,Contig,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_040795585.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_040795585.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_040795585.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4079558v1,Contig,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_040795545.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_040795545.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_040795545.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4079554v1,Contig,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_040795525.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_040795525.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_040795525.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4079552v1,Contig,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_040795505.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_040795505.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_040795505.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4079550v1,Contig,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_040795485.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_040795485.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_040795485.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4079548v1,Contig,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_040795465.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_040795465.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_040795465.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4079546v1,Contig,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_040795425.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_040795425.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_040795425.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4079542v1,Contig,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_040795435.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_040795435.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_040795435.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4079543v1,Contig,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_040795405.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_040795405.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_040795405.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4079540v1,Contig,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_040425675.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_040425675.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_040425675.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4042567v1,Contig,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_040151175.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_040151175.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_040151175.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4015117v1,Contig,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_040151095.1,Bifidobacterium animalis subsp. lactis,NCBI Genome,GCF_040151095.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_040151095.1/,Bifidobacterium animalis subsp. lactis (high G+C Gram-positive bacteria),ASM4015109v1,Contig,na,302911,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
