candidate_id,search_query,source_database,source_accession,source_url,organism_name,assembly_name,assembly_level,refseq_category,taxid,submitter,release_date,query_match_score,manual_review_flag,extraction_note,curator,extraction_date
ASSEMBLY:GCF_965614495.1,Lacticaseibacillus rhamnosus,NCBI Genome,GCF_965614495.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_965614495.1/,Lacticaseibacillus rhamnosus (firmicutes),LRE052741_assembly,Complete Genome,na,47715,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_054131685.1,Lacticaseibacillus rhamnosus,NCBI Genome,GCF_054131685.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_054131685.1/,Lacticaseibacillus rhamnosus (firmicutes),ASM5413168v1,Complete Genome,na,47715,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_052567965.1,Lacticaseibacillus rhamnosus,NCBI Genome,GCF_052567965.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_052567965.1/,Lacticaseibacillus rhamnosus (firmicutes),ASM5256796v1,Complete Genome,na,47715,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_051549825.1,Lacticaseibacillus rhamnosus,NCBI Genome,GCF_051549825.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_051549825.1/,Lacticaseibacillus rhamnosus (firmicutes),ASM5154982v1,Complete Genome,na,47715,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_051200805.1,Lacticaseibacillus rhamnosus,NCBI Genome,GCF_051200805.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_051200805.1/,Lacticaseibacillus rhamnosus (firmicutes),ASM5120080v1,Complete Genome,na,47715,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_051123815.1,Lacticaseibacillus rhamnosus,NCBI Genome,GCF_051123815.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_051123815.1/,Lacticaseibacillus rhamnosus (firmicutes),ASM5112381v1,Complete Genome,na,47715,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_050706795.1,Lacticaseibacillus rhamnosus,NCBI Genome,GCF_050706795.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_050706795.1/,Lacticaseibacillus rhamnosus (firmicutes),ASM5070679v1,Complete Genome,na,47715,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_050367955.1,Lacticaseibacillus rhamnosus,NCBI Genome,GCF_050367955.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_050367955.1/,Lacticaseibacillus rhamnosus (firmicutes),ASM5036795v1,Complete Genome,na,47715,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_049810295.1,Lacticaseibacillus rhamnosus,NCBI Genome,GCF_049810295.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_049810295.1/,Lacticaseibacillus rhamnosus GG (firmicutes),ASM4981029v1,Chromosome,na,568703,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_048629835.1,Lacticaseibacillus rhamnosus,NCBI Genome,GCF_048629835.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_048629835.1/,Lacticaseibacillus rhamnosus (firmicutes),ASM4862983v1,Complete Genome,na,47715,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_048629795.1,Lacticaseibacillus rhamnosus,NCBI Genome,GCF_048629795.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_048629795.1/,Lacticaseibacillus rhamnosus (firmicutes),ASM4862979v1,Complete Genome,na,47715,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
