candidate_id,search_query,source_database,source_accession,source_url,organism_name,assembly_name,assembly_level,refseq_category,taxid,submitter,release_date,query_match_score,manual_review_flag,extraction_note,curator,extraction_date
ASSEMBLY:GCF_057457675.1,Lactiplantibacillus plantarum KABP051,NCBI Genome,GCF_057457675.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_057457675.1/,Lactiplantibacillus plantarum (firmicutes),ASM5745767v1,Complete Genome,na,1590,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_057418965.1,Lactiplantibacillus plantarum KABP051,NCBI Genome,GCF_057418965.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_057418965.1/,Lactiplantibacillus plantarum (firmicutes),ASM5741896v1,Complete Genome,na,1590,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCA_057418635.1,Lactiplantibacillus plantarum KABP051,NCBI Genome,GCA_057418635.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_057418635.1/,Lactiplantibacillus plantarum (firmicutes),ASM5741863v1,Complete Genome,na,1590,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_057418625.1,Lactiplantibacillus plantarum KABP051,NCBI Genome,GCF_057418625.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_057418625.1/,Lactiplantibacillus plantarum (firmicutes),ASM5741862v1,Complete Genome,na,1590,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_057418615.1,Lactiplantibacillus plantarum KABP051,NCBI Genome,GCF_057418615.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_057418615.1/,Lactiplantibacillus plantarum (firmicutes),ASM5741861v1,Complete Genome,na,1590,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_057418565.1,Lactiplantibacillus plantarum KABP051,NCBI Genome,GCF_057418565.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_057418565.1/,Lactiplantibacillus plantarum (firmicutes),ASM5741856v1,Complete Genome,na,1590,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_057418535.1,Lactiplantibacillus plantarum KABP051,NCBI Genome,GCF_057418535.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_057418535.1/,Lactiplantibacillus plantarum (firmicutes),ASM5741853v1,Complete Genome,na,1590,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_057365125.1,Lactiplantibacillus plantarum KABP051,NCBI Genome,GCF_057365125.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_057365125.1/,Lactiplantibacillus plantarum (firmicutes),ASM5736512v1,Complete Genome,na,1590,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_057074005.1,Lactiplantibacillus plantarum KABP051,NCBI Genome,GCF_057074005.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_057074005.1/,Lactiplantibacillus plantarum (firmicutes),ASM5707400v1,Complete Genome,na,1590,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_057073965.1,Lactiplantibacillus plantarum KABP051,NCBI Genome,GCF_057073965.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_057073965.1/,Lactiplantibacillus plantarum (firmicutes),ASM5707396v1,Complete Genome,na,1590,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_057073535.1,Lactiplantibacillus plantarum KABP051,NCBI Genome,GCF_057073535.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_057073535.1/,Lactiplantibacillus plantarum (firmicutes),ASM5707353v1,Complete Genome,na,1590,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_057073525.1,Lactiplantibacillus plantarum KABP051,NCBI Genome,GCF_057073525.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_057073525.1/,Lactiplantibacillus plantarum (firmicutes),ASM5707352v1,Complete Genome,na,1590,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_057073515.1,Lactiplantibacillus plantarum KABP051,NCBI Genome,GCF_057073515.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_057073515.1/,Lactiplantibacillus plantarum (firmicutes),ASM5707351v1,Complete Genome,na,1590,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_982554065.1,Lactiplantibacillus plantarum KABP051,NCBI Genome,GCF_982554065.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_982554065.1/,Lactiplantibacillus plantarum (firmicutes),Lactiplantibacillus_plantarum_FME300,Complete Genome,na,1590,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_982553985.1,Lactiplantibacillus plantarum KABP051,NCBI Genome,GCF_982553985.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_982553985.1/,Lactiplantibacillus plantarum (firmicutes),Lactiplantibacillus_plantarum_FME301,Complete Genome,na,1590,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_982553825.1,Lactiplantibacillus plantarum KABP051,NCBI Genome,GCF_982553825.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_982553825.1/,Lactiplantibacillus plantarum (firmicutes),Lactiplantibacillus_plantarum_BMG.96,Complete Genome,na,1590,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCA_982553815.1,Lactiplantibacillus plantarum KABP051,NCBI Genome,GCA_982553815.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_982553815.1/,Lactiplantibacillus plantarum (firmicutes),Lactiplantibacillus_plantarum_BMG.163,Complete Genome,na,1590,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_056739195.1,Lactiplantibacillus plantarum KABP051,NCBI Genome,GCF_056739195.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_056739195.1/,Lactiplantibacillus plantarum (firmicutes),ASM5673919v1,Complete Genome,na,1590,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCA_056644985.1,Lactiplantibacillus plantarum KABP051,NCBI Genome,GCA_056644985.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_056644985.1/,Lactiplantibacillus plantarum (firmicutes),ASM5664498v1,Complete Genome,na,1590,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCA_055381955.1,Lactiplantibacillus plantarum KABP051,NCBI Genome,GCA_055381955.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_055381955.1/,Lactiplantibacillus plantarum (firmicutes),ASM5538195v1,Complete Genome,na,1590,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_965286275.1,Lactiplantibacillus plantarum KABP051,NCBI Genome,GCF_965286275.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_965286275.1/,Lactiplantibacillus plantarum (firmicutes),LPE78076_assembly,Complete Genome,na,1590,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_965286495.1,Lactiplantibacillus plantarum KABP051,NCBI Genome,GCF_965286495.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_965286495.1/,Lactiplantibacillus plantarum (firmicutes),LPHFIBB082_assembly,Complete Genome,na,1590,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_965286415.1,Lactiplantibacillus plantarum KABP051,NCBI Genome,GCF_965286415.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_965286415.1/,Lactiplantibacillus plantarum (firmicutes),LP2MM1_assembly,Complete Genome,na,1590,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_965286625.1,Lactiplantibacillus plantarum KABP051,NCBI Genome,GCF_965286625.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_965286625.1/,Lactiplantibacillus plantarum (firmicutes),LPIBBBR9_assembly,Complete Genome,na,1590,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_054695985.1,Lactiplantibacillus plantarum KABP051,NCBI Genome,GCF_054695985.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_054695985.1/,Lactiplantibacillus plantarum (firmicutes),ASM5469598v1,Complete Genome,na,1590,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_052692615.1,Lactiplantibacillus plantarum KABP051,NCBI Genome,GCF_052692615.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_052692615.1/,Lactiplantibacillus plantarum (firmicutes),ASM5269261v1,Complete Genome,na,1590,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_052692365.1,Lactiplantibacillus plantarum KABP051,NCBI Genome,GCF_052692365.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_052692365.1/,Lactiplantibacillus plantarum (firmicutes),ASM5269236v1,Complete Genome,na,1590,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCA_052495795.1,Lactiplantibacillus plantarum KABP051,NCBI Genome,GCA_052495795.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_052495795.1/,Lactiplantibacillus plantarum (firmicutes),ASM5249579v1,Complete Genome,na,1590,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
