candidate_id,search_query,source_database,source_accession,source_url,organism_name,assembly_name,assembly_level,refseq_category,taxid,submitter,release_date,query_match_score,manual_review_flag,extraction_note,curator,extraction_date
ASSEMBLY:GCF_056530455.1,Lactobacillus fermentum,NCBI Genome,GCF_056530455.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_056530455.1/,Limosilactobacillus fermentum (firmicutes),ASM5653045v1,Complete Genome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_055797455.1,Lactobacillus fermentum,NCBI Genome,GCF_055797455.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_055797455.1/,Limosilactobacillus fermentum (firmicutes),ASM5579745v1,Complete Genome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_965286585.1,Lactobacillus fermentum,NCBI Genome,GCF_965286585.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_965286585.1/,Limosilactobacillus fermentum (firmicutes),LFHFIBB205_assembly,Complete Genome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_052784075.1,Lactobacillus fermentum,NCBI Genome,GCF_052784075.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_052784075.1/,Limosilactobacillus fermentum (firmicutes),ASM5278407v1,Complete Genome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_052084705.1,Lactobacillus fermentum,NCBI Genome,GCF_052084705.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_052084705.1/,Limosilactobacillus fermentum (firmicutes),ASM5208470v1,Chromosome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCA_051903025.1,Lactobacillus fermentum,NCBI Genome,GCA_051903025.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_051903025.1/,Limosilactobacillus fermentum (firmicutes),ASM5190302v1,Complete Genome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_051628875.1,Lactobacillus fermentum,NCBI Genome,GCF_051628875.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_051628875.1/,Limosilactobacillus fermentum (firmicutes),ASM5162887v1,Complete Genome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_051095625.1,Lactobacillus fermentum,NCBI Genome,GCF_051095625.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_051095625.1/,Limosilactobacillus fermentum (firmicutes),Lactobacillus fermentum XJC21,Chromosome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_051094935.1,Lactobacillus fermentum,NCBI Genome,GCF_051094935.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_051094935.1/,Limosilactobacillus fermentum (firmicutes),ASM5109493v1,Complete Genome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_051094845.1,Lactobacillus fermentum,NCBI Genome,GCF_051094845.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_051094845.1/,Limosilactobacillus fermentum (firmicutes),ASM5109484v1,Complete Genome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_051045955.1,Lactobacillus fermentum,NCBI Genome,GCF_051045955.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_051045955.1/,Limosilactobacillus fermentum (firmicutes),ASM5104595v1,Complete Genome,na,1613,,,1.0,query_terms_matched,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
