candidate_id,search_query,source_database,source_accession,source_url,organism_name,assembly_name,assembly_level,refseq_category,taxid,submitter,release_date,query_match_score,manual_review_flag,extraction_note,curator,extraction_date
ASSEMBLY:GCA_056826305.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCA_056826305.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_056826305.1/,Lactobacillus gasseri (firmicutes),ASM5682630v1,Complete Genome,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_050706785.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_050706785.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_050706785.1/,Lactobacillus gasseri (firmicutes),ASM5070678v1,Complete Genome,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_048961775.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_048961775.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_048961775.1/,Lactobacillus gasseri (firmicutes),ASM4896177v1,Chromosome,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_046837765.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_046837765.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_046837765.1/,Lactobacillus gasseri (firmicutes),ASM4683776v1,Complete Genome,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_045270855.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_045270855.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_045270855.1/,Lactobacillus gasseri (firmicutes),ASM4527085v1,Chromosome,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_040819595.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_040819595.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_040819595.1/,Lactobacillus gasseri (firmicutes),ASM4081959v1,Complete Genome,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_040267755.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_040267755.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_040267755.1/,Lactobacillus gasseri (firmicutes),ASM4026775v1,Complete Genome,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_040050875.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_040050875.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_040050875.1/,Lactobacillus gasseri (firmicutes),ASM4005087v1,Complete Genome,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_037414355.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_037414355.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_037414355.1/,Lactobacillus gasseri (firmicutes),ASM3741435v1,Complete Genome,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_037100225.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_037100225.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_037100225.1/,Lactobacillus gasseri (firmicutes),ASM3710022v1,Complete Genome,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
ASSEMBLY:GCF_057524265.1,Lactobacillus gasseri SBT2055,NCBI Genome,GCF_057524265.1,https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_057524265.1/,Lactobacillus gasseri (firmicutes),ASM5752426v1,Contig,na,1596,,,0.667,needs_strain_confirmation,Auto-collected from NCBI Assembly E-utilities; requires manual review.,auto_search,2026-05-26
