species,genus,mean_abs_shap,abundance_shap_corr,rationale,safety_gate
Bacteroides_intestinalis,Bacteroides,0.1089602067821967,-0.928452100375696,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Eubacterium_eligens,Eubacterium,0.1058786551117988,-0.9031561987694352,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Roseburia_sp_CAG_303,Roseburia,0.0985360341856728,-0.9493369705671636,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Anaerostipes_hadrus,Anaerostipes,0.0868272345156963,-0.5455056884446456,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Phascolarctobacterium_faecium,Phascolarctobacterium,0.0693825121265142,-0.935670794535097,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Bacteroides_plebeius,Bacteroides,0.0622509745763043,-0.9240710092859472,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Parabacteroides_goldsteinii,Parabacteroides,0.0491898996359692,-0.8590757447932958,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Blautia_obeum,Blautia,0.0403871934509854,-0.7266917253843233,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Bacteroides_coprocola,Bacteroides,0.0401742850543602,-0.8943239280196099,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Parabacteroides_distasonis,Parabacteroides,0.0394998259398935,-0.7787727017605942,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Bacteroides_xylanisolvens,Bacteroides,0.0368208272339937,-0.7657249747994956,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Roseburia_sp_CAG_471,Roseburia,0.0337756560516318,-0.732326453740899,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Blautia_wexlerae,Blautia,0.0315125130230631,-0.4829313353235551,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Faecalibacterium_prausnitzii,Faecalibacterium,0.0309950963682594,-0.8575513262490991,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Coprococcus_catus,Coprococcus,0.0274301834200637,-0.492450656189928,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Bacteroides_massiliensis,Bacteroides,0.0216500369812276,-0.6686132501686635,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Bacteroides_stercoris,Bacteroides,0.0167694964033467,-0.5421112071502484,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Bacteroides_caccae,Bacteroides,0.0138099623718219,-0.5830231534435131,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Bacteroides_dorei,Bacteroides,0.0130934242789901,-0.1606424549095925,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Bacteroides_ovatus,Bacteroides,0.012053516273744,-0.5799789846563677,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Roseburia_sp_CAG_309,Roseburia,0.0100995340062687,-0.5416089996541684,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Bacteroides_thetaiotaomicron,Bacteroides,0.0084047920400324,-0.1251962215777943,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Bacteroides_galacturonicus,Bacteroides,0.0083871529163196,-0.5965268194256109,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Coprococcus_eutactus,Coprococcus,0.0083798420300549,-0.8189225014783073,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Parabacteroides_merdae,Parabacteroides,0.0074426806826191,-0.2831227876738584,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Bacteroides_cellulosilyticus,Bacteroides,0.0059590625806217,-0.2062493894859104,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Bacteroides_salyersiae,Bacteroides,0.0055819252680197,-0.093997447716135,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Eubacterium_siraeum,Eubacterium,0.0040303233110117,-0.5729257169722952,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Roseburia_hominis,Roseburia,0.0024147975870741,-0.3502595656660724,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Bacteroides_faecis,Bacteroides,0.0023504802027875,-0.0476200043142113,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Bacteroides_nordii,Bacteroides,0.0,,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Roseburia_sp_CAG_182,Roseburia,0.0,,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Blautia_hydrogenotrophica,Blautia,0.0,,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Eubacterium_sp_OM08_24,Eubacterium,0.0,,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
Eubacterium_sp_CAG_251,Eubacterium,0.0,,restore depleted protective commensal (SHAP-ranked); NGP - requires genome safety gate,pending_genome_safety
