species,genus,category,source,obesity_signal,shap_importance,bsh_potential,butyrate_scfa_potential,mucin_interaction,safety_tier,clinical_evidence,priority_tier
Lacticaseibacillus_paracasei,Lacticaseibacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,2,0,1,qps_gras_lower_barrier,yes,A_clinical_evidence
Lactiplantibacillus_plantarum,Lactiplantibacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,2,0,1,qps_gras_lower_barrier,yes,A_clinical_evidence
Bifidobacterium_breve,Bifidobacterium,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,1,0,1,qps_gras_lower_barrier,yes,A_clinical_evidence
Bifidobacterium_longum,Bifidobacterium,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.1703,1,0,1,qps_gras_lower_barrier,yes,A_clinical_evidence
Bifidobacterium_animalis,Bifidobacterium,food_grade_probiotic,obesity_microbiome_signature,depleted_in_obesity_protective,0.0035,1,0,1,qps_gras_lower_barrier,yes,A_clinical_evidence
Lactobacillus_acidophilus,Lactobacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,2,0,1,qps_gras_lower_barrier,screening_only,B_food_grade_screening
Lactobacillus_gasseri,Lactobacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,2,0,1,qps_gras_lower_barrier,screening_only,B_food_grade_screening
Lactobacillus_helveticus,Lactobacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,2,0,1,qps_gras_lower_barrier,screening_only,B_food_grade_screening
Lactobacillus_johnsonii,Lactobacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,2,0,1,qps_gras_lower_barrier,screening_only,B_food_grade_screening
Lactobacillus_crispatus,Lactobacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,2,0,1,qps_gras_lower_barrier,screening_only,B_food_grade_screening
Lacticaseibacillus_rhamnosus,Lacticaseibacillus,food_grade_probiotic,species_universe_food_grade,not_in_gut_signature_low_prevalence,,2,0,1,qps_gras_lower_barrier,screening_only,B_food_grade_screening
